file,percent_ki67_alone,percent_gfap_alone,percent_both,nuclei_count,ki67,gfap,both,total_nuclei
Y4_180627_4.tif,0.25961538461538464,0.10576923076923077,0.0673076923076923,104,27,11,7,104
Y4_180627_6.tif,0.3107344632768362,0.1807909604519774,0.1864406779661017,177,55,32,33,177
Y4_180627_7.tif,0.32098765432098764,0.16666666666666666,0.043209876543209874,162,52,27,7,162
Y4_180627_8.tif,0.26881720430107525,0.25806451612903225,0.06989247311827956,186,50,48,13,186
Y4_180627_9.tif,0.29591836734693877,0.2653061224489796,0.12755102040816327,196,58,52,25,196
Y5_180627_1.tif,0.3172690763052209,0.21285140562248997,0.17670682730923695,249,79,53,44,249
Y5_180627_10.tif,0.22433460076045628,0.23193916349809887,0.08365019011406843,263,59,61,22,263
Y5_180627_2.tif,0.25925925925925924,0.2757201646090535,0.12757201646090535,243,63,67,31,243
Y5_180627_3.tif,0.11403508771929824,0.2236842105263158,0.06140350877192982,228,26,51,14,228
Y5_180627_4.tif,0.3231939163498099,0.20152091254752852,0.12167300380228137,263,85,53,32,263
Y5_180627_5.tif,0.26609442060085836,0.24892703862660945,0.1072961373390558,233,62,58,25,233
Y5_180627_6.tif,0.20155038759689922,0.3062015503875969,0.046511627906976744,258,52,79,12,258
Y5_180627_7.tif,0.24603174603174602,0.21825396825396826,0.05555555555555555,252,62,55,14,252
Y5_180627_8.tif,0.3008130081300813,0.21951219512195122,0.10569105691056911,246,74,54,26,246
Y5_180627_9.tif,0.23193916349809887,0.29277566539923955,0.06844106463878327,263,61,77,18,263
Y6_180627_1.tif,0.24260355029585798,0.20710059171597633,0.05325443786982249,169,41,35,9,169
Y6_180627_10.tif,0.25842696629213485,0.17415730337078653,0.07303370786516854,178,46,31,13,178
Y6_180627_2.tif,0.20606060606060606,0.2545454545454545,0.09090909090909091,165,34,42,15,165
Y6_180627_3.tif,0.13333333333333333,0.28888888888888886,0.03333333333333333,90,12,26,3,90
Y6_180627_5.tif,0.2922077922077922,0.18831168831168832,0.025974025974025976,154,45,29,4,154
Y6_180627_6.tif,0.2894736842105263,0.13157894736842105,0.02631578947368421,152,44,20,4,152
Y6_180627_8.tif,0.2606060606060606,0.10303030303030303,0.01818181818181818,165,43,17,3,165
Y6_180627_9.tif,0.25,0.14285714285714285,0.03571428571428571,168,42,24,6,168
