"V1" "V2"
"1" 50.506291 93.602859
"2" 50.506359 116.593323
"3" 50.506427 128.751801
"4" 50.506495 118.672775
"5" 50.506562 89.753738
"6" 50.522768 99.88237
"7" 50.522836 153.783432
"8" 50.522904 166.574539
"9" 50.522972 136.677109
"10" 50.523039 82.280945
"11" 50.57741 66.966553
"12" 50.577478 116.237061
"13" 50.577546 136.751938
"14" 50.577614 127.753204
"15" 50.577682 100.99675
"16" 50.708844 67.315338
"17" 50.708912 110.170425
"18" 50.70898 139.162781
"19" 50.709049 160.640411
"20" 50.709117 174.87236
"21" 50.709185 170.428284
"22" 50.709253 138.522507
"23" 50.709321 86.576416
"24" 51.395538 65.869492
"25" 51.395607 111.925812
"26" 51.395677 136.49382
"27" 51.395746 115.811783
"28" 51.395816 58.999859
"29" 51.753759 42.959545
"30" 51.753829 111.332031
"31" 51.7539 157.071167
"32" 51.75397 156.487762
"33" 51.75404 110.42131
"34" 51.754111 40.841755
"35" 52.007406 88.917969
"36" 52.007477 141.748993
"37" 52.007548 151.426559
"38" 52.007618 111.238266
"39" 52.007689 46.205265
"40" 52.884653 54.883625
"41" 52.884726 116.90979
"42" 52.884798 137.593185
"43" 52.884871 119.245132
"44" 52.884944 88.253815
"45" 53.966216 87.93869
"46" 53.96629 133.726273
"47" 53.966365 152.467972
"48" 53.96644 134.007233
"49" 53.966515 90.884552
"50" 54.071642 68.395035
"51" 54.071717 109.975388
"52" 54.071792 131.967651
"53" 54.071867 129.568695
"54" 54.071942 107.772659
"55" 54.685219 84.296951
"56" 54.685296 130.902237
"57" 54.685372 147.080872
"58" 54.685448 137.219864
"59" 54.685525 118.06633
"60" 54.685601 94.703934
"61" 54.779435 99.425888
"62" 54.779511 120.669479
"63" 54.779588 125.052917
"64" 54.779664 114.602417
"65" 54.779741 86.60733
"66" 54.798813 75.318115
"67" 54.798889 113.349014
"68" 54.798966 130.49855
"69" 54.799043 116.458923
"70" 54.799119 72.950989
"71" 56.38324 87.356232
"72" 56.38332 116.021759
"73" 56.3834 129.774704
"74" 56.38348 126.956329
"75" 56.38356 110.450134
"76" 56.832401 93.282074
"77" 56.832482 113.495636
"78" 56.832563 122.544128
"79" 56.832644 126.588318
"80" 56.832724 116.814133
"81" 56.832805 85.136444
"82" 57.165374 91.115662
"83" 57.165455 118.666
"84" 57.165537 125.693893
"85" 57.165619 113.869385
"86" 57.1657 90.072693
"87" 58.008928 100.035843
"88" 58.009011 125.927887
"89" 58.009095 127.224426
"90" 58.009178 114.237488
"91" 58.009261 83.626282
"92" 59.01342 108.151993
"93" 59.013505 433.054626
"94" 59.013591 1321.310059
"95" 59.013677 2592.103027
"96" 59.013762 3464.998779
"97" 59.013848 3241.610352
"98" 59.013933 2042.605225
"99" 59.014019 701.251831
"100" 59.014105 27.677135
"101" 59.754862 94.221741
"102" 59.754949 132.234085
"103" 59.755037 145.627258
"104" 59.755124 129.969193
"105" 59.755211 98.406082
"106" 60.27291 59.130871
"107" 60.272999 118.050568
"108" 60.273087 165.470901
"109" 60.273176 166.169281
"110" 60.273264 110.505325
"111" 60.383265 75.728485
"112" 60.383354 116.127579
"113" 60.383443 128.275558
"114" 60.383531 116.739853
"115" 60.38362 90.56041
"116" 60.538379 80.29245
"117" 60.538468 117.770813
"118" 60.538557 136.641998
"119" 60.538646 130.944489
"120" 60.538734 100.360168
"121" 60.94096 82.721313
