"V1" "V2"
"1" 50.077023 81.028778
"2" 50.07709 118.219299
"3" 50.077157 129.254623
"4" 50.077224 112.489105
"5" 50.077291 74.250977
"6" 50.143548 85.482742
"7" 50.143615 126.70076
"8" 50.143682 136.687317
"9" 50.143749 108.333084
"10" 50.143817 53.833519
"11" 50.239112 83.87645
"12" 50.239179 106.458908
"13" 50.239247 118.815903
"14" 50.239314 106.890732
"15" 50.239381 66.164917
"16" 50.47133 65.04734
"17" 50.471398 118.531067
"18" 50.471465 139.237427
"19" 50.471533 126.990967
"20" 50.471601 97.692719
"21" 50.760304 77.309998
"22" 50.760373 111.23082
"23" 50.760441 122.60733
"24" 50.760509 114.375076
"25" 50.760578 87.557541
"26" 50.911589 97.001022
"27" 50.911657 130.585922
"28" 50.911726 141.98111
"29" 50.911795 122.335754
"30" 50.911863 80.088272
"31" 51.091679 90.759232
"32" 51.091748 128.225449
"33" 51.091817 149.484329
"34" 51.091886 141.274933
"35" 51.091955 95.986191
"36" 51.166112 96.840088
"37" 51.166181 112.270111
"38" 51.16625 112.758102
"39" 51.166319 111.549637
"40" 51.166388 112.354752
"41" 51.166457 103.379364
"42" 51.211832 72.845474
"43" 51.211902 107.887314
"44" 51.211971 123.297501
"45" 51.21204 114.114319
"46" 51.212109 95.99939
"47" 51.84783 93.850754
"48" 51.847901 127.078568
"49" 51.847971 136.594818
"50" 51.848042 120.469925
"51" 51.848112 85.264206
"52" 51.930706 57.36097
"53" 51.930777 114.884018
"54" 51.930848 143.974243
"55" 51.930918 128.671021
"56" 51.930989 80.534821
"57" 52.013569 97.246384
"58" 52.01364 126.11261
"59" 52.013711 136.253494
"60" 52.013782 127.301025
"61" 52.013852 107.598648
"62" 52.013923 79.495148
"63" 53.184741 89.748703
"64" 53.184814 136.213089
"65" 53.184887 142.145325
"66" 53.18496 107.801376
"67" 53.185034 59.355453
"68" 53.540474 59.694305
"69" 53.540548 109.745865
"70" 53.540622 127.045212
"71" 53.540696 109.892334
"72" 53.54077 82.229492
"73" 53.882231 96.088959
"74" 53.882305 132.027618
"75" 53.88238 133.711014
"76" 53.882455 114.45961
"77" 53.88253 92.510483
"78" 54.049271 75.215958
"79" 54.049346 121.054672
"80" 54.049421 145.929764
"81" 54.049496 129.352554
"82" 54.049571 80.822113
"83" 54.202918 75.169754
"84" 54.202993 126.952728
"85" 54.203069 142.699432
"86" 54.203144 123.105667
"87" 54.20322 82.451797
"88" 54.561778 98.024368
"89" 54.561854 119.927704
"90" 54.56193 124.156952
"91" 54.562006 111.01059
"92" 54.562082 82.057098
"93" 55.134224 76.198761
"94" 55.134301 112.925171
"95" 55.134379 117.395004
"96" 55.134456 109.914963
"97" 55.134533 109.046768
"98" 55.134611 104.153549
"99" 55.349719 102.974731
"100" 55.349797 110.965637
"101" 55.349874 118.938965
"102" 55.349952 121.872681
"103" 55.35003 112.349075
"104" 55.350108 88.03418
"105" 55.525198 107.055908
"106" 55.525276 119.70105
"107" 55.525354 128.795303
"108" 55.525432 125.053726
"109" 55.525511 108.314667
"110" 55.616815 49.339058
"111" 55.616893 112.338394
"112" 55.616971 143.414917
"113" 55.61705 133.689789
"114" 55.617128 100.554688
"115" 55.984214 98.274567
"116" 55.984293 125.86203
"117" 55.984372 128.454407
"118" 55.984451 114.439453
"119" 55.98453 102.606583
"120" 56.456795 108.525833
"121" 56.456875 139.043945
