"V1" "V2"
"1" 50.347766 108.575607
"2" 50.347834 143.720657
"3" 50.347901 143.822296
"4" 50.347969 118.517624
"5" 50.348036 80.312042
"6" 50.536675 76.953339
"7" 50.536743 126.796158
"8" 50.53681 140.476227
"9" 50.536878 121.786987
"10" 50.536946 97.751907
"11" 50.741117 95.455093
"12" 50.741185 123.326355
"13" 50.741254 140.032974
"14" 50.741322 135.336594
"15" 50.74139 113.204727
"16" 50.741458 92.171021
"17" 52.626156 88.221069
"18" 52.626228 130.313232
"19" 52.6263 144.435272
"20" 52.626372 117.114426
"21" 52.626444 55.000446
"22" 52.76197 102.34758
"23" 52.762043 150.739212
"24" 52.762115 159.071716
"25" 52.762187 120.622818
"26" 52.76226 43.54987
"27" 52.887195 86.506134
"28" 52.887268 118.414093
"29" 52.887341 137.105576
"30" 52.887413 130.694412
"31" 52.887486 98.492996
"32" 53.187671 74.69635
"33" 53.187744 134.592575
"34" 53.187817 155.970627
"35" 53.187891 143.544968
"36" 53.187964 121.796982
"37" 53.188037 106.005356
"38" 53.453126 51.224178
"39" 53.4532 114.158478
"40" 53.453274 139.879242
"41" 53.453348 123.607742
"42" 53.453421 81.838028
"43" 55.120387 68.118271
"44" 55.120464 119.568893
"45" 55.120541 140.236435
"46" 55.120619 120.001678
"47" 55.120696 65.543869
"48" 55.145282 70.034286
"49" 55.145359 113.714844
"50" 55.145437 132.472565
"51" 55.145514 113.596329
"52" 55.145591 75.109436
"53" 55.936223 90.014145
"54" 55.936302 114.088745
"55" 55.936381 126.403412
"56" 55.93646 124.840393
"57" 55.936539 100.490845
"58" 56.270188 108.470016
"59" 56.270268 129.21022
"60" 56.270347 130.558121
"61" 56.270427 117.829666
"62" 56.270507 87.708267
"63" 57.594532 67.753723
"64" 57.594615 122.440094
"65" 57.594697 139.282822
"66" 57.59478 116.043152
"67" 57.594862 68.239182
"68" 57.788103 94.836487
"69" 57.788186 141.994034
"70" 57.788269 165.311905
"71" 57.788352 161.182785
"72" 57.788435 133.37854
"73" 57.788518 90.862457
"74" 58.961654 68.760162
"75" 58.96174 129.964203
"76" 58.961825 156.411087
"77" 58.961911 131.703979
"78" 58.961996 65.302368
"79" 59.013505 35.226185
"80" 59.013591 292.782288
"81" 59.013677 654.837646
"82" 59.013762 923.521667
"83" 59.013848 905.964233
"84" 59.013933 611.380981
"85" 59.014019 248.894211
"86" 59.014105 23.945782
"87" 59.419455 52.78104
"88" 59.419541 113.656006
"89" 59.419628 143.6147
"90" 59.419715 142.475876
"91" 59.419801 116.385849
"92" 59.419888 86.006866
"93" 60.105436 75.442169
"94" 60.105524 123.074966
"95" 60.105612 140.906021
"96" 60.1057 116.211777
"97" 60.105788 55.588573
"98" 60.216037 98.356827
"99" 60.216126 114.573456
"100" 60.216214 130.119797
"101" 60.216302 133.290451
"102" 60.21639 105.594208
"103" 60.646163 79.729172
"104" 60.646252 132.536057
"105" 60.646342 147.125381
"106" 60.646431 125.845123
"107" 60.64652 83.363342
"108" 61.987319 42.023548
"109" 61.987412 130.087723
"110" 61.987504 192.301758
"111" 61.987596 174.027222
"112" 61.987688 84.673172
"113" 61.98778 109.166962
"114" 61.987873 231.578171
"115" 61.987965 349.546265
"116" 61.988057 1989.798584
"117" 61.988149 5487.310547
"118" 61.988241 9108.060547
"119" 61.988333 10356.709961
"120" 61.988426 8280.695313
"121" 61.988518 4461.834961
"122" 61.98861 1397.597046
"123" 61.988702 322.942474
"124" 61.988794 156.705811
"125" 61.988886 60.031857
"126" 62.657825 65.574707
"127" 62.657919 114.681564
"128" 62.658012 145.198746
"129" 62.658106 147.1259
"130" 62.6582 128.424545
"131" 62.658293 100.204269
"132" 63.057552 87.289078
"133" 63.057646 142.440582
"134" 63.057741 154.354675
"135" 63.057835 117.808578
"136" 63.05793 62.74976
"137" 63.701928 69.664963
"138" 63.702024 136.438385
"139" 63.70212 145.12204
"140" 63.702216 114.252747
"141" 63.702312 77.542557
"142" 65.512101 52.562183
"143" 65.512201 116.818085
"144" 65.512301 144.44603
"145" 65.512401 139.783478
"146" 65.512501 115.06485
"147" 65.512602 81.333527
"148" 65.690522 91.38208
"149" 65.690622 135.559937
"150" 65.690723 162.893372
"151" 65.690823 156.628952
"152" 65.690924 113.766983
"153" 66.150444 55.186146
"154" 66.150546 217.960342
