1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,QC_1-00005,QC_2-00003,QC_3-00004,B_1,B_2,B_3,features
0.5991,0.597,0.5587,0.4118,0.5576,0.4612,0.7281,0.5671,0.891,0.839,0.4389,0.5199,0.8189,0.4114,0.3011,0.2649,0.3318,0.2513,0.3408,0.2077,0.2917,NA,NA,NA,NA,NA,NA,CER.22.1.
0.9601,0.8685,0.95,0.799,0.8319,0.6252,0.9013,0.9014,1.0011,1.2352,0.392,0.7721,0.8327,1.2517,1.1108,1.2098,1.2129,1.1423,1.223,1.1262,1.2406,3.8214,3.6088,3.6442,NA,NA,NA,CER.24.0.
4.8664,4.8871,4.7452,3.9533,4.3123,3.2637,4.9996,4.9208,6.3013,6.9283,2.4075,4.1263,5.455,4.8494,3.9444,3.8691,4.4071,3.6277,4.162,3.4654,4.0975,1.6031,1.6929,1.7623,NA,NA,NA,CER.24.1.
0.0669,0.0673,0.0517,0.051,0.0746,0.045,0.0625,0.0657,0.0799,0.0777,0.035,0.053,0.0735,NA,NA,NA,0.0368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CER.26.1.
NA,NA,0.0943,NA,NA,NA,NA,NA,0.0807,0.0906,NA,0.0461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DAG.12.0.16.0.
NA,NA,NA,NA,NA,NA,0.039,NA,NA,0.0159,NA,NA,NA,NA,NA,NA,0.0172,0.0327,NA,NA,NA,NA,NA,NA,NA,0.0184,NA,DAG.12.0.18.1.
NA,0.0345,NA,NA,NA,NA,0.0553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0573,NA,NA,NA,NA,NA,NA,0.0247,DAG.12.0.18.2.
0.1027,0.0904,0.1167,0.1043,0.153,0.1123,0.1381,0.1272,0.1348,0.1151,0.0586,0.0798,0.1344,0.0431,0.1392,0.0503,0.0833,0.0785,0.0599,NA,0.1127,NA,NA,NA,0.0352,0.026,NA,DAG.14.0.14.0.
0.837,0.8711,0.9612,0.6732,0.9667,0.7334,1.153,0.9141,1.1887,1.4084,0.6281,0.7745,1.0862,0.2864,0.3529,0.3252,0.3236,0.3957,0.3908,0.348,0.4758,NA,NA,NA,NA,NA,NA,DAG.14.0.16.0.
0.1738,0.1722,0.1435,0.0939,0.2461,0.1802,0.2562,0.1621,0.2621,0.1803,0.1489,0.1494,0.2585,0.0332,0.0261,0.0384,0.0357,0.044,0.0348,0.0305,0.0423,NA,NA,NA,NA,NA,NA,DAG.14.0.16.1.
0.2985,0.299,0.2706,0.179,0.2929,0.2426,0.4121,0.2258,0.4336,0.3059,0.2001,0.2106,0.4545,0.064,0.05,0.0777,0.0674,0.0713,0.0635,0.0525,0.0667,NA,NA,NA,NA,NA,NA,DAG.14.0.18.1.
