1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,QC_1-00005,QC_2-00003,QC_3-00004,B_1,B_2,B_3,features
3.0661,2.0483,2.8801,2.9193,3.5985,3.675,2.3412,1.9548,2.2512,1.7073,1.8041,2.2873,1.8273,1.1157,2.4354,1.8149,2.24,2.4026,1.4694,1.1969,1.5101,12.5597,13.07,12.7283,1.0069,1.0708,0.8464,FFA.22.1.
0.9538,0.7804,1.0184,0.8822,1.0917,0.9939,0.7966,0.8055,0.9719,0.7056,0.4949,0.6769,0.746,0.4578,0.8348,0.6159,0.7042,0.7815,0.5832,0.4702,0.5803,6.6694,8.001,8.2556,0.2539,0.2265,0.2114,FFA.22.2.
0.6015,0.5222,0.5538,0.5204,0.4624,0.4558,0.4334,0.5076,0.5832,0.5859,0.3368,0.3879,0.4404,0.3306,0.4067,0.3368,0.3729,0.4186,0.3488,0.3402,0.3587,1.8967,2.2377,1.9585,0.1055,0.1036,0.1055,FFA.22.4.
0.8593,0.7631,0.8877,0.8287,0.9119,0.834,0.654,1.2871,0.8038,0.8945,0.4794,0.548,0.6598,0.8532,1.0472,0.7551,0.9472,0.9352,0.8776,0.8343,0.8416,6.8406,7.4859,8.4319,0.2629,0.2488,0.2222,FFA.22.5.
0.6134,0.4639,0.6304,0.5789,0.5504,0.5946,0.4925,0.6635,0.5968,0.6713,0.3997,0.5032,0.4721,2.4895,2.4042,2.0358,2.6337,2.0958,1.8552,1.9615,1.8587,4.7649,5.2556,5.0553,0.2478,0.2093,0.1809,FFA.22.6.
5.15,1.8615,5.2143,5.0203,4.5887,5.4477,1.442,1.7708,3.7052,1.5351,1.4893,2.0534,1.9873,0.5498,1.0152,0.7974,0.8936,0.8734,0.8499,0.6771,0.7697,83.0953,98.9136,92.7284,0.2829,0.3004,0.2563,FFA.24.0.
11.7977,4.181,11.3882,11.933,10.7027,13.2823,3.3228,3.6621,9.0101,3.2103,2.9073,5.0395,4.5696,0.7883,1.9838,1.4739,1.3493,1.9269,1.1671,0.8812,1.1865,196.4359,224.5214,206.0679,1.0104,0.9089,0.7122,FFA.24.1.
0.0453,0.0426,0.0508,0.0466,0.0431,NA,0.0556,0.047,0.058,0.0559,0.0289,0.0359,0.0568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HCER.14.0.
0.9834,0.8551,0.9689,0.8985,1.1218,0.7867,1.0857,1.0915,1.6337,1.5039,0.7026,0.7485,1.708,0.2101,0.1947,0.1589,0.1758,0.1631,0.1924,0.1416,0.1638,NA,NA,NA,NA,NA,NA,HCER.16.0.
1.3647,1.1113,1.3122,1.1246,1.482,1.1174,1.4939,1.2892,1.6912,1.6351,0.881,1.0597,1.7151,0.8088,0.7368,0.6854,0.7504,0.7783,1.0875,0.7228,0.9987,NA,NA,NA,NA,NA,NA,HCER.18.0.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0169,0.0174,0.0344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HCER.18.1.
0.2698,0.2446,0.303,0.2272,0.3304,0.2713,0.336,0.2697,0.3884,0.3912,0.1945,0.2336,0.3828,0.1245,0.0959,0.1024,0.1096,0.1233,0.1231,0.0956,0.1212,NA,NA,NA,NA,NA,NA,HCER.20.0.
NA,NA,NA,NA,NA,NA,0.0283,NA,NA,0.0335,0.0192,NA,0.0204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HCER.20.1.
0.7461,0.7362,0.8608,0.7635,0.9723,0.6698,0.886,0.8565,0.9331,0.9723,0.4881,0.6078,0.9407,0.8204,0.7032,0.6727,0.6816,0.6341,0.7104,0.553,0.7332,NA,NA,NA,NA,NA,NA,HCER.22.0.
0.3162,0.2571,0.3025,0.218,0.336,0.2661,0.3656,0.3023,0.4277,0.3797,0.2022,0.2615,0.4338,0.3485,0.1995,0.2387,0.2396,0.1092,0.1359,0.1295,0.1212,NA,NA,NA,NA,NA,NA,HCER.22.1.
0.3637,0.3564,0.4663,0.3509,0.4397,0.2984,0.384,0.4183,0.3293,0.4152,0.1635,0.2894,0.3515,1.0311,0.8931,0.93,0.8426,0.8295,0.8654,0.7965,0.9085,1.4661,NA,1.4343,NA,NA,NA,HCER.24.0.
1.2328,1.1184,1.2789,1.062,1.3727,1.0371,1.3508,1.2735,1.3691,1.4919,0.6258,0.9886,1.385,2.0785,1.415,1.4971,1.5843,1.0182,1.2805,1.0958,1.2441,NA,NA,1.3385,NA,NA,NA,HCER.24.1.
NA,0.0209,NA,NA,NA,NA,0.0233,0.0258,NA,0.0298,NA,NA,0.0255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HCER.26.1.
NA,0.1298,0.2377,0.2427,0.2276,0.0882,0.122,0.2977,0.3628,0.3909,0.1286,0.119,0.5467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LCER.16.0.
NA,NA,0.1634,0.1807,0.1365,0.0766,0.0811,0.2026,0.2399,0.2029,0.0891,0.0992,0.2633,0.1914,NA,0.1218,0.1301,NA,0.1431,0.112,0.1125,NA,NA,NA,NA,NA,NA,LCER.18.0.
NA,0.0596,NA,0.0687,0.0927,NA,NA,NA,NA,NA,0.0593,NA,NA,NA,0.1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0342,0.0241,0.0261,LCER.18.1.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1732,0.1856,0.2005,0.1753,NA,0.1466,0.147,0.1827,NA,NA,NA,NA,NA,NA,LCER.24.0.
0.0954,0.1239,0.1981,0.1916,0.2488,0.0978,0.1344,0.2501,0.2743,0.2643,0.1,0.115,0.2969,0.3421,0.2929,0.3026,0.2896,0.2468,0.2917,0.2879,0.278,NA,NA,NA,NA,NA,NA,LCER.24.1.
0.0989,NA,0.1243,NA,0.1081,NA,0.1274,0.1263,0.1356,0.2377,NA,NA,0.1506,0.0741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LPC.14.0.
NA,0.1101,NA,NA,0.083,NA,0.0989,0.1149,0.1276,0.1719,0.0728,NA,0.0946,1.3889,1.0016,0.8597,0.9284,1.1231,1.1279,0.8879,1.5257,NA,NA,1.4599,NA,NA,NA,LPC.15.0.
1.9875,2.1899,2.4694,1.8558,2.6022,2.0101,3.0095,2.6056,2.1394,3.7009,1.7551,2.6221,2.3618,8.5971,7.1466,7.2587,7.1481,7.4362,7.977,6.8203,9.4885,158.3165,171.2118,164.6502,NA,NA,NA,LPC.16.0.
1.1023,1.1091,1.3061,0.8767,1.0144,0.7667,1.5311,1.5475,1.3034,2.3442,0.7885,0.8687,1.4843,2.0861,1.1135,1.2235,1.5109,1.6863,1.7995,1.1856,2.5696,3.8807,4.1018,3.6726,NA,NA,NA,LPC.16.1.
0.0771,NA,NA,NA,NA,NA,0.0613,0.0565,NA,0.0862,NA,0.0677,NA,0.5444,0.4549,0.399,0.3699,0.4668,0.5462,0.4582,0.5986,2.1743,NA,2.7373,NA,NA,NA,LPC.17.0.
0.2669,0.2162,0.3063,0.1936,0.2951,0.2497,0.3943,0.2826,0.201,0.263,0.2022,0.3263,0.2393,0.6251,0.3779,0.424,0.3837,0.4336,0.4658,0.3875,0.6284,34.7804,38.2834,36.1099,NA,NA,NA,LPC.18.0.
2.4972,2.6587,3.2231,1.8983,1.9617,1.9485,3.4071,3.8116,3.0344,5.7717,1.5012,2.2889,3.1663,10.6897,5.8369,6.534,7.7834,7.0657,7.3385,5.1553,11.5923,30.9414,29.1683,30.5212,NA,NA,NA,LPC.18.1.
0.383,0.3619,0.4371,0.2739,0.218,0.2321,0.3064,0.5591,0.4323,0.7464,0.217,0.2153,0.464,0.7886,0.3834,0.4313,0.507,0.5732,0.6183,0.4529,0.8069,42.4792,47.2465,47.6751,NA,NA,NA,LPC.18.2.
0.0838,NA,NA,NA,NA,NA,0.0694,0.1055,0.1125,0.1107,NA,NA,0.0852,0.1528,NA,0.0988,0.1032,0.1421,0.1182,0.0711,0.1717,NA,NA,NA,NA,NA,NA,LPC.18.3.
0.1387,0.1492,0.1841,NA,NA,0.1133,0.1659,0.184,0.1691,0.2757,0.0951,0.1439,0.1899,0.2292,0.1274,0.1423,0.1661,0.1626,0.1951,0.1087,0.2644,2.5663,3.0637,3.3532,NA,NA,NA,LPC.20.3.
0.1571,0.1527,0.2065,0.1276,NA,NA,0.1659,0.1984,0.1819,0.3103,0.1186,0.1356,0.1921,0.7391,0.4457,0.4782,0.5724,0.5798,0.6349,0.4466,0.8779,6.5096,6.6591,6.1818,NA,NA,NA,LPC.20.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LPC.22.6.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LPE.15.0.
0.3804,0.4971,0.6433,0.2386,0.4203,0.2677,0.6066,0.3267,0.3681,0.4977,0.3222,0.5762,0.4959,0.6803,0.6534,0.6068,0.6689,0.5975,0.5904,0.5052,0.8205,1.5095,1.4793,1.2191,NA,NA,NA,LPE.16.0.
0.1888,0.2519,0.3121,0.1306,0.1876,NA,0.3433,0.2474,0.2362,0.3407,0.1821,0.2924,0.2635,0.3198,0.4873,0.2936,0.4154,0.3426,0.3501,0.3048,0.4536,NA,NA,NA,NA,NA,NA,LPE.16.1.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244,0.1865,0.1861,0.226,0.2221,0.1537,0.1676,0.2039,NA,NA,NA,NA,NA,NA,LPE.17.0.
0.5199,0.4701,0.4766,0.2932,0.6192,0.4091,0.6654,0.4388,0.562,0.5914,0.3222,0.4996,0.4991,0.3475,0.3353,0.3401,0.4102,0.3217,0.3598,0.3413,0.4264,1.7032,1.5189,1.3432,NA,NA,NA,LPE.18.0.
0.97,1.4554,1.5325,0.7021,1.0546,0.7323,1.4812,1.3225,1.2934,1.8439,0.9539,1.4257,1.566,2.6286,4.2466,2.3971,3.0884,1.8929,2.4128,1.9456,3.4028,1.1382,1.0838,0.8833,NA,NA,NA,LPE.18.1.
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0985,NA,NA,NA,0.1044,0.152,NA,0.1513,NA,0.113,NA,0.1682,1.5014,1.6059,1.3359,NA,NA,NA,LPE.18.2.
0.1678,0.3172,0.3762,0.1841,0.1817,NA,0.2861,0.2318,0.2411,0.3394,0.1985,0.3743,0.3524,0.1137,0.1138,0.0782,0.1224,NA,NA,0.0756,0.1466,NA,NA,NA,NA,NA,NA,LPE.20.3.
0.1255,0.2384,0.2002,NA,0.1251,NA,0.1733,0.182,0.1303,0.2052,0.1646,0.2263,0.2048,0.3022,0.597,0.3071,0.4076,0.3217,0.2976,0.2271,0.4315,NA,NA,NA,NA,NA,NA,LPE.20.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.12.0.18.1.
1.215,1.0987,0.9422,0.8147,1.1648,1.0654,1.4853,0.9792,1.3835,1.6319,0.7368,0.9899,1.4068,0.1778,0.1805,0.1616,0.1724,0.2048,0.2255,0.2108,0.2379,NA,NA,NA,NA,NA,NA,PC.14.0.14.0.
9.0627,8.924,7.482,6.3423,9.4719,7.6643,11.2209,7.3255,11.1092,11.5238,5.4956,8.3406,9.8908,1.9259,1.6921,1.6709,1.6288,1.8413,2.125,1.8543,2.0762,NA,NA,NA,NA,NA,NA,PC.14.0.16.1.
23.7057,20.7654,19.0219,15.2795,21.0229,19.4199,26.4707,20.0354,26.3507,28.7074,13.7446,20.5744,22.8311,7.6501,6.127,6.5461,6.4071,6.5932,7.1401,6.2518,7.4283,2.9046,NA,3.258,NA,NA,NA,PC.14.0.18.1.
1.5637,1.437,1.2,0.9379,1.1137,0.8328,1.4177,1.3982,1.6278,1.7057,0.6842,1.0078,1.5827,NA,NA,NA,NA,NA,0.1832,NA,NA,3.2316,NA,2.8183,NA,NA,NA,PC.14.0.18.2.
NA,0.3081,NA,NA,NA,NA,0.1752,0.2505,0.3052,0.3299,NA,0.1867,0.3294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.14.0.18.3.
0.3789,0.3583,0.3734,NA,0.3614,0.2706,0.4372,0.2792,0.552,0.4624,0.2051,0.3239,0.4485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.14.0.20.1.
0.4151,0.2955,0.2813,0.2947,0.3211,0.2798,0.4271,0.3313,0.4959,0.4774,0.2704,0.3399,0.4909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.14.0.20.2.
1.6014,1.8019,1.5012,1.1461,1.1636,1.2243,1.7144,1.5529,2.0132,2.0862,1.1633,1.4731,1.6185,0.3341,NA,0.3995,0.3747,NA,0.3049,0.3687,0.2606,NA,NA,NA,NA,NA,NA,PC.14.0.20.3.
1.4352,1.5177,1.3146,0.9196,0.7596,0.6684,1.0155,1.0563,1.2553,1.5969,0.7066,1.0439,0.9099,1.2839,1.1919,1.2007,1.1069,1.519,1.1945,1.3261,1.2314,NA,NA,NA,NA,NA,NA,PC.14.0.20.4.
0.4262,NA,NA,NA,NA,NA,NA,NA,NA,0.4102,NA,NA,0.3844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.14.0.20.5.
0.6938,NA,NA,NA,NA,NA,NA,0.5927,0.7956,0.6261,0.3414,0.5575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.14.0.22.4.
0.846,0.7215,NA,NA,NA,NA,0.5385,NA,NA,0.6567,NA,NA,NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.14.0.22.5.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9698,1.4443,NA,1.2121,NA,1.3072,1,1.429,NA,NA,NA,NA,NA,NA,PC.14.0.22.6.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4322,0.4023,0.3026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.15.0.14.1.
7.194,7.153,4.5517,3.9118,4.3841,4.3375,7.3883,6.0632,8.3179,9.0905,4.5632,6.8593,6.8162,18.686,14.3522,14.1691,15.6279,16.2077,21.9517,17.3714,20.3258,NA,NA,NA,NA,NA,NA,PC.15.0.16.1.
7.4262,6.7961,5.3063,4.2478,4.9031,4.8626,7.2948,5.7448,8.6224,9.6962,4.5885,6.6624,7.5377,36.4364,28.968,27.888,26.6738,28.8638,29.9211,27.9939,31.4818,NA,NA,NA,NA,NA,NA,PC.15.0.18.1.
0.5743,0.5389,0.4629,0.3554,NA,0.3087,0.369,0.4211,0.6019,0.5337,0.3019,0.3397,0.4641,1.0699,1.1788,1.0418,1.0108,1.4952,1.3343,0.9597,1.0188,NA,NA,NA,NA,NA,NA,PC.15.0.18.2.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4713,NA,0.3947,NA,NA,NA,NA,NA,NA,PC.15.0.18.3.
0.6339,0.4696,0.424,NA,NA,NA,0.4109,0.3989,0.5142,0.5883,0.3014,0.473,NA,1.417,1.0042,1.0066,1.1587,1.2317,1.4328,1.1,1.4305,NA,NA,NA,NA,NA,NA,PC.15.0.20.3.
0.4137,0.4778,NA,NA,NA,NA,0.3199,NA,NA,0.3916,NA,NA,NA,4.356,3.8323,3.9138,3.5914,3.7195,3.8638,4.0571,4.3958,NA,NA,NA,NA,NA,NA,PC.15.0.20.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5157,NA,0.4474,0.4369,0.5392,0.5989,0.5915,0.5211,NA,NA,NA,NA,NA,NA,PC.15.0.22.5.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6072,1.4482,1.0658,1.3547,1.4951,1.2569,1.2095,1.4921,NA,NA,NA,NA,NA,NA,PC.15.0.22.6.
0.3273,0.2882,0.2202,0.2167,NA,NA,0.3056,0.2407,0.2989,0.3289,0.1968,0.2691,0.3258,NA,NA,NA,NA,NA,0.1662,0.1345,NA,NA,NA,NA,NA,NA,NA,PC.16.0.12.0.
17.8391,17.7459,16.6585,14.2422,18.9813,15.1633,20.8007,16.4736,20.9519,22.5762,10.0133,15.3942,19.3621,5.8243,5.254,5.8379,5.7351,7.127,6.7842,6.159,6.9933,2.7943,NA,2.8663,NA,NA,NA,PC.16.0.14.0.
0.7609,0.8585,0.6309,0.479,0.7717,0.7092,0.8803,0.6377,1.0328,0.9825,0.4495,0.5812,0.9014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.16.0.14.1.
35.4041,39.2032,40.1388,38.1887,40.2431,28.1401,40.544,36.1409,41.3682,46.1276,20.3042,30.5863,37.9947,45.9566,42.5968,45.5952,45.2091,48.0127,46.5327,43.7695,51.5359,65.1273,75.312,78.1027,NA,NA,NA,PC.16.0.16.0.
101.5527,101.0181,98.0864,80.8637,107.7167,80.8951,112.6685,86.4021,113.4007,117.9799,57.5747,81.6342,96.5697,82.4508,72.7683,75.3244,79.6965,77.1143,82.6383,72.0447,91.0681,7.1656,10.116,9.1636,NA,NA,NA,PC.16.0.16.1.
7.9375,8.2892,8.4467,6.6656,7.7502,6.0913,8.5907,7.5082,8.5176,9.528,4.4795,6.5928,7.8803,16.2601,13.0298,13.7153,14.8177,11.7415,12.7762,11.9812,13.5655,69.4055,72.766,70.804,NA,NA,NA,PC.16.0.18.0.
295.4703,297.4931,291.3112,219.887,278.7867,229.6013,313.0641,267.4471,293.907,344.3035,176.3414,235.2542,262.1315,664.8127,575.6582,582.7107,604.5415,469.1158,507.4662,482.9282,561.3543,247.5495,230.2638,244.7523,NA,NA,NA,PC.16.0.18.1.
20.3938,20.402,20.855,17.2309,14.3929,11.1184,15.7917,18.977,19.4506,24.1138,9.6262,12.1886,18.1028,14.0947,13.0335,12.5137,12.8208,12.0377,12.5476,11.0895,13.572,420.7471,518.8296,460.148,NA,NA,NA,PC.16.0.18.2.
4.3783,3.9774,3.7221,3.5561,2.5271,2.134,2.9594,3.5675,3.9069,4.901,2.003,2.722,3.3369,3.3925,2.6832,2.5041,2.7797,2.6193,3.3611,2.463,3.5581,6.2521,7.044,11.0036,NA,NA,NA,PC.16.0.18.3.
0.5658,0.4534,0.5375,0.4382,NA,NA,NA,0.4039,0.3949,0.4209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.16.0.18.4.
1.3168,1.556,1.5796,1.135,1.4105,1.2287,1.7538,1.332,1.7043,1.8159,0.8745,1.3137,1.5979,0.6655,0.6067,0.4693,0.571,0.6394,0.5549,0.5166,0.5483,NA,NA,NA,NA,NA,NA,PC.16.0.20.1.
2.906,2.7958,2.5779,2.0591,2.4478,2.2911,3.2195,2.5129,3.3465,3.492,1.7966,2.205,2.9869,2.4545,1.7505,1.91,2.0707,1.4231,1.7487,1.4235,1.8877,5.4658,7.1556,6.7237,NA,NA,NA,PC.16.0.20.2.
21.3207,21.8961,21.4732,16.2375,16.4084,13.7353,20.3797,18.1535,20.6568,23.8429,12.0082,16.3224,18.1531,18.3553,14.5821,15.4545,16.1652,13.3594,14.8317,12.5914,16.1187,74.705,64.4355,79.202,NA,NA,NA,PC.16.0.20.3.
19.838,19.2853,18.3584,17.5266,11.1444,9.7487,13.6484,16.7974,13.94,19.7657,9.516,13.974,11.1247,62.5283,60.0638,69.5628,58.6709,58.8496,56.8397,56.4323,62.685,252.3142,269.5398,251.3242,NA,NA,NA,PC.16.0.20.4.
5.3432,5.7896,4.9556,5.0564,1.5016,1.1726,1.6582,4.6817,4.6835,5.8029,1.2055,1.6366,3.6795,1.5014,1.4968,1.5278,1.6762,1.1354,1.0593,0.9697,1.2996,32.5347,25.3664,26.5946,NA,NA,NA,PC.16.0.20.5.
0.3896,0.4114,0.4807,0.345,0.4006,0.3882,0.4498,0.4078,0.4543,0.5471,0.2028,0.4269,0.4492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.16.0.22.2.
3.0616,3.0309,2.5221,2.6094,1.6922,1.9986,2.5676,3.1488,2.9219,3.5477,1.6664,2.503,2.2241,1.9286,2.1593,1.9243,1.9218,2.3274,2.3921,2.1063,2.6063,6.2569,NA,6.2216,NA,NA,NA,PC.16.0.22.4.
4.9255,4.6132,4.3891,5.1132,2.5545,2.4531,3.4844,3.6753,3.1911,5.4376,2.107,3.2596,3.0677,6.0293,5.1857,5.3049,5.2513,6.5203,6.2533,6.2323,6.5534,28.6251,27.7829,25.2638,NA,NA,NA,PC.16.0.22.5.
1.4303,1.0599,1.1673,NA,NA,NA,0.9639,1.3266,NA,1.5702,0.4799,NA,NA,23.4131,22.0349,20.6869,19.1966,17.4788,21.7289,19.6842,20.7871,NA,123.182,111.249,NA,NA,NA,PC.16.0.22.6.
2.8944,3.0313,2.3448,1.8941,2.5984,1.9647,3.2319,2.6133,3.4678,4.2084,1.8804,2.6173,3.2034,4.7266,3.3336,2.9783,3.845,3.8788,4.3345,3.8143,4.1116,NA,NA,NA,NA,NA,NA,PC.17.0.16.1.
2.6483,2.5996,2.192,1.3864,2.1344,1.5991,2.8015,2.2122,3.3321,3.5422,1.6127,2.2975,2.5354,11.7136,10.3121,8.853,9.1848,8.3411,8.9039,7.9526,9.247,NA,NA,2.7789,NA,NA,NA,PC.17.0.18.1.
0.2476,0.2578,0.2586,NA,NA,NA,NA,NA,0.2232,0.2682,NA,0.1763,0.2677,0.4235,0.6559,0.5904,0.3748,0.6152,0.4116,0.3508,0.4386,3.7797,4.2,4.2946,NA,NA,NA,PC.17.0.18.2.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9713,0.6285,0.5987,0.7206,0.8901,0.9362,0.6619,0.7295,NA,NA,NA,NA,NA,NA,PC.17.0.20.3.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4184,1.9742,2.0191,1.8504,2.0221,2.0741,1.9238,2.1079,1.907,NA,NA,NA,NA,NA,PC.17.0.20.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3561,NA,NA,NA,NA,0.3448,NA,NA,NA,NA,NA,NA,NA,NA,PC.17.0.22.6.
1.9862,2.0621,1.7663,1.4418,1.9926,1.5207,2.2246,1.7809,2.4578,2.7491,1.1325,1.8283,2.2551,0.2473,NA,0.3115,0.2007,NA,0.292,0.2419,0.283,NA,NA,NA,NA,NA,NA,PC.18.0.14.0.
6.3573,5.9401,5.8013,4.5007,5.882,4.783,6.5585,4.9351,6.3507,7.7593,3.4117,5.0039,5.6806,2.3238,2.3079,2.2192,2.5826,2.1587,2.2526,2.0693,2.4652,NA,NA,NA,NA,NA,NA,PC.18.0.16.1.
0.377,0.3505,0.4294,0.3494,0.3937,0.3464,0.3583,0.2769,0.3264,0.3811,0.1783,0.2391,0.2897,0.4844,0.419,0.3924,0.3968,0.3778,0.3417,0.3077,0.3567,2.8997,3.4188,2.5657,NA,NA,NA,PC.18.0.18.0.
15.2754,14.0857,15.7545,12.7471,15.7392,12.2349,18.2628,13.9846,15.0126,18.8879,8.7807,11.9445,13.3498,11.4398,10.9905,10.5881,10.9915,8.6982,9.1083,7.8743,10.3171,21.9348,22.4535,25.743,NA,NA,NA,PC.18.0.18.1.
2.0895,2.1642,2.2931,1.8543,1.4481,0.9993,1.5895,2.1591,1.8928,2.446,0.8542,1.1331,1.6987,0.4458,0.7135,0.5171,0.4731,0.4706,0.5774,0.3919,0.5191,132.7352,163.2815,140.3916,NA,NA,NA,PC.18.0.18.2.
0.5784,0.6932,0.6353,0.497,0.4012,0.4055,0.4657,0.5724,0.7524,0.8557,0.2693,0.4345,0.5661,0.409,0.2454,0.4132,0.3796,0.3255,0.4402,0.2737,0.4376,NA,NA,NA,NA,NA,NA,PC.18.0.18.3.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2604,0.2394,0.2147,0.2402,NA,0.2073,0.2148,0.2389,NA,NA,NA,NA,NA,NA,PC.18.0.20.0.
0.4186,0.4172,0.3489,0.2761,0.3271,0.2573,0.4245,0.3399,0.4702,0.4372,0.2376,0.3452,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.18.0.20.2.
3.9101,3.6199,4.1283,3.443,3.0174,2.3089,3.4746,3.733,4.0604,4.4926,1.7462,2.7788,3.5293,1.8434,1.5003,1.3576,1.5585,1.1814,1.502,1.145,1.4569,19.6925,23.3613,26.3444,NA,NA,NA,PC.18.0.20.3.
3.0034,2.841,3.4543,3.3755,2.0672,1.4819,2.0089,2.724,2.3673,3.2063,1.3551,1.94,1.6136,3.9689,4.3921,4.7106,4.1796,4.213,3.956,3.6624,3.9732,94.0597,94.5087,89.5127,NA,NA,NA,PC.18.0.20.4.
0.6481,0.6794,0.8077,0.8304,NA,NA,NA,0.5958,NA,0.7228,NA,NA,0.3984,NA,NA,NA,NA,NA,NA,NA,NA,12.3724,9.1963,9.5297,NA,NA,NA,PC.18.0.20.5.
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4032,NA,NA,NA,NA,PC.18.0.22.5.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7243,NA,28.7262,19.376,NA,NA,NA,PC.18.0.22.6.
0.5436,0.4212,NA,0.3191,0.4366,0.4067,0.4501,0.4081,0.6809,0.6614,0.2768,0.3505,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC.18.1.14.1.
89.5411,89.075,82.8018,63.2511,83.2819,70.5078,100.7892,83.2459,97.9287,116.8556,54.84,75.5535,85.9454,58.6769,51.175,51.9785,52.8282,50.8604,54.9974,46.8945,58.0557,6.2203,4.7741,5.6057,NA,NA,NA,PC.18.1.16.1.
39.0308,38.3654,36.3691,27.729,35.902,31.0231,44.3389,37.7042,43.5975,54.5563,24.9307,32.8594,40.062,41.5909,37.0014,35.6803,38.959,30.2734,33.6911,28.5816,36.5696,11.2714,10.8571,8.9044,NA,NA,NA,PC.18.1.18.1.
7.0851,7.4689,7.0965,5.8538,4.7376,3.6804,5.3195,6.9995,8.0861,9.6605,3.3658,4.2986,7.5594,3.1594,3.1819,3.2143,2.931,2.8121,2.9698,2.2232,3.2008,37.7819,47.963,39.9796,NA,NA,NA,PC.18.1.18.2.
2.1809,2.3076,2.0844,1.3566,1.3213,1.2565,1.6686,2.2137,2.4216,2.72,1.1449,1.7929,2.2938,1.0963,1.0812,0.8479,1.0856,0.9569,1.167,0.8934,1.0305,NA,NA,NA,NA,NA,NA,PC.18.1.18.3.
0.6694,0.6538,0.6311,0.4178,0.6157,0.5621,0.7631,0.5538,0.7776,0.9584,0.3985,0.6024,0.6572,0.3092,0.35,0.3155,0.2343,0.2928,0.2774,0.2719,0.3351,NA,NA,NA,NA,NA,NA,PC.18.1.20.1.
