Compound,m.z,Retention.time..min.,Intensity,Mode,Y1-act-11,Y1-qui-try-11,Y1-qui-scr-11,Y2-act-11,Y2-qui-try-11,Y2-qui-scr-11,Y3-act-11,Y3-qui-try-11,Y3-qui-scr-11,O1-act-11,O1-qui-try-11,O1-qui-scr-11,O2-act-11,O2-qui-try-11,O2-qui-scr-11,O3-act-11,O3-qui-try-11,O3-qui-scr-11,Y1-act-8,Y1-qui-8,Y2-act-8,Y2-qui-8,Y3-act-8,Y3-qui-8,O1-act-8,O1-qui-8,O2-act-8,O2-qui-8,O3-act-8,O3-qui-8,Act-Adherent-1,Act-Adherent-2,Act-suspension-1,Act-suspension-2,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
1.30_358.2944m/z,358.2944,1.30,842.2935513,Accucore_C18_pos,3.8E+02,6.8E+04,3.7E+04,4.3E+02,6.9E+04,4.5E+04,3.0E+02,5.2E+04,2.0E+04,0.0E+00,1.0E+04,1.5E+03,2.0E+02,2.6E+04,2.0E+03,9.0E+01,2.6E+04,6.6E+02,0.0E+00,4.0E+02,1.8E+02,1.0E+03,0.0E+00,3.2E+02,8.2E+01,6.0E+03,1.1E+03,1.0E+04,1.1E+03,6.2E+03,0.0E+00,0.0E+00,9.1E+01,1.0E+02,9.6E+03,9.9E+03,1.1E+04,AcCa(13:0)+H,(13:0),AcCa,C20 H40 O4 N1,1.287,358.2951855,9.522433629,1.368290289
1.53_372.3102m/z,372.3102,1.53,66223.79869,Accucore_C18_pos,1.2E+05,2.6E+05,8.5E+04,1.4E+05,2.3E+05,1.1E+05,8.2E+04,2.1E+05,6.5E+04,6.2E+04,1.9E+05,2.1E+04,1.1E+05,1.5E+05,1.1E+04,9.3E+04,1.6E+05,5.6E+03,2.4E+04,1.6E+04,2.7E+04,2.2E+04,3.5E+04,1.6E+04,3.1E+04,4.2E+04,6.8E+04,3.1E+04,1.1E+05,2.7E+04,3.3E+04,4.1E+04,8.2E+04,8.3E+04,6.8E+04,6.9E+04,7.4E+04,AcCa(14:0)+H,(14:0),AcCa,C21 H42 O4 N1,1.518911354,372.3108355,26.66666667,0.993887548
1.26_370.2945m/z,370.2945,1.26,26475.39202,Accucore_C18_pos,3.4E+04,9.8E+04,5.1E+04,4.3E+04,1.0E+05,6.0E+04,2.0E+04,8.6E+04,2.9E+04,1.9E+04,5.6E+04,1.4E+04,3.1E+04,6.5E+04,7.6E+03,3.5E+04,7.3E+04,4.4E+03,8.9E+03,6.5E+03,1.0E+04,1.4E+04,1.9E+04,9.9E+03,4.0E+03,2.5E+04,3.7E+04,2.5E+04,4.6E+04,2.6E+04,1.0E+04,1.1E+04,2.7E+04,2.7E+04,3.4E+04,3.7E+04,4.3E+04,AcCa(14:1)+H,(14:1),AcCa,C21 H40 O4 N1,1.243047136,370.2951855,16.0931951,1.011679734
1.86_386.3257m/z,386.3257,1.86,19136.67468,Accucore_C18_pos,1.8E+04,9.7E+05,2.4E+05,2.1E+04,9.2E+05,3.5E+05,5.3E+03,8.3E+05,2.0E+05,9.3E+02,1.8E+05,1.8E+04,6.1E+03,2.8E+05,2.0E+04,4.3E+03,2.5E+05,7.6E+03,5.1E+02,1.9E+04,1.2E+02,3.6E+04,0.0E+00,1.9E+04,6.0E+02,5.7E+04,1.0E+04,6.9E+04,2.5E+04,5.1E+04,1.1E+02,0.0E+00,3.1E+03,2.8E+03,9.8E+04,1.0E+05,1.1E+05,AcCa(15:0)+H,(15:0),AcCa,C22 H44 O4 N1,1.854739497,386.3264855,22.88369959,0.923780818
2.34_400.3414m/z,400.3414,2.34,234327.2624,Accucore_C18_pos,4.2E+05,2.5E+06,5.3E+05,5.5E+05,2.1E+06,7.9E+05,2.6E+05,2.0E+06,5.3E+05,2.0E+05,1.2E+06,1.2E+05,3.2E+05,1.0E+06,8.2E+04,2.7E+05,9.9E+05,3.5E+04,3.9E+04,1.8E+05,4.7E+04,2.3E+05,7.7E+04,1.8E+05,6.6E+04,1.9E+05,1.5E+05,1.3E+05,3.7E+05,1.3E+05,1.0E+05,1.3E+05,2.4E+05,2.5E+05,3.7E+05,3.8E+05,3.8E+05,AcCa(16:0)+H,(16:0),AcCa,C23 H46 O4 N1,2.335521303,400.3421355,23.33333333,0.883985567
1.64_398.3258m/z,398.3258,1.64,172031.6131,Accucore_C18_pos,3.1E+05,8.3E+05,2.1E+05,3.3E+05,7.9E+05,3.0E+05,1.8E+05,7.2E+05,1.7E+05,1.4E+05,5.5E+05,5.4E+04,2.3E+05,3.7E+05,2.6E+04,1.7E+05,4.3E+05,1.6E+04,3.7E+04,6.2E+04,4.3E+04,9.6E+04,6.1E+04,6.5E+04,4.2E+04,1.5E+05,1.7E+05,1.5E+05,2.8E+05,1.8E+05,7.5E+04,9.2E+04,1.7E+05,1.8E+05,1.9E+05,1.9E+05,2.0E+05,AcCa(16:1)+H,(16:1),AcCa,C23 H44 O4 N1,1.624934183,398.3264855,20,1.00866914
3.00_414.3570m/z,414.3570,3.00,5465.49385,Accucore_C18_pos,4.7E+03,4.9E+05,1.8E+05,6.2E+03,4.1E+05,2.7E+05,1.1E+03,3.7E+05,1.7E+05,0.0E+00,7.9E+04,1.2E+04,4.0E+02,1.3E+05,1.5E+04,7.5E+02,1.1E+05,1.8E+03,0.0E+00,3.5E+03,0.0E+00,8.4E+03,0.0E+00,6.7E+03,0.0E+00,1.5E+04,3.9E+02,2.0E+04,4.1E+03,1.7E+04,0.0E+00,0.0E+00,2.8E+02,0.0E+00,4.7E+04,4.8E+04,4.9E+04,AcCa(17:0)+H,(17:0),AcCa,C24 H48 O4 N1,3.028227352,414.3577855,11.62587068,0.340700152
2.60_414.3570m/z,414.3570,2.60,2247.307679,Accucore_C18_pos,6.4E+03,2.6E+05,2.4E+05,4.5E+03,2.3E+05,2.9E+05,1.0E+03,1.4E+05,1.2E+05,0.0E+00,2.6E+03,5.1E+02,1.4E+03,2.7E+04,1.1E+04,7.4E+02,1.1E+04,4.8E+02,0.0E+00,1.3E+02,0.0E+00,2.3E+03,0.0E+00,1.2E+02,3.0E+02,2.1E+03,7.9E+03,2.2E+04,1.2E+04,8.2E+03,0.0E+00,0.0E+00,1.5E+02,1.0E+02,3.1E+04,3.1E+04,2.9E+04,AcCa(17:0)+H,(17:0),AcCa,C24 H48 O4 N1,2.608424631,414.3577855,8.557631535,0.87258665
1.98_412.3413m/z,412.3413,1.98,8566.345681,Accucore_C18_pos,1.5E+04,5.2E+05,1.4E+05,1.5E+04,4.4E+05,2.1E+05,5.1E+03,4.0E+05,1.2E+05,6.1E+02,1.0E+05,9.9E+03,3.9E+03,1.3E+05,6.3E+03,2.8E+03,1.4E+05,1.6E+03,1.2E+02,5.0E+03,1.2E+02,1.4E+04,0.0E+00,7.3E+03,0.0E+00,2.8E+04,5.7E+03,5.5E+04,1.0E+04,5.1E+04,0.0E+00,0.0E+00,1.3E+03,9.6E+02,4.9E+04,5.3E+04,5.3E+04,AcCa(17:1)+H,(17:1),AcCa,C24 H46 O4 N1,1.963218022,412.3421355,11.40965121,0.97052326
3.95_428.3726m/z,428.3726,3.95,54531.4818,Accucore_C18_pos,8.2E+04,2.0E+05,8.3E+04,1.2E+05,1.8E+05,1.4E+05,6.0E+04,1.6E+05,9.2E+04,4.9E+04,8.0E+04,2.0E+04,8.4E+04,7.9E+04,1.3E+04,9.0E+04,6.6E+04,7.3E+02,3.1E+03,9.3E+03,5.3E+03,1.3E+04,1.4E+04,1.2E+04,1.0E+04,1.3E+04,2.3E+04,1.7E+04,6.9E+04,7.8E+03,2.7E+04,3.1E+04,8.2E+04,9.0E+04,4.5E+04,4.8E+04,4.8E+04,AcCa(18:0)+H,(18:0),AcCa,C25 H50 O4 N1,3.951430416,428.3734355,12.29829543,0.914958669
2.46_426.3569m/z,426.3569,2.46,364002.6895,Accucore_C18_pos,5.5E+05,1.9E+06,5.2E+05,6.0E+05,1.6E+06,8.1E+05,4.4E+05,1.5E+06,4.9E+05,3.5E+05,9.9E+05,1.4E+05,5.2E+05,7.7E+05,8.3E+04,3.8E+05,7.1E+05,3.3E+04,6.2E+04,1.4E+05,8.2E+04,2.0E+05,1.2E+05,1.4E+05,1.0E+05,1.9E+05,3.5E+05,1.7E+05,6.3E+05,2.1E+05,1.3E+05,1.5E+05,3.8E+05,4.4E+05,3.7E+05,3.8E+05,3.8E+05,AcCa(18:1)+H,(18:1),AcCa,C25 H48 O4 N1,2.450766435,426.3577855,13.33333333,0.893380809
11.64_582.5108m/z,582.5108,11.64,131058.0957,Accucore_C18_neg,1.4E+05,6.7E+04,1.3E+05,1.4E+05,9.7E+04,1.3E+05,1.2E+05,4.2E+04,9.7E+04,5.5E+04,1.4E+04,7.6E+04,2.3E+05,2.6E+04,6.6E+04,6.7E+04,3.2E+04,3.1E+04,3.2E+05,2.2E+05,4.3E+05,2.2E+05,7.0E+05,2.4E+05,2.6E+05,1.3E+05,2.3E+05,1.7E+05,7.0E+05,2.4E+05,1.3E+05,1.1E+05,2.2E+05,1.8E+05,1.5E+05,1.0E+05,8.8E+04,Cer(d18:1/16:0)+HCOO,(d18:1/16:0),Cer,C35 H68 O5 N1,11.64458128,582.5102975,8.134458084,1.176001027
11.65_520.5080m/z,520.5080,11.65,64662.59149,Accucore_C18_pos,5.9E+04,4.9E+04,7.5E+04,5.2E+04,3.2E+04,9.7E+04,5.7E+04,2.7E+04,6.5E+04,2.5E+04,0.0E+00,5.0E+04,9.2E+04,3.7E+03,1.2E+04,4.1E+04,3.4E+03,9.0E+03,1.9E+05,1.1E+05,1.5E+05,1.0E+05,4.2E+05,1.4E+05,1.5E+05,8.3E+04,1.3E+05,6.0E+04,4.0E+05,1.2E+05,4.3E+04,6.9E+04,6.5E+04,7.9E+04,5.8E+04,6.1E+04,6.1E+04,Cer(d18:1/16:0)+H-H2O,(d18:1/16:0),Cer,C34 H66 O2 N1,11.64458128,520.5088055,18.042461,1.01737391
13.71_610.5422m/z,610.5422,13.71,365327.9792,Accucore_C18_neg,1.5E+05,3.8E+05,8.1E+05,1.5E+05,5.0E+05,7.8E+05,1.3E+05,2.0E+05,5.2E+05,1.7E+05,1.3E+05,4.2E+05,4.3E+05,1.9E+05,3.4E+05,1.5E+05,2.0E+05,1.9E+05,3.5E+05,8.2E+05,5.5E+05,8.4E+05,8.8E+05,7.9E+05,2.6E+05,3.8E+05,2.9E+05,6.1E+05,9.2E+05,5.8E+05,1.9E+05,1.7E+05,4.3E+05,3.4E+05,2.7E+05,2.0E+05,1.8E+05,Cer(d18:1/18:0)+HCOO,(d18:1/18:0),Cer,C37 H72 O5 N1,13.71103227,610.5415975,14.21450543,2.019499033
13.72_548.5391m/z,548.5391,13.72,176410.785,Accucore_C18_pos,6.7E+04,2.8E+05,3.5E+05,5.7E+04,1.7E+05,5.8E+05,5.8E+04,1.5E+05,2.5E+05,1.0E+05,5.7E+04,2.6E+05,2.1E+05,8.7E+04,1.3E+05,1.1E+05,7.1E+04,1.0E+05,2.0E+05,3.6E+05,2.0E+05,4.1E+05,5.0E+05,4.0E+05,1.5E+05,2.6E+05,1.7E+05,2.1E+05,5.8E+05,2.6E+05,7.2E+04,1.1E+05,1.5E+05,1.9E+05,1.3E+05,1.3E+05,1.4E+05,Cer(d18:1/18:0)+H-H2O,(d18:1/18:0),Cer,C36 H70 O2 N1,13.71103227,548.5401055,17.95801198,1.467471085
17.99_666.6051m/z,666.6051,17.99,157396.3686,Accucore_C18_neg,1.1E+05,1.1E+05,2.5E+05,9.8E+04,1.5E+05,2.3E+05,8.9E+04,1.1E+05,2.1E+05,7.0E+04,5.8E+04,2.0E+05,1.7E+05,5.2E+04,1.0E+05,8.0E+04,8.8E+04,9.0E+04,1.8E+05,2.4E+05,2.4E+05,2.1E+05,3.6E+05,2.3E+05,1.3E+05,1.7E+05,1.3E+05,2.1E+05,4.2E+05,2.6E+05,1.3E+05,1.2E+05,2.2E+05,1.9E+05,1.2E+05,8.5E+04,7.8E+04,Cer(d18:1/22:0)+HCOO,(d18:1/22:0),Cer,C41 H80 O5 N1,17.982195,666.6041975,9.491150403,3.274136755
17.98_604.6014m/z,604.6014,17.98,72860.37515,Accucore_C18_pos,4.8E+04,7.4E+04,1.1E+05,2.4E+04,4.4E+04,1.5E+05,4.3E+04,6.8E+04,1.1E+05,3.3E+04,1.5E+04,1.2E+05,7.5E+04,1.2E+04,2.2E+04,4.0E+04,2.7E+04,3.6E+04,1.0E+05,1.2E+05,9.3E+04,9.9E+04,1.9E+05,1.1E+05,7.1E+04,1.1E+05,5.5E+04,6.3E+04,2.7E+05,1.1E+05,4.1E+04,7.2E+04,8.1E+04,9.7E+04,4.0E+04,5.5E+04,5.2E+04,Cer(d18:1/22:0)+H-H2O,(d18:1/22:0),Cer,C40 H78 O2 N1,17.982195,604.6027055,18.0517841,2.842876881
15.57_620.5962m/z,620.5962,15.57,19231.5853,Accucore_C18_pos,1.1E+04,1.3E+04,2.0E+04,8.2E+03,8.0E+03,4.2E+04,7.6E+03,1.1E+04,2.3E+04,2.6E+03,4.2E+02,1.5E+04,2.8E+04,0.0E+00,0.0E+00,4.3E+03,9.4E+02,4.7E+02,4.0E+04,4.1E+04,4.2E+04,4.7E+04,9.6E+04,4.4E+04,2.5E+04,1.7E+04,4.8E+04,3.2E+04,1.3E+05,5.0E+04,1.1E+04,1.9E+04,2.2E+04,3.6E+04,1.1E+04,1.5E+04,1.3E+04,Cer(d18:1/22:0+O)+H-H2O| Cer(t18:0/22:1)+H-H2O,(d18:1/22:0+O)| (t18:0/22:1),Cer| Cer,C40 H78 O3 N1| C40 H78 O3 N1,15.527| 15.561,620.59762047| 620.59762047,4.09500533301032| 11.6971902106114,0.385378045574519| 0.443561906666216
19.34_694.6363m/z,694.6363,19.34,180727.8771,Accucore_C18_neg,1.1E+05,1.4E+05,2.8E+05,8.7E+04,1.7E+05,2.5E+05,8.5E+04,1.5E+05,2.5E+05,9.7E+04,1.6E+05,4.1E+05,1.8E+05,8.4E+04,1.7E+05,9.1E+04,1.8E+05,1.7E+05,2.0E+05,3.2E+05,2.5E+05,2.0E+05,4.7E+05,3.0E+05,1.5E+05,3.0E+05,1.1E+05,2.4E+05,5.1E+05,3.6E+05,1.7E+05,1.5E+05,2.3E+05,1.9E+05,1.5E+05,1.1E+05,9.0E+04,Cer(d18:1/24:0)+HCOO,(d18:1/24:0),Cer,C43 H84 O5 N1,19.35950942,694.6354975,14.7821564,2.974186835
19.36_632.6326m/z,632.6326,19.36,94744.88082,Accucore_C18_pos,5.1E+04,1.0E+05,1.4E+05,1.9E+04,5.8E+04,1.9E+05,3.8E+04,1.1E+05,1.4E+05,5.1E+04,8.5E+04,3.0E+05,8.6E+04,3.9E+04,6.2E+04,4.5E+04,8.6E+04,9.9E+04,1.2E+05,1.6E+05,9.6E+04,1.0E+05,2.8E+05,1.6E+05,9.0E+04,2.2E+05,4.5E+04,8.9E+04,3.7E+05,1.9E+05,7.3E+04,9.8E+04,8.9E+04,9.3E+04,7.5E+04,7.1E+04,6.6E+04,Cer(d18:1/24:0)+H-H2O,(d18:1/24:0),Cer,C42 H82 O2 N1,19.35950942,632.6340055,18.41504965,2.364696538
17.61_692.6207m/z,692.6207,17.61,907255.9291,Accucore_C18_neg,5.0E+05,7.7E+05,1.6E+06,4.9E+05,1.0E+06,1.5E+06,4.8E+05,7.4E+05,1.3E+06,4.5E+05,5.1E+05,1.4E+06,9.5E+05,4.3E+05,7.6E+05,4.3E+05,7.2E+05,7.3E+05,9.1E+05,1.6E+06,1.2E+06,1.6E+06,1.9E+06,1.8E+06,7.1E+05,1.1E+06,7.0E+05,1.3E+06,2.1E+06,1.8E+06,6.4E+05,5.9E+05,1.0E+06,9.0E+05,7.1E+05,5.2E+05,4.9E+05,Cer(d18:1/24:1)+HCOO,(d18:1/24:1),Cer,C43 H82 O5 N1,17.61196749,692.6198475,43.41655823,2.33218472
17.61_630.6170m/z,630.6170,17.61,502684.6515,Accucore_C18_pos,2.5E+05,5.6E+05,7.1E+05,2.0E+05,4.0E+05,1.0E+06,2.7E+05,5.3E+05,7.2E+05,2.7E+05,2.6E+05,9.9E+05,5.2E+05,2.2E+05,3.0E+05,2.8E+05,3.2E+05,4.2E+05,6.0E+05,7.9E+05,5.3E+05,7.7E+05,1.1E+06,9.2E+05,4.3E+05,7.5E+05,4.0E+05,5.0E+05,1.4E+06,9.0E+05,3.1E+05,4.3E+05,4.3E+05,5.1E+05,3.5E+05,3.9E+05,3.8E+05,Cer(d18:1/24:1)+H-H2O,(d18:1/24:1),Cer,C42 H80 O2 N1,17.61196749,630.6183555,18.33012511,1.581609415
16.08_630.6171m/z,630.6171,16.08,5889.270971,Accucore_C18_pos,0.0E+00,4.0E+04,5.4E+04,0.0E+00,4.6E+03,1.4E+05,0.0E+00,3.5E+04,3.1E+04,2.5E+03,0.0E+00,1.1E+05,0.0E+00,7.1E+03,1.5E+04,7.9E+02,3.9E+03,2.2E+04,1.4E+03,2.2E+04,0.0E+00,3.7E+04,1.0E+04,1.1E+05,2.4E+03,4.2E+04,3.1E+03,2.3E+04,5.8E+04,3.2E+04,9.9E+02,1.9E+03,2.7E+03,1.8E+03,0.0E+00,1.1E+04,4.4E+03,Cer(d18:1/24:1)+H-H2O,(d18:1/24:1),Cer,C42 H80 O2 N1,16.21,630.6183555,6.598963064,0.250097672
16.27_630.6171m/z,630.6171,16.27,3399.177295,Accucore_C18_pos,0.0E+00,1.4E+04,1.8E+04,0.0E+00,7.8E+02,4.5E+04,7.3E+02,1.0E+04,6.6E+03,0.0E+00,2.0E+03,2.9E+04,4.3E+02,1.8E+03,4.2E+03,0.0E+00,0.0E+00,3.4E+03,0.0E+00,1.1E+04,5.0E+02,9.4E+03,3.4E+03,3.0E+04,2.0E+03,1.2E+04,5.2E+03,9.8E+03,1.7E+04,3.8E+03,1.2E+03,3.0E+03,5.7E+02,3.7E+03,0.0E+00,1.4E+03,1.0E+03,Cer(d18:1/24:1)+H-H2O,(d18:1/24:1),Cer,C42 H80 O2 N1,16.21,630.6183555,6.598963064,0.250097672
16.65_634.6121m/z,634.6121,16.65,28822.80726,Accucore_C18_pos,1.2E+03,1.7E+05,2.1E+05,5.0E+02,1.2E+05,3.4E+05,5.8E+02,1.8E+05,2.4E+05,0.0E+00,1.1E+04,1.2E+05,0.0E+00,2.4E+04,3.4E+04,0.0E+00,5.7E+04,7.0E+04,9.6E+03,1.2E+05,2.1E+03,1.2E+05,5.8E+03,1.1E+05,1.1E+03,1.1E+05,1.9E+03,1.6E+05,3.4E+04,2.0E+05,0.0E+00,0.0E+00,0.0E+00,2.5E+03,3.2E+04,4.0E+04,3.3E+04,Cer(t17:0/24:1)+H-H2O,(t17:0/24:1),Cer,C41 H80 O3 N1,16.64492731,634.6132705,7.016685648,0.27301874
11.65_538.5186m/z,538.5186,11.65,132068.7889,Accucore_C18_pos,1.2E+05,1.1E+05,1.5E+05,1.0E+05,6.6E+04,2.1E+05,1.1E+05,6.8E+04,1.3E+05,6.5E+04,4.0E+03,1.0E+05,1.8E+05,2.2E+04,3.2E+04,8.3E+04,1.5E+04,2.4E+04,3.8E+05,2.1E+05,2.9E+05,2.1E+05,7.4E+05,2.6E+05,2.7E+05,1.7E+05,2.4E+05,1.3E+05,7.5E+05,2.2E+05,9.2E+04,1.4E+05,1.4E+05,1.6E+05,1.2E+05,1.2E+05,1.3E+05,Cer(t18:0/16:0)+H-H2O,(t18:0/16:0),Cer,C34 H68 O3 N1,11.62882952,538.5193705,6.180467674,0.221278259
13.72_566.5499m/z,566.5499,13.72,361174.8839,Accucore_C18_pos,1.5E+05,5.6E+05,7.1E+05,1.3E+05,3.5E+05,1.1E+06,1.4E+05,3.2E+05,5.2E+05,2.2E+05,1.4E+05,5.6E+05,4.2E+05,2.0E+05,2.6E+05,2.3E+05,1.7E+05,2.3E+05,4.4E+05,7.1E+05,4.3E+05,8.0E+05,9.9E+05,8.1E+05,3.0E+05,5.2E+05,3.4E+05,4.3E+05,1.1E+06,5.4E+05,1.7E+05,2.3E+05,3.1E+05,3.8E+05,2.5E+05,2.9E+05,2.9E+05,Cer(t18:0/18:0)+H-H2O,(t18:0/18:0),Cer,C36 H72 O3 N1,13.69474514,566.5506705,24.09700534,0.691096642
17.99_622.6121m/z,622.6121,17.99,202029.567,Accucore_C18_pos,1.3E+05,2.1E+05,2.5E+05,9.7E+04,1.4E+05,3.7E+05,1.3E+05,2.1E+05,2.8E+05,1.1E+05,6.9E+04,3.1E+05,2.0E+05,5.5E+04,9.3E+04,1.2E+05,9.5E+04,1.3E+05,2.7E+05,3.0E+05,2.4E+05,2.4E+05,4.6E+05,2.9E+05,1.8E+05,2.8E+05,1.6E+05,1.8E+05,6.2E+05,2.9E+05,1.4E+05,1.9E+05,2.0E+05,2.4E+05,1.4E+05,1.5E+05,1.4E+05,Cer(t18:0/22:0)+H-H2O,(t18:0/22:0),Cer,C40 H80 O3 N1,17.98293692,622.6132705,28.97545069,1.230678872
18.72_636.6278m/z,636.6278,18.72,47028.11965,Accucore_C18_pos,9.6E+02,1.9E+05,2.3E+05,0.0E+00,1.3E+05,3.3E+05,0.0E+00,2.0E+05,2.6E+05,1.1E+03,4.1E+04,1.9E+05,6.6E+02,3.5E+04,5.9E+04,1.6E+02,7.7E+04,9.5E+04,6.9E+03,1.0E+05,5.1E+02,7.2E+04,6.1E+03,1.0E+05,1.5E+03,1.5E+05,1.2E+03,1.2E+05,5.3E+04,1.4E+05,0.0E+00,0.0E+00,6.4E+02,7.5E+02,3.7E+04,3.8E+04,4.3E+04,Cer(t18:0/23:0)+H-H2O,(t18:0/23:0),Cer,C41 H82 O3 N1,18.71549204,636.6289205,26.14076713,1.528202036
19.36_650.6433m/z,650.6433,19.36,254207.1741,Accucore_C18_pos,1.5E+05,2.6E+05,3.3E+05,9.1E+04,1.8E+05,4.6E+05,1.3E+05,2.9E+05,3.8E+05,1.5E+05,2.3E+05,7.3E+05,2.4E+05,1.2E+05,1.7E+05,1.4E+05,2.2E+05,2.6E+05,3.2E+05,4.0E+05,2.8E+05,2.6E+05,6.7E+05,4.2E+05,2.2E+05,5.7E+05,1.5E+05,2.4E+05,8.8E+05,4.8E+05,1.9E+05,2.5E+05,2.4E+05,2.9E+05,2.1E+05,1.9E+05,2.0E+05,Cer(t18:0/24:0)+H-H2O,(t18:0/24:0),Cer,C42 H84 O3 N1,19.35424269,650.6445705,30,1.414421619
17.61_648.6277m/z,648.6277,17.61,1245960.404,Accucore_C18_pos,6.4E+05,1.4E+06,1.7E+06,5.3E+05,9.9E+05,2.4E+06,7.1E+05,1.3E+06,1.8E+06,6.9E+05,6.6E+05,2.4E+06,1.3E+06,6.1E+05,7.8E+05,7.2E+05,8.4E+05,1.0E+06,1.5E+06,1.9E+06,1.3E+06,1.9E+06,2.7E+06,2.3E+06,1.1E+06,1.9E+06,9.8E+05,1.2E+06,3.2E+06,2.2E+06,8.1E+05,1.1E+06,1.1E+06,1.3E+06,8.9E+05,9.7E+05,9.1E+05,Cer(t18:0/24:1)+H-H2O,(t18:0/24:1),Cer,C42 H82 O3 N1,17.60263487,648.6289205,30,0.551997538
10.30_369.3508m/z,369.3508,10.30,859693.0257,Accucore_C18_pos,7.6E+05,8.1E+05,6.9E+05,7.0E+05,8.6E+05,6.0E+05,7.6E+05,8.3E+05,6.4E+05,8.1E+05,1.1E+06,8.2E+05,1.0E+06,1.1E+06,9.8E+05,8.4E+05,1.0E+06,1.1E+06,8.1E+05,7.5E+05,8.7E+05,9.1E+05,9.1E+05,8.2E+05,9.6E+05,9.5E+05,9.6E+05,8.9E+05,9.6E+05,8.6E+05,8.0E+05,8.4E+05,9.4E+05,9.1E+05,9.7E+05,1.0E+06,1.0E+06,ChE(0:0)+H-H2O,(0:0),ChE,C27 H45 O0,10.29578484,369.3515765,12.05342112,6.233201558
21.49_1373.9501m/z,1373.9501,21.49,593319.7058,Accucore_C18_neg,5.3E+05,1.0E+06,1.3E+06,4.5E+05,1.0E+06,1.2E+06,4.3E+05,9.2E+05,1.1E+06,2.4E+05,4.3E+05,7.0E+05,5.9E+05,5.0E+05,6.5E+05,3.2E+05,6.6E+05,5.7E+05,2.9E+05,9.3E+05,4.1E+05,7.8E+05,3.4E+05,7.8E+05,2.5E+05,4.7E+05,6.0E+05,9.9E+05,5.5E+05,7.4E+05,4.1E+05,3.8E+05,6.9E+05,6.4E+05,6.3E+05,5.5E+05,5.3E+05,CL(14:0/18:1/16:1/18:1)-H,(14:0/18:1/16:1/18:1),CL,C75 H139 O17 P2,21.49041004,1373.949305,114.1903298,0.134186089
21.21_1359.9343m/z,1359.9343,21.21,152321.1083,Accucore_C18_neg,4.5E+04,5.5E+05,8.3E+05,2.3E+04,6.3E+05,7.1E+05,1.3E+04,5.0E+05,6.9E+05,0.0E+00,1.3E+05,3.6E+05,4.0E+04,2.1E+05,3.2E+05,0.0E+00,3.0E+05,2.5E+05,3.7E+03,3.8E+05,3.3E+03,3.9E+05,0.0E+00,4.2E+05,1.6E+03,1.7E+05,7.9E+04,5.2E+05,9.7E+04,3.1E+05,7.0E+02,7.0E+02,3.6E+04,2.3E+04,2.2E+05,1.6E+05,1.7E+05,CL(15:0/16:1/16:1/18:1)-H,(15:0/16:1/16:1/18:1),CL,C74 H137 O17 P2,21.20220462,1359.933655,115.9332207,0.15392175
22.28_1389.9815m/z,1389.9815,22.28,393906.6023,Accucore_C18_neg,1.4E+04,1.0E+06,1.4E+06,2.2E+03,1.1E+06,1.3E+06,1.0E+04,1.0E+06,1.1E+06,0.0E+00,3.4E+05,8.1E+05,3.4E+03,4.5E+05,5.7E+05,0.0E+00,7.0E+05,5.6E+05,6.9E+03,9.0E+05,6.5E+03,7.7E+05,1.5E+03,8.0E+05,0.0E+00,6.7E+05,3.1E+04,1.3E+06,6.2E+04,1.1E+06,4.9E+03,2.0E+03,1.4E+04,9.4E+03,4.5E+05,3.4E+05,3.1E+05,CL(15:0/18:1/16:0/18:1)-H,(15:0/18:1/16:0/18:1),CL,C76 H143 O17 P2,22.28791727,1389.980605,134.8551254,0.299649454
21.76_1387.9654m/z,1387.9654,21.76,1129430.412,Accucore_C18_neg,2.5E+05,2.2E+06,2.6E+06,1.8E+05,2.4E+06,2.7E+06,1.5E+05,2.1E+06,2.4E+06,5.2E+04,9.9E+05,1.6E+06,2.3E+05,1.3E+06,1.5E+06,1.0E+05,1.5E+06,1.3E+06,9.3E+04,1.8E+06,8.6E+04,1.7E+06,3.4E+04,1.7E+06,6.4E+04,1.3E+06,3.5E+05,2.2E+06,4.1E+05,1.7E+06,6.8E+04,5.1E+04,2.1E+05,1.8E+05,1.2E+06,9.2E+05,9.4E+05,CL(15:0/18:1/16:1/18:1)-H,(15:0/18:1/16:1/18:1),CL,C76 H141 O17 P2,21.73772435,1387.964955,129.017048,0.073811758
20.88_1373.9439m/z,1373.9439,20.88,122325.2945,Accucore_C18_pos,2.9E+04,3.4E+05,5.2E+05,3.1E+04,1.6E+05,4.9E+05,2.8E+04,2.4E+05,4.1E+05,1.4E+04,1.4E+04,4.0E+05,1.8E+05,3.8E+04,8.3E+04,2.4E+04,8.0E+04,1.3E+05,3.1E+04,2.6E+05,4.8E+04,3.4E+05,5.2E+04,4.0E+05,1.4E+04,3.5E+04,3.2E+05,1.9E+05,5.2E+05,1.1E+05,4.5E+04,5.6E+04,1.6E+05,1.8E+05,1.1E+05,6.9E+04,8.2E+04,CL(16:1/16:1/16:1/18:1)+H,(16:1/16:1/16:1/18:1),CL,C75 H139 O17 P2,20.89073317,1373.948207,15.62494817,5.06319822
