Compound,m.z,Retention.time..min.,Intensity,Mode,Y1-act-11,Y1-qui-try-11,Y1-qui-scr-11,Y2-act-11,Y2-qui-try-11,Y2-qui-scr-11,Y3-act-11,Y3-qui-try-11,Y3-qui-scr-11,O1-act-11,O1-qui-try-11,O1-qui-scr-11,O2-act-11,O2-qui-try-11,O2-qui-scr-11,O3-act-11,O3-qui-try-11,O3-qui-scr-11,Y1-act-8,Y1-qui-8,Y2-act-8,Y2-qui-8,Y3-act-8,Y3-qui-8,O1-act-8,O1-qui-8,O2-act-8,O2-qui-8,O3-act-8,O3-qui-8,Act-Adherent-1,Act-Adherent-2,Act-suspension-1,Act-suspension-2,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
18.44_859.6920m/z,859.6920,18.44,666283.7799,Accucore_C18_neg,1.5E+05,6.0E+05,1.4E+06,1.1E+05,7.7E+05,1.3E+06,9.8E+04,7.3E+05,1.4E+06,1.4E+05,8.7E+05,2.2E+06,2.8E+05,5.1E+05,1.1E+06,9.4E+04,8.4E+05,8.9E+05,2.1E+05,1.8E+06,3.0E+05,1.1E+06,5.0E+05,1.8E+06,2.3E+05,1.4E+06,2.3E+05,1.1E+06,1.1E+06,1.2E+06,2.1E+05,1.8E+05,2.1E+05,1.7E+05,5.0E+05,3.7E+05,3.5E+05,SM(d18:1/24:0)+HCOO,(d18:1/24:0),SM,C48 H96 O8 N2 P1,18.4192613,859.6909795,19.0730231,1.324579941
18.42_837.6800m/z,837.6800,18.42,192611.1277,Accucore_C18_pos,1.0E+04,2.4E+05,4.3E+05,3.4E+03,1.6E+05,6.2E+05,3.4E+03,3.3E+05,5.1E+05,4.9E+03,2.8E+05,1.1E+06,4.7E+04,1.3E+05,2.6E+05,1.1E+04,2.2E+05,3.1E+05,3.8E+04,6.2E+05,2.2E+04,3.3E+05,1.5E+05,6.7E+05,3.3E+04,6.4E+05,3.6E+04,2.4E+05,4.2E+05,4.0E+05,1.9E+04,3.0E+04,9.0E+03,1.1E+04,1.2E+05,1.2E+05,1.3E+05,SM(d18:1/24:0)+Na,(d18:1/24:0),SM,C47 H95 O6 N2 P1 Na1,18.4192613,837.6819975,5.248377124,0.429415923
16.04_813.6825m/z,813.6825,16.04,13182199.98,Accucore_C18_pos,7.0E+06,2.0E+07,3.0E+07,6.3E+06,1.6E+07,4.5E+07,6.3E+06,2.1E+07,3.1E+07,6.0E+06,1.1E+07,3.6E+07,1.1E+07,1.1E+07,1.5E+07,5.9E+06,1.2E+07,1.6E+07,9.6E+06,2.9E+07,8.8E+06,2.3E+07,1.5E+07,3.2E+07,8.7E+06,2.2E+07,1.2E+07,1.7E+07,2.7E+07,2.3E+07,7.2E+06,9.1E+06,7.3E+06,8.4E+06,1.2E+07,1.2E+07,1.2E+07,SM(d18:1/24:1)+H,(d18:1/24:1),SM,C47 H94 O6 N2 P1,16.03422835,813.6844025,13.33333333,0.613019965
16.05_857.6764m/z,857.6764,16.05,4278364.516,Accucore_C18_neg,2.2E+06,4.5E+06,9.6E+06,2.2E+06,6.2E+06,9.7E+06,1.8E+06,4.6E+06,8.6E+06,1.6E+06,3.4E+06,8.5E+06,3.5E+06,3.2E+06,6.0E+06,1.5E+06,4.2E+06,4.5E+06,2.5E+06,8.9E+06,3.6E+06,7.1E+06,4.3E+06,9.2E+06,2.4E+06,5.6E+06,3.3E+06,7.0E+06,7.4E+06,7.4E+06,2.5E+06,2.2E+06,2.9E+06,2.5E+06,3.6E+06,2.8E+06,2.8E+06,SM(d18:1/24:1)+HCOO,(d18:1/24:1),SM,C48 H94 O8 N2 P1,16.03422835,857.6753295,19.67016596,0.221832291
16.04_835.6644m/z,835.6644,16.04,2216048.602,Accucore_C18_pos,9.2E+05,3.8E+06,7.2E+06,8.6E+05,2.9E+06,1.2E+07,8.5E+05,4.1E+06,7.5E+06,8.1E+05,1.6E+06,8.9E+06,1.7E+06,1.6E+06,2.7E+06,8.0E+05,1.9E+06,2.7E+06,1.4E+06,6.5E+06,1.3E+06,4.8E+06,2.6E+06,7.5E+06,1.3E+06,4.5E+06,1.8E+06,3.1E+06,5.9E+06,4.7E+06,1.0E+06,1.3E+06,1.0E+06,1.2E+06,1.8E+06,1.9E+06,1.9E+06,SM(d18:1/24:1)+Na,(d18:1/24:1),SM,C47 H93 O6 N2 P1 Na1,16.03422835,835.6663475,5.977263875,0.788748298
14.07_811.6667m/z,811.6667,14.07,316983.34,Accucore_C18_pos,2.1E+05,1.9E+05,3.6E+05,1.9E+05,1.5E+05,5.6E+05,1.7E+05,2.8E+05,4.7E+05,9.6E+04,2.5E+05,1.0E+06,2.9E+05,7.0E+04,1.5E+05,1.2E+05,2.2E+05,3.1E+05,6.4E+05,4.2E+05,4.4E+05,2.6E+05,7.4E+05,4.0E+05,4.4E+05,7.5E+05,5.7E+05,3.2E+05,9.6E+05,6.4E+05,3.3E+05,4.3E+05,1.7E+05,2.1E+05,2.4E+05,2.5E+05,2.5E+05,SM(d18:1/24:2)+H,(d18:1/24:2),SM,C47 H92 O6 N2 P1,14.06990122,811.6687525,19.34449925,1.336890537
13.19_745.6190m/z,745.6190,13.19,234665.0444,Accucore_C18_pos,2.1E+04,1.5E+06,2.3E+06,3.0E+03,9.8E+05,3.4E+06,6.7E+02,9.0E+05,1.8E+06,6.4E+02,1.2E+05,7.7E+05,3.0E+04,4.0E+05,6.0E+05,1.6E+03,2.7E+05,3.7E+05,9.1E+03,6.7E+05,1.2E+03,6.0E+05,1.2E+04,7.0E+05,5.9E+03,4.1E+05,5.3E+04,1.0E+06,2.0E+05,7.5E+05,6.7E+02,2.8E+03,6.2E+03,1.1E+03,3.2E+05,3.1E+05,3.0E+05,SM(d19:0/18:1)+H,(d19:0/18:1),SM,C42 H86 O6 N2 P1,13.16097295,745.6218025,9.819897315,0.142451072
14.28_759.6355m/z,759.6355,14.28,388477.8104,Accucore_C18_pos,2.3E+05,5.9E+05,1.0E+06,2.4E+05,4.9E+05,1.5E+06,1.8E+05,6.2E+05,1.1E+06,1.5E+05,1.4E+05,6.7E+05,3.8E+05,2.3E+05,3.9E+05,1.5E+05,2.3E+05,3.6E+05,3.8E+05,9.0E+05,3.3E+05,6.3E+05,4.8E+05,7.9E+05,2.9E+05,4.1E+05,5.9E+05,5.5E+05,1.2E+06,5.4E+05,2.2E+05,3.0E+05,2.6E+05,3.2E+05,3.6E+05,3.5E+05,3.5E+05,SM(d20:0/18:1)+H,(d20:0/18:1),SM,C43 H88 O6 N2 P1,14.27398991,759.6374525,10,0.32520986
1.86_300.2891m/z,300.2891,1.86,15912.05573,Accucore_C18_pos,1.9E+04,3.5E+04,1.6E+04,1.7E+04,2.9E+04,2.8E+04,1.5E+04,3.1E+04,1.5E+04,2.0E+04,1.0E+04,4.7E+03,3.2E+04,1.9E+04,6.4E+03,1.6E+04,1.7E+04,4.5E+03,9.7E+03,1.4E+04,9.8E+03,1.2E+04,2.0E+04,1.5E+04,1.0E+04,9.8E+03,2.1E+04,6.8E+03,3.5E+04,9.9E+03,1.3E+04,1.8E+04,2.5E+04,2.8E+04,1.4E+04,1.5E+04,1.6E+04,SPH(d18:1)+H| SPH(t18:0)+H-H2O,(d18:1)| (t18:0),SPH| SPH,C18 H38 O2 N1| C18 H38 O2 N1,1.8472400177854| 1.834,300.28970547| 300.28970547,19.0130757204089| 8.94126654510056,1.10100796500136| 0.362543645942041
18.90_684.6121m/z,684.6121,18.90,2776.435831,Accucore_C18_pos,3.7E+03,2.4E+03,7.5E+03,1.4E+03,2.2E+03,1.4E+03,4.2E+03,1.5E+03,3.4E+03,7.4E+03,3.6E+04,3.7E+04,6.5E+02,2.3E+03,1.0E+04,1.8E+04,1.9E+03,2.3E+03,9.1E+02,2.3E+03,4.9E+03,8.9E+03,2.7E+03,2.4E+04,5.1E+03,1.9E+03,4.2E+03,2.1E+03,2.9E+04,0.0E+00,1.8E+03,2.9E+03,1.1E+04,0.0E+00,7.0E+02,0.0E+00,2.0E+03,TG(12:0/12:0/14:0)+NH4,(12:0/12:0/14:0),TG,C41 H82 O6 N1,18.45135841,684.6136655,52.78002071,4.69547699
