LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,mScore,tScore,Mode,CalcMz,IonFormula,RT,Intensity,1O3_A,3O3_E,5O3_F,7O3_M,9O3_N,11O3_P,13O5_A,15O5_E,17O5_F,19O5_M,21O5_N,23O5_P,25O7_A,27O7_E,29O7_F,31O7_M,33O7_N,35O7_P,37O8_A,39O8_E,41O8_F,43O8_M,45O8_N,47O8_P,49PBS_1,51PBS_2,53PBS_3,55QC_1,57QC_2,59QC_3,61QC_4,63Y3_A,65Y3_E,67Y3_F,69Y3_M,71Y3_N,73Y3_P,75Y4_A,77Y4_E,79Y4_F,81Y4_M,83Y4_N,85Y4_P,87Y5_A,89Y5_E,91Y5_F,93Y5_M,95Y5_N,97Y5_P,99Y6_A,101Y6_E,103Y6_F,105Y6_M,107Y6_N,109Y6_P
Hex1Cer(t16:0/18:1)-H,Hex1Cer,(t16:0/18:1),(t16:0),(18:1),,,4.6,4.1,Accucore_C18_neg,714.5526,C40 H76 O9 N1,13.48,1.6E+07,8.3E+06,7.4E+06,2.6E+07,4.1E+06,3.0E+07,1.3E+07,2.1E+07,2.1E+07,2.6E+07,8.8E+06,2.4E+07,1.5E+07,8.6E+06,1.5E+07,2.7E+07,7.2E+06,1.9E+07,1.4E+07,9.6E+06,1.0E+07,1.5E+07,2.8E+06,2.4E+07,6.0E+06,1.5E+04,0.0E+00,0.0E+00,2.1E+07,2.0E+07,2.2E+07,2.0E+07,2.0E+07,2.0E+07,5.0E+07,8.7E+06,4.1E+07,1.4E+07,1.6E+07,1.5E+07,5.1E+07,6.8E+06,3.5E+07,1.4E+07,2.5E+07,2.1E+07,3.3E+07,1.8E+07,4.2E+07,1.9E+07,1.3E+07,1.2E+07,3.3E+07,1.2E+07,3.2E+07,1.4E+07
PS(18:1/23:0)-H,PS,(18:1/23:0),(18:1),(23:0),,,3.5,5.7,Accucore_C18_neg,858.6230,C47 H89 O10 N1 P1,13.49,1.5E+05,2.4E+05,5.0E+04,2.0E+05,1.1E+05,5.7E+04,1.2E+05,1.1E+05,8.7E+04,1.2E+06,9.2E+04,1.7E+05,2.6E+05,2.5E+05,2.6E+05,4.2E+05,2.7E+05,4.5E+05,3.1E+05,2.3E+05,2.8E+04,3.3E+05,1.5E+05,7.7E+04,3.3E+04,0.0E+00,0.0E+00,0.0E+00,2.0E+05,2.2E+05,3.3E+05,7.7E+04,2.3E+05,3.3E+04,4.6E+05,5.6E+04,9.3E+04,2.0E+05,9.2E+04,6.1E+04,1.2E+05,1.3E+05,3.9E+05,3.3E+05,3.9E+05,6.4E+04,7.5E+05,5.3E+04,1.5E+05,2.5E+05,6.7E+04,3.9E+04,6.5E+05,2.8E+05,9.0E+04,7.1E+04
Hex1Cer(d18:0/18:1)+HCOO,Hex1Cer,(d18:0/18:1),(d18:0),(18:1),,,6.0,3.1,Accucore_C18_neg,772.5944,C43 H82 O10 N1,13.50,2.6E+06,2.2E+05,1.3E+06,2.9E+06,1.5E+06,2.5E+06,2.7E+06,2.9E+06,2.0E+06,3.9E+06,7.8E+04,1.8E+06,2.8E+06,2.2E+06,2.6E+06,3.9E+06,2.3E+06,1.8E+06,2.8E+06,1.0E+05,1.6E+06,2.7E+06,2.6E+05,2.7E+06,2.0E+06,0.0E+00,0.0E+00,0.0E+00,2.7E+06,3.0E+06,2.6E+06,2.7E+06,3.2E+06,2.0E+06,4.3E+06,2.1E+06,3.5E+06,2.6E+06,3.2E+06,2.2E+06,5.1E+06,1.6E+06,3.5E+06,2.5E+06,3.0E+06,2.4E+06,3.4E+06,2.7E+06,3.4E+06,2.8E+06,2.3E+06,1.7E+06,3.8E+06,2.2E+06,2.9E+06,1.7E+06
PC(16:0/18:1)+H,PC,(16:0/18:1),(16:0),(18:1),,,19.4,2.1,Accucore_C18_pos,760.5851,C42 H83 O8 N1 P1,13.51,6.7E+05,6.0E+05,1.3E+06,1.2E+06,1.0E+06,3.7E+05,3.7E+05,7.2E+05,8.3E+04,1.6E+06,3.6E+05,4.3E+05,2.3E+06,1.5E+06,3.5E+05,3.5E+05,1.1E+06,8.0E+05,4.5E+05,1.8E+06,3.7E+05,4.8E+05,5.3E+05,1.2E+06,7.3E+05,6.1E+04,6.7E+04,4.2E+04,6.2E+05,1.0E+06,6.7E+05,1.1E+06,8.1E+05,5.0E+05,1.5E+05,5.3E+05,7.9E+05,2.2E+06,5.0E+04,6.1E+05,3.7E+05,9.6E+05,6.9E+05,6.6E+05,2.5E+05,7.5E+05,1.7E+06,9.3E+05,3.2E+05,7.8E+05,7.2E+05,1.3E+06,2.3E+06,3.9E+05,1.0E+05,9.5E+05
PC(10:1e/23:0)+H,PC,(10:1e/23:0),(10:1e),(23:0),,,13.0,2.0,Accucore_C18_pos,732.5902,C41 H83 O7 N1 P1,13.52,3.2E+06,2.0E+06,2.1E+06,6.7E+06,2.7E+06,6.6E+06,2.6E+06,2.7E+06,2.8E+06,8.9E+06,3.3E+06,7.4E+06,2.6E+06,2.7E+06,3.1E+06,9.4E+06,3.6E+06,8.2E+06,3.2E+06,2.2E+06,1.9E+06,6.0E+06,2.7E+06,7.6E+06,1.9E+06,0.0E+00,1.3E+04,0.0E+00,5.5E+06,5.3E+06,4.6E+06,5.1E+06,2.8E+06,3.1E+06,1.1E+07,3.2E+06,1.0E+07,4.9E+05,3.6E+06,2.8E+06,1.1E+07,3.1E+06,9.9E+06,3.1E+06,3.0E+06,2.8E+06,1.0E+07,5.6E+06,1.2E+07,3.3E+06,3.1E+06,3.3E+06,1.1E+07,4.0E+06,9.7E+06,3.2E+06
PC(10:1e/23:0)+Na,PC,(10:1e/23:0),(10:1e),(23:0),,,6.0,2.0,Accucore_C18_pos,754.5721,C41 H82 O7 N1 P1 Na1,13.52,3.3E+05,2.4E+04,3.3E+05,4.2E+06,1.1E+05,1.4E+05,1.6E+05,2.3E+05,1.1E+05,1.5E+06,4.9E+05,2.6E+05,9.3E+04,7.1E+05,5.5E+04,3.7E+06,2.2E+05,1.4E+05,4.9E+04,1.5E+06,1.5E+05,1.4E+05,1.0E+05,5.2E+05,1.4E+05,2.0E+04,1.1E+04,1.3E+04,2.5E+05,2.7E+05,4.8E+05,7.3E+05,3.6E+05,2.0E+05,6.7E+06,4.3E+05,4.2E+05,3.3E+05,6.1E+05,6.9E+05,7.7E+06,1.3E+04,2.1E+06,1.0E+05,4.2E+05,1.1E+06,2.7E+06,7.0E+05,1.3E+06,9.8E+05,1.6E+05,6.1E+04,4.8E+06,4.5E+05,1.6E+06,5.1E+04
SPHP(d19:0)+H-H2O,SPHP,(d19:0),(d19:0),,,,4.8,9.6,Accucore_C18_pos,378.2768,C19 H41 O4 N1 P1,13.54,8.8E+05,4.7E+05,1.2E+05,1.4E+06,1.8E+05,1.6E+06,6.4E+05,1.2E+06,7.5E+05,1.5E+06,3.8E+05,1.4E+06,8.8E+05,4.7E+05,6.9E+05,1.6E+06,2.7E+05,1.0E+06,8.9E+05,6.3E+05,5.3E+05,7.4E+05,3.0E+04,1.3E+06,2.3E+05,0.0E+00,0.0E+00,0.0E+00,9.9E+05,1.1E+06,1.3E+06,1.0E+06,1.2E+06,1.2E+06,3.3E+06,4.0E+05,2.7E+06,8.2E+05,9.1E+05,8.1E+05,3.3E+06,1.9E+05,2.0E+06,8.4E+05,1.4E+06,1.2E+06,1.9E+06,8.2E+05,3.0E+06,1.1E+06,8.3E+05,6.3E+05,2.0E+06,6.5E+05,1.8E+06,8.1E+05
PE(16:1e/19:1)+H,PE,(16:1e/19:1),(16:1e),(19:1),,,6.4,1.0,Accucore_C18_pos,716.5589,C40 H79 O7 N1 P1,13.54,3.2E+07,1.5E+07,1.3E+07,4.9E+07,5.5E+06,5.4E+07,2.3E+07,3.8E+07,3.7E+07,4.6E+07,1.9E+07,4.4E+07,3.1E+07,1.7E+07,2.5E+07,4.8E+07,1.3E+07,3.5E+07,2.8E+07,2.1E+07,1.8E+07,2.7E+07,4.6E+06,4.4E+07,1.1E+07,3.3E+04,2.7E+04,5.2E+04,3.8E+07,3.8E+07,3.7E+07,3.5E+07,3.9E+07,3.7E+07,9.9E+07,1.5E+07,8.2E+07,2.7E+07,3.2E+07,2.6E+07,1.0E+08,1.1E+07,6.2E+07,2.8E+07,4.5E+07,3.9E+07,6.4E+07,3.4E+07,9.2E+07,3.5E+07,2.4E+07,2.1E+07,6.0E+07,2.1E+07,5.8E+07,2.8E+07
PE(16:1e/19:1)-H,PE,(16:1e/19:1),(16:1e),(19:1),,,7.2,1.7,Accucore_C18_neg,714.5443,C40 H77 O7 N1 P1,13.54,2.3E+07,1.1E+07,1.0E+07,3.3E+07,5.2E+06,4.1E+07,1.7E+07,2.8E+07,2.5E+07,3.5E+07,1.2E+07,3.2E+07,2.1E+07,1.2E+07,1.8E+07,3.8E+07,9.1E+06,2.5E+07,1.9E+07,1.3E+07,1.4E+07,2.1E+07,3.6E+06,3.1E+07,8.7E+06,3.3E+04,0.0E+00,0.0E+00,2.9E+07,2.7E+07,2.9E+07,2.6E+07,2.8E+07,2.6E+07,6.8E+07,1.1E+07,5.7E+07,1.9E+07,2.3E+07,1.9E+07,6.6E+07,9.2E+06,4.5E+07,2.0E+07,3.3E+07,3.1E+07,4.4E+07,2.3E+07,5.9E+07,2.4E+07,1.8E+07,1.6E+07,4.3E+07,1.7E+07,4.2E+07,1.9E+07
PE(16:1e/19:1)+Na,PE,(16:1e/19:1),(16:1e),(19:1),,,26.9,1.0,Accucore_C18_pos,738.5408,C40 H78 O7 N1 P1 Na1,13.54,6.4E+06,3.1E+06,2.8E+06,1.1E+07,1.2E+06,1.1E+07,5.2E+06,7.9E+06,8.3E+06,1.0E+07,3.5E+06,9.4E+06,6.1E+06,3.9E+06,5.4E+06,1.1E+07,2.8E+06,7.5E+06,6.1E+06,2.5E+06,3.8E+06,5.2E+06,1.1E+06,9.1E+06,2.5E+06,2.0E+04,0.0E+00,0.0E+00,7.7E+06,7.5E+06,8.0E+06,7.8E+06,8.4E+06,8.1E+06,2.2E+07,3.3E+06,1.8E+07,5.7E+06,6.2E+06,5.0E+06,2.1E+07,2.3E+06,1.3E+07,6.0E+06,9.7E+06,8.3E+06,1.3E+07,6.4E+06,1.9E+07,6.7E+06,5.3E+06,4.6E+06,1.3E+07,4.8E+06,1.2E+07,6.5E+06
