LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,mScore,tScore,Mode,CalcMz,IonFormula,RT,Intensity,1O3_A,3O3_E,5O3_F,7O3_M,9O3_N,11O3_P,13O5_A,15O5_E,17O5_F,19O5_M,21O5_N,23O5_P,25O7_A,27O7_E,29O7_F,31O7_M,33O7_N,35O7_P,37O8_A,39O8_E,41O8_F,43O8_M,45O8_N,47O8_P,49PBS_1,51PBS_2,53PBS_3,55QC_1,57QC_2,59QC_3,61QC_4,63Y3_A,65Y3_E,67Y3_F,69Y3_M,71Y3_N,73Y3_P,75Y4_A,77Y4_E,79Y4_F,81Y4_M,83Y4_N,85Y4_P,87Y5_A,89Y5_E,91Y5_F,93Y5_M,95Y5_N,97Y5_P,99Y6_A,101Y6_E,103Y6_F,105Y6_M,107Y6_N,109Y6_P
SPH(t16:0)+H,SPH,(t16:0),(t16:0),,,,5.1,3.3,Accucore_C18_pos,290.2690,C16 H36 O3 N1,0.07,1.6E+04,3.2E+05,3.8E+04,1.3E+04,3.4E+04,5.8E+04,3.4E+04,5.8E+03,2.3E+04,3.3E+04,1.6E+04,8.7E+03,1.6E+04,7.1E+03,1.9E+04,4.4E+04,5.0E+04,3.5E+04,6.9E+03,7.5E+04,6.1E+03,3.1E+03,1.1E+04,6.6E+03,1.5E+04,4.2E+03,3.1E+03,1.6E+04,2.3E+04,3.1E+04,2.3E+04,2.9E+03,1.7E+04,2.6E+04,1.8E+05,1.2E+04,1.1E+04,1.3E+04,1.9E+04,9.5E+03,4.9E+04,4.7E+03,3.5E+04,7.5E+03,1.6E+03,1.5E+03,1.1E+04,1.4E+04,1.0E+04,1.5E+04,3.3E+04,1.9E+04,5.8E+04,5.6E+04,1.7E+04,1.7E+04
SPH(t16:0)+H,SPH,(t16:0),(t16:0),,,,5.8,2.7,Accucore_C18_pos,290.2690,C16 H36 O3 N1,0.61,1.8E+04,1.2E+04,2.1E+04,1.4E+06,3.3E+04,8.4E+03,1.1E+04,1.0E+04,2.8E+06,2.3E+04,6.1E+03,4.5E+04,3.7E+04,1.9E+04,1.8E+04,8.8E+03,1.7E+04,1.2E+04,1.3E+04,5.3E+03,2.1E+04,2.2E+04,7.2E+03,2.5E+04,6.4E+05,1.6E+04,1.1E+04,7.2E+03,2.6E+04,1.9E+04,9.2E+03,3.1E+04,2.2E+04,1.8E+04,3.0E+04,2.3E+03,9.8E+03,1.1E+04,4.6E+03,5.7E+05,1.3E+04,3.5E+04,2.4E+04,3.8E+04,2.5E+03,3.4E+04,9.5E+03,2.0E+04,3.6E+04,1.1E+04,1.4E+04,2.2E+04,1.1E+04,3.0E+04,1.7E+04,3.0E+03
AEA(15:1)+NH4,AEA,(15:1),(15:1),,,,9.1,2.1,Accucore_C18_pos,301.2850,C17 H37 O2 N2,1.06,1.4E+04,4.6E+04,1.1E+04,0.0E+00,0.0E+00,2.9E+05,0.0E+00,0.0E+00,0.0E+00,1.2E+04,0.0E+00,0.0E+00,0.0E+00,3.2E+04,1.5E+04,0.0E+00,0.0E+00,1.4E+04,1.9E+04,0.0E+00,0.0E+00,2.0E+04,9.8E+03,0.0E+00,1.5E+04,4.1E+04,1.6E+04,2.0E+05,1.6E+04,5.8E+04,5.0E+04,6.1E+04,9.2E+04,1.8E+04,6.5E+04,0.0E+00,1.9E+05,1.8E+04,0.0E+00,8.2E+03,1.1E+04,3.8E+04,1.2E+05,1.5E+04,2.2E+05,1.1E+04,0.0E+00,2.6E+04,7.9E+05,0.0E+00,0.0E+00,4.5E+04,0.0E+00,0.0E+00,3.0E+04,0.0E+00
SPH(t16:0)+H,SPH,(t16:0),(t16:0),,,,6.9,1.9,Accucore_C18_pos,290.2690,C16 H36 O3 N1,1.08,1.7E+06,3.2E+06,4.1E+05,9.6E+05,6.7E+06,1.8E+06,1.4E+06,1.4E+06,2.6E+06,1.4E+06,2.7E+06,4.0E+06,2.6E+06,7.3E+05,2.9E+05,4.2E+05,3.2E+06,1.4E+06,8.7E+05,1.3E+06,6.4E+05,2.8E+06,1.1E+07,3.0E+06,2.6E+06,7.2E+05,5.1E+06,1.9E+06,1.9E+06,5.0E+05,3.8E+06,7.6E+05,1.2E+06,7.7E+06,1.2E+06,5.5E+06,8.9E+05,1.2E+07,7.0E+06,2.6E+05,1.0E+06,1.4E+07,2.3E+06,3.5E+06,5.2E+05,2.5E+06,4.6E+05,6.7E+05,1.1E+06,9.6E+06,1.7E+06,3.8E+05,1.2E+06,5.6E+06,4.4E+06,6.5E+05
LPC(18:2)+H,LPC,(18:2),(18:2),,,,9.6,0.7,Accucore_C18_pos,520.3398,C26 H51 O7 N1 P1,1.34,2.7E+04,2.4E+04,2.7E+04,2.1E+04,2.8E+04,5.1E+04,2.6E+04,1.6E+04,1.3E+04,2.4E+04,3.0E+04,2.1E+04,1.8E+04,1.7E+04,2.7E+04,3.9E+04,5.0E+03,5.9E+04,2.3E+04,3.3E+04,3.3E+04,1.9E+04,3.4E+04,2.7E+04,4.1E+04,8.0E+04,1.8E+04,1.3E+03,4.3E+04,5.0E+04,5.3E+04,2.2E+04,2.6E+04,1.4E+04,2.0E+04,6.3E+04,1.9E+04,3.6E+04,1.4E+04,4.2E+04,5.8E+03,3.6E+04,1.0E+05,2.8E+04,5.4E+04,9.2E+04,2.0E+04,1.3E+04,1.7E+04,5.8E+04,5.8E+04,2.9E+04,8.2E+04,2.0E+04,1.6E+04,3.7E+04
MLCL(10:4/22:6/22:6)-2H,MLCL,(10:4/22:6/22:6),(10:4),(22:6),(22:6),,8.7,7.9,Accucore_C18_neg,582.2858,C63 H90 O16 P2,1.39,6.3E+05,1.1E+06,2.7E+06,0.0E+00,9.1E+05,0.0E+00,1.9E+04,0.0E+00,0.0E+00,9.6E+05,1.0E+06,2.0E+05,3.5E+05,1.1E+06,6.3E+05,2.9E+05,1.3E+06,1.2E+06,0.0E+00,0.0E+00,0.0E+00,3.3E+05,1.3E+06,0.0E+00,8.7E+05,0.0E+00,0.0E+00,0.0E+00,7.3E+05,8.3E+05,6.6E+05,9.7E+05,0.0E+00,1.3E+06,0.0E+00,1.5E+06,5.6E+05,1.5E+06,7.1E+05,1.3E+06,0.0E+00,4.6E+05,1.4E+06,3.5E+05,0.0E+00,9.7E+05,8.8E+05,5.2E+03,0.0E+00,6.3E+05,6.5E+05,1.6E+06,1.2E+06,1.4E+04,1.8E+06,5.6E+05
LPC(14:0)+H,LPC,(14:0),(14:0),,,,9.9,1.1,Accucore_C18_pos,468.3085,C22 H47 O7 N1 P1,1.43,2.2E+05,1.2E+05,2.8E+05,1.6E+05,5.3E+04,5.1E+05,2.8E+05,3.3E+05,4.2E+05,7.4E+04,2.4E+05,2.9E+05,1.8E+05,6.4E+03,1.5E+05,9.7E+04,1.1E+05,2.7E+05,2.5E+05,1.2E+05,3.0E+05,1.0E+05,2.3E+05,4.5E+05,1.5E+05,9.3E+03,1.7E+03,1.8E+04,5.8E+03,4.5E+05,3.2E+05,5.5E+05,3.5E+05,2.9E+05,5.6E+05,3.5E+05,1.4E+05,1.3E+04,3.7E+05,2.2E+05,1.6E+04,1.6E+05,2.7E+05,2.0E+05,3.1E+05,2.0E+05,3.1E+05,1.9E+05,3.6E+05,1.5E+05,1.4E+05,2.4E+05,2.7E+05,1.8E+05,2.6E+05,1.2E+05
LPC(22:6)+H,LPC,(22:6),(22:6),,,,21.9,1.7,Accucore_C18_pos,568.3398,C30 H51 O7 N1 P1,1.43,2.8E+06,2.0E+06,3.1E+06,2.1E+06,2.0E+06,4.6E+06,3.1E+06,3.3E+06,3.6E+06,2.2E+06,2.7E+06,3.0E+06,2.2E+06,2.1E+06,2.5E+06,2.6E+06,3.1E+06,3.6E+06,2.8E+06,1.4E+06,1.7E+06,1.8E+06,2.0E+06,3.8E+06,1.7E+06,0.0E+00,0.0E+00,0.0E+00,1.6E+06,3.3E+06,1.4E+06,3.7E+06,3.8E+06,3.7E+06,3.1E+06,4.0E+06,4.5E+06,3.5E+06,2.3E+06,2.4E+06,2.0E+06,2.2E+06,3.7E+06,2.4E+06,3.1E+06,3.2E+06,2.3E+06,3.7E+06,4.9E+06,3.0E+06,1.8E+06,3.3E+06,2.9E+06,4.4E+06,4.3E+06,2.8E+06
LPC(22:6)+HCOO,LPC,(22:6),(22:6),,,,5.1,1.4,Accucore_C18_neg,612.3307,C31 H51 O9 N1 P1,1.43,6.4E+05,5.1E+05,6.3E+05,5.4E+05,5.3E+05,9.6E+05,7.2E+05,6.7E+05,8.1E+05,4.1E+05,2.7E+05,6.7E+05,1.8E+05,5.1E+05,5.9E+05,5.5E+05,7.9E+05,6.7E+05,6.7E+05,3.6E+05,4.2E+05,4.2E+05,4.5E+05,8.1E+05,3.3E+05,0.0E+00,0.0E+00,0.0E+00,7.3E+05,8.3E+05,8.0E+05,8.1E+05,7.8E+05,8.5E+05,8.3E+05,6.9E+05,1.2E+06,7.0E+05,5.3E+05,6.2E+05,4.9E+05,5.0E+05,9.3E+05,5.8E+05,6.4E+05,6.7E+05,5.0E+05,9.5E+05,1.1E+06,8.2E+05,6.0E+05,7.6E+05,4.7E+05,9.6E+05,9.7E+05,5.6E+05
SPH(t16:0)+H,SPH,(t16:0),(t16:0),,,,6.7,1.6,Accucore_C18_pos,290.2690,C16 H36 O3 N1,1.45,4.0E+04,4.0E+04,4.1E+04,5.2E+04,1.5E+04,3.8E+04,2.4E+04,2.4E+04,6.6E+04,4.2E+04,1.0E+04,7.0E+04,5.4E+04,4.9E+04,3.2E+04,6.1E+04,4.9E+04,3.3E+04,2.8E+04,6.0E+04,3.0E+04,2.7E+04,2.1E+04,1.0E+05,4.1E+04,2.5E+04,5.4E+03,9.5E+04,4.6E+04,2.6E+04,1.9E+04,3.1E+03,2.7E+04,6.1E+04,4.7E+04,2.9E+04,3.9E+04,3.0E+04,2.9E+04,6.2E+04,6.1E+04,6.7E+04,5.0E+04,5.5E+04,4.4E+04,8.6E+04,3.9E+04,1.8E+04,9.4E+04,7.4E+03,1.6E+04,4.0E+04,1.1E+05,1.4E+04,5.7E+04,8.4E+04
MLCL(14:2/22:6/22:6)-2H,MLCL,(14:2/22:6/22:6),(14:2),(22:6),(22:6),,10.3,13.6,Accucore_C18_neg,612.3327,C67 H102 O16 P2,1.45,6.7E+05,5.1E+05,6.3E+05,5.4E+05,5.4E+05,9.6E+05,7.2E+05,6.8E+05,8.2E+05,5.0E+05,6.2E+05,6.7E+05,4.8E+05,5.2E+05,5.9E+05,5.6E+05,7.9E+05,8.2E+05,6.7E+05,3.6E+05,4.3E+05,4.2E+05,4.5E+05,8.1E+05,6.3E+05,0.0E+00,0.0E+00,0.0E+00,7.4E+05,8.4E+05,8.0E+05,8.1E+05,7.8E+05,8.4E+05,8.3E+05,6.9E+05,1.2E+06,7.0E+05,5.3E+05,6.3E+05,5.4E+05,5.9E+05,9.3E+05,5.8E+05,6.4E+05,6.7E+05,5.0E+05,9.6E+05,1.1E+06,8.2E+05,6.0E+05,8.2E+05,6.8E+05,9.6E+05,9.8E+05,5.6E+05
MLCL(10:4/20:4/20:4)-2H,MLCL,(10:4/20:4/20:4),(10:4),(20:4),(20:4),,13.8,8.6,Accucore_C18_neg,558.2858,C59 H90 O16 P2,1.47,7.3E+05,1.6E+06,3.5E+06,0.0E+00,1.6E+06,0.0E+00,6.1E+04,0.0E+00,0.0E+00,1.6E+06,1.6E+06,6.1E+05,4.9E+05,1.6E+06,8.8E+05,4.6E+05,1.9E+06,1.8E+06,8.4E+03,0.0E+00,0.0E+00,7.3E+05,2.6E+06,1.6E+04,1.5E+06,0.0E+00,0.0E+00,0.0E+00,9.3E+05,1.2E+06,1.1E+06,1.4E+06,1.8E+04,1.4E+06,0.0E+00,2.0E+06,6.2E+05,2.0E+06,9.2E+05,1.4E+06,0.0E+00,6.9E+05,2.3E+06,5.1E+05,0.0E+00,8.8E+05,1.3E+06,1.3E+04,1.3E+04,7.3E+05,8.8E+05,1.8E+06,1.8E+06,0.0E+00,2.3E+06,5.9E+05
AcCa(16:1)+H,AcCa,(16:1),(16:1),,,,4.2,1.7,Accucore_C18_pos,398.3265,C23 H44 O4 N1,1.48,3.2E+05,2.6E+05,3.7E+05,3.0E+05,1.1E+05,7.0E+05,4.0E+05,6.4E+05,9.2E+05,5.5E+05,1.9E+05,2.1E+05,3.2E+05,1.4E+05,3.6E+05,3.6E+05,2.3E+05,2.7E+05,3.4E+05,2.8E+05,4.7E+05,2.1E+05,1.3E+05,4.2E+05,3.1E+05,1.5E+03,0.0E+00,1.8E+03,3.2E+05,3.0E+05,3.8E+05,4.0E+05,3.6E+05,5.0E+05,4.4E+05,1.3E+05,5.9E+05,2.2E+05,2.4E+05,2.3E+05,4.2E+05,2.9E+05,3.6E+05,2.3E+05,6.2E+05,5.5E+05,3.9E+05,4.9E+05,6.8E+05,2.4E+05,1.4E+05,2.4E+05,3.4E+05,4.7E+05,4.2E+05,2.3E+05
PE(8:0e/12:3)+Na,PE,(8:0e/12:3),(8:0e),(12:3),,,8.5,2.6,Accucore_C18_pos,526.2904,C25 H46 O7 N1 P1 Na1,1.50,4.5E+06,2.2E+06,4.6E+06,5.9E+06,1.3E+06,7.6E+06,7.0E+06,6.3E+06,7.8E+06,3.1E+06,2.4E+06,3.4E+06,3.6E+06,2.3E+06,4.0E+06,4.8E+06,2.4E+06,3.4E+06,5.2E+06,2.8E+06,3.1E+06,3.1E+06,9.4E+05,5.8E+06,3.2E+06,1.1E+03,1.6E+03,2.2E+03,4.8E+06,5.6E+06,4.5E+06,5.9E+06,1.1E+07,5.1E+06,7.0E+06,2.9E+06,1.0E+07,3.3E+06,2.3E+06,3.1E+06,6.1E+06,3.6E+06,3.7E+06,3.8E+06,6.0E+06,5.4E+06,3.2E+06,6.6E+06,9.3E+06,5.2E+06,5.0E+06,3.1E+06,5.7E+06,6.3E+06,6.0E+06,5.6E+06
LPE(22:6)-H,LPE,(22:6),(22:6),,,,21.4,2.2,Accucore_C18_neg,524.2783,C27 H43 O7 N1 P1,1.51,6.3E+06,3.2E+06,5.3E+06,9.6E+06,1.7E+06,9.9E+06,9.2E+06,8.3E+06,1.0E+07,4.1E+06,3.5E+06,4.4E+06,5.4E+06,3.4E+06,6.7E+06,6.3E+06,3.4E+06,4.3E+06,6.8E+06,4.4E+06,3.8E+06,4.0E+06,1.3E+06,8.2E+06,4.0E+06,0.0E+00,0.0E+00,0.0E+00,6.8E+06,7.4E+06,7.4E+06,7.3E+06,1.3E+07,6.6E+06,9.1E+06,3.9E+06,1.3E+07,4.3E+06,3.1E+06,4.9E+06,9.5E+06,4.6E+06,5.6E+06,6.0E+06,8.2E+06,7.4E+06,4.0E+06,9.4E+06,1.2E+07,8.4E+06,6.9E+06,4.6E+06,8.5E+06,8.6E+06,7.9E+06,7.4E+06
LPE(22:6)+H,LPE,(22:6),(22:6),,,,5.5,1.8,Accucore_C18_pos,526.2928,C27 H45 O7 N1 P1,1.51,4.6E+06,2.5E+06,4.7E+06,6.2E+06,1.6E+06,8.5E+06,7.2E+06,6.4E+06,8.6E+06,3.4E+06,2.9E+06,3.6E+06,4.0E+06,2.8E+06,4.3E+06,5.1E+06,2.6E+06,3.7E+06,5.8E+06,3.3E+06,3.3E+06,3.2E+06,1.1E+06,6.6E+06,3.3E+06,1.1E+03,1.6E+03,2.2E+03,5.0E+06,6.1E+06,4.6E+06,5.9E+06,1.1E+07,5.2E+06,7.5E+06,3.0E+06,1.0E+07,3.6E+06,2.5E+06,3.5E+06,6.6E+06,3.8E+06,3.9E+06,4.2E+06,6.5E+06,5.9E+06,3.7E+06,7.1E+06,9.7E+06,5.8E+06,5.6E+06,3.4E+06,6.2E+06,6.8E+06,6.5E+06,6.0E+06
LPE(22:6)+Na,LPE,(22:6),(22:6),,,,4.6,1.7,Accucore_C18_pos,548.2748,C27 H44 O7 N1 P1 Na1,1.51,4.7E+05,1.9E+05,4.7E+05,6.8E+05,7.5E+04,8.0E+05,7.1E+05,6.2E+05,8.4E+05,3.4E+05,2.3E+05,3.4E+05,3.5E+05,1.9E+05,4.9E+05,5.6E+05,2.2E+05,3.0E+05,5.3E+05,2.7E+05,2.6E+05,3.1E+05,6.0E+04,6.3E+05,3.1E+05,0.0E+00,0.0E+00,0.0E+00,5.5E+05,5.2E+05,4.2E+05,5.5E+05,1.1E+06,5.1E+05,6.7E+05,3.0E+05,1.1E+06,3.6E+05,1.9E+05,3.7E+05,6.7E+05,4.1E+05,4.0E+05,4.4E+05,6.9E+05,6.2E+05,3.2E+05,7.6E+05,8.7E+05,5.9E+05,5.1E+05,3.2E+05,7.3E+05,6.7E+05,6.6E+05,5.9E+05
LPC(20:4)+H,LPC,(20:4),(20:4),,,,26.1,1.7,Accucore_C18_pos,544.3398,C28 H51 O7 N1 P1,1.52,3.3E+06,1.9E+06,4.2E+06,2.9E+06,3.3E+06,5.8E+06,2.8E+06,5.7E+06,4.5E+06,3.3E+06,4.0E+06,3.6E+06,2.6E+06,3.0E+06,2.7E+06,3.5E+06,4.5E+06,4.2E+06,3.5E+06,2.6E+06,4.5E+05,2.9E+06,4.2E+06,6.5E+06,3.8E+06,0.0E+00,0.0E+00,0.0E+00,3.1E+06,4.3E+06,3.8E+06,4.8E+06,4.4E+06,3.6E+06,3.6E+06,1.6E+06,5.1E+06,3.5E+06,2.6E+06,2.5E+06,3.0E+06,4.2E+06,4.1E+06,2.3E+06,3.4E+06,2.0E+06,3.0E+06,5.1E+06,6.1E+06,2.9E+06,3.3E+06,3.2E+06,3.3E+06,1.6E+05,4.9E+06,2.9E+06
LPC(20:4)+HCOO,LPC,(20:4),(20:4),,,,8.2,1.9,Accucore_C18_neg,588.3307,C29 H51 O9 N1 P1,1.52,8.7E+05,6.4E+05,9.8E+05,8.8E+05,8.1E+05,1.3E+06,1.1E+06,1.0E+06,1.0E+06,7.8E+05,1.1E+06,8.3E+05,6.4E+05,7.8E+05,6.4E+05,8.9E+05,1.2E+06,9.9E+05,8.8E+05,6.2E+05,7.5E+05,6.2E+05,1.0E+06,1.5E+06,8.7E+05,0.0E+00,0.0E+00,0.0E+00,8.4E+05,1.1E+06,9.7E+05,1.2E+06,9.6E+05,8.1E+05,9.9E+05,1.2E+06,1.4E+06,7.3E+05,6.1E+05,6.4E+05,7.9E+05,1.1E+06,1.0E+06,5.3E+05,7.4E+05,8.4E+05,6.1E+05,1.3E+06,1.5E+06,8.2E+05,7.7E+05,8.4E+05,9.7E+05,1.6E+06,1.1E+06,7.4E+05
LPC(16:1)+H,LPC,(16:1),(16:1),,,,27.7,1.8,Accucore_C18_pos,494.3241,C24 H49 O7 N1 P1,1.53,6.9E+06,4.9E+06,9.0E+06,5.4E+06,4.9E+06,9.3E+06,6.2E+06,8.3E+06,1.1E+07,7.3E+06,6.9E+06,7.0E+06,5.0E+06,5.4E+06,7.7E+06,6.9E+06,6.8E+06,8.3E+06,5.9E+06,3.4E+06,7.1E+06,4.2E+06,5.1E+06,7.7E+06,4.6E+06,4.5E+03,8.6E+03,5.2E+03,6.2E+06,7.6E+06,6.7E+06,8.4E+06,6.4E+06,9.9E+06,9.0E+06,8.1E+06,9.0E+06,6.6E+06,6.5E+06,7.8E+06,6.8E+06,4.9E+06,1.0E+07,4.2E+06,7.4E+06,8.2E+06,7.1E+06,7.4E+06,1.1E+07,6.0E+06,5.7E+06,8.2E+06,6.6E+06,8.4E+06,7.5E+06,4.8E+06
LPC(16:1)+HCOO,LPC,(16:1),(16:1),,,,17.2,2.3,Accucore_C18_neg,538.3150,C25 H49 O9 N1 P1,1.53,1.2E+06,8.9E+05,1.4E+06,9.9E+05,9.1E+05,1.6E+06,1.1E+06,1.3E+06,1.9E+06,1.2E+06,1.4E+06,1.2E+06,9.7E+05,1.0E+06,1.4E+06,1.1E+06,1.2E+06,1.6E+06,1.1E+06,6.6E+05,1.4E+06,7.1E+05,9.1E+05,1.3E+06,7.5E+05,0.0E+00,0.0E+00,0.0E+00,1.2E+06,1.4E+06,1.5E+06,1.6E+06,1.2E+06,1.9E+06,1.7E+06,1.3E+06,1.5E+06,1.1E+06,1.1E+06,1.4E+06,1.4E+06,8.1E+05,1.7E+06,7.9E+05,1.2E+06,1.6E+06,1.2E+06,1.6E+06,2.3E+06,1.1E+06,9.5E+05,1.3E+06,1.3E+06,1.4E+06,1.5E+06,7.5E+05
LPC(16:1)+Na,LPC,(16:1),(16:1),,,,3.1,1.9,Accucore_C18_pos,516.3061,C24 H48 O7 N1 P1 Na1,1.53,5.9E+05,3.5E+05,9.3E+05,4.0E+05,3.5E+05,8.4E+05,5.4E+05,7.8E+05,1.1E+06,6.2E+05,5.6E+05,6.2E+05,3.7E+05,4.3E+05,6.2E+05,9.5E+05,5.3E+05,6.9E+05,4.9E+05,2.8E+05,6.0E+05,8.0E+04,3.8E+05,6.9E+05,4.2E+05,0.0E+00,0.0E+00,0.0E+00,5.3E+05,5.9E+05,4.3E+05,6.2E+05,6.0E+05,9.0E+05,7.1E+05,7.0E+05,8.7E+05,5.7E+05,5.5E+05,6.3E+05,6.0E+05,4.1E+05,8.2E+05,3.5E+05,7.0E+05,6.3E+05,5.7E+05,6.5E+05,8.9E+05,4.7E+05,4.6E+05,7.2E+05,5.1E+05,7.5E+05,7.3E+05,4.1E+05
LPC(18:4)+H,LPC,(18:4),(18:4),,,,8.1,2.5,Accucore_C18_pos,516.3085,C26 H47 O7 N1 P1,1.53,5.9E+05,3.5E+05,8.8E+05,4.1E+05,3.7E+05,8.4E+05,5.5E+05,7.8E+05,1.1E+06,6.2E+05,5.9E+05,6.3E+05,3.8E+05,4.4E+05,6.2E+05,5.7E+05,5.4E+05,7.0E+05,5.0E+05,2.9E+05,6.0E+05,3.6E+05,3.9E+05,6.8E+05,4.2E+05,0.0E+00,0.0E+00,0.0E+00,5.3E+05,6.2E+05,4.4E+05,6.0E+05,6.0E+05,9.0E+05,7.2E+05,7.0E+05,8.7E+05,5.8E+05,5.6E+05,6.5E+05,6.1E+05,4.1E+05,8.2E+05,3.7E+05,7.0E+05,6.4E+05,5.9E+05,6.5E+05,8.9E+05,4.8E+05,4.7E+05,7.3E+05,5.3E+05,7.4E+05,6.3E+05,4.2E+05
MLCL(14:2/20:4/20:4)-2H,MLCL,(14:2/20:4/20:4),(14:2),(20:4),(20:4),,8.8,15.1,Accucore_C18_neg,588.3327,C63 H102 O16 P2,1.54,8.7E+05,6.4E+05,9.8E+05,8.8E+05,8.1E+05,1.3E+06,1.1E+06,1.1E+06,1.0E+06,7.8E+05,1.1E+06,8.4E+05,6.4E+05,7.8E+05,6.6E+05,9.0E+05,1.2E+06,9.9E+05,8.8E+05,6.3E+05,7.6E+05,6.2E+05,1.0E+06,1.5E+06,8.7E+05,0.0E+00,0.0E+00,0.0E+00,8.7E+05,1.1E+06,9.8E+05,1.2E+06,9.6E+05,8.1E+05,9.9E+05,1.2E+06,1.4E+06,7.3E+05,6.1E+05,6.5E+05,7.9E+05,1.1E+06,1.0E+06,5.4E+05,7.4E+05,8.4E+05,6.1E+05,1.3E+06,1.5E+06,8.4E+05,7.7E+05,8.4E+05,9.8E+05,1.6E+06,1.1E+06,7.4E+05
PC(6:0/11:1)+H,PC,(6:0/11:1),(6:0),(11:1),,,9.6,1.8,Accucore_C18_pos,522.3190,C25 H49 O8 N1 P1,1.54,8.5E+03,1.9E+03,0.0E+00,9.6E+05,0.0E+00,2.1E+05,7.5E+03,7.0E+03,2.0E+04,5.1E+04,5.8E+03,9.1E+04,2.0E+05,3.8E+03,2.7E+05,4.3E+05,6.1E+03,8.5E+03,0.0E+00,4.2E+04,0.0E+00,2.9E+05,0.0E+00,1.4E+05,1.2E+04,0.0E+00,0.0E+00,1.4E+03,2.3E+05,7.0E+03,2.6E+05,6.9E+03,0.0E+00,3.5E+03,0.0E+00,0.0E+00,1.0E+06,0.0E+00,0.0E+00,4.4E+04,2.7E+05,1.1E+04,1.6E+05,8.4E+04,5.4E+03,2.2E+04,2.2E+04,0.0E+00,0.0E+00,2.3E+05,1.3E+05,8.0E+03,6.2E+05,1.6E+03,6.4E+04,6.3E+04
LPE(16:1)-H,LPE,(16:1),(16:1),,,,14.3,2.3,Accucore_C18_neg,450.2626,C21 H41 O7 N1 P1,1.57,1.6E+06,9.5E+05,1.8E+06,2.3E+06,5.1E+05,2.8E+06,2.4E+06,2.5E+06,4.0E+06,1.4E+06,1.0E+06,1.3E+06,1.2E+06,8.8E+05,1.8E+06,1.6E+06,8.9E+05,1.3E+06,2.2E+06,1.1E+06,2.0E+06,8.9E+05,3.8E+05,2.5E+06,9.5E+05,0.0E+00,0.0E+00,0.0E+00,1.7E+06,2.2E+06,1.9E+06,2.2E+06,2.8E+06,2.3E+06,3.2E+06,1.0E+06,3.0E+06,1.0E+06,9.3E+05,1.5E+06,2.6E+06,7.9E+05,1.8E+06,9.3E+05,2.0E+06,2.3E+06,1.3E+06,2.4E+06,4.4E+06,1.4E+06,1.2E+06,1.4E+06,1.8E+06,2.4E+06,2.1E+06,1.3E+06
LPE(16:1)+H,LPE,(16:1),(16:1),,,,5.2,1.8,Accucore_C18_pos,452.2772,C21 H43 O7 N1 P1,1.57,6.1E+05,4.0E+05,8.8E+05,9.2E+05,2.3E+05,1.6E+06,1.2E+06,8.7E+05,2.0E+06,2.7E+05,1.2E+05,6.2E+05,5.6E+05,3.7E+05,7.7E+05,7.6E+05,1.3E+05,4.5E+05,9.7E+05,7.8E+04,9.6E+05,7.0E+04,1.6E+05,9.8E+05,5.2E+05,0.0E+00,0.0E+00,4.4E+03,3.2E+05,9.4E+05,2.3E+05,1.1E+06,1.5E+06,1.1E+06,1.4E+06,5.1E+05,6.0E+05,4.8E+05,4.1E+05,5.5E+05,5.8E+05,3.6E+05,7.3E+05,3.6E+05,1.1E+06,1.0E+06,6.4E+05,9.3E+05,1.9E+06,4.3E+05,6.1E+05,6.5E+05,3.8E+05,1.0E+06,9.4E+05,6.2E+05
PE(8:1e/8:0)+H,PE,(8:1e/8:0),(8:1e),(8:0),,,8.6,2.5,Accucore_C18_pos,452.2772,C21 H43 O7 N1 P1,1.58,5.5E+05,4.0E+05,8.8E+05,2.3E+05,2.3E+05,1.6E+06,1.2E+06,2.6E+05,2.0E+06,2.7E+05,3.2E+05,6.2E+05,1.1E+05,3.7E+05,7.7E+05,7.6E+05,1.3E+05,1.3E+04,9.7E+05,7.8E+04,9.6E+05,7.0E+04,1.6E+05,9.8E+05,5.2E+05,0.0E+00,0.0E+00,4.4E+03,3.2E+05,9.4E+05,2.3E+05,1.1E+06,1.5E+06,1.1E+06,1.4E+06,5.1E+05,6.0E+05,4.8E+05,4.1E+05,5.5E+05,5.8E+05,3.6E+05,7.3E+05,1.4E+05,1.1E+06,1.0E+06,6.4E+05,9.3E+05,1.9E+06,4.3E+05,6.1E+05,6.5E+05,3.8E+05,1.0E+06,9.4E+05,1.7E+05
