feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,Astrocytes1,Astrocytes2,Astrocytes3,Microglia1,Microglia2,Microglia3,NeuronsDIV101,NeuronsDIV102,NeuronsDIV103,NeuronsDIV161,NeuronsDIV162,NeuronsDIV163,NeuronsDIV51,NeuronsDIV52,NeuronsDIV53,OligodendrocytesDIV11,OligodendrocytesDIV12,OligodendrocytesDIV13,OligodendrocytesDIV251,OligodendrocytesDIV252,OligodendrocytesDIV253,OligodendrocytesDIV41,OligodendrocytesDIV42,OligodendrocytesDIV43
Cer 42:2;2,Cer,SL,NA,42,2,2,,18.38330078,22.91449928,8.951899529,5.387599945,5.226419926,4.765089989,0.747296989,0.750349998,0.960969985,0.558560014,0.50049597,1.229390025,0.677146018,0.660354972,1.270149946,0.444469988,0.809395015,0.989674985,0.627129018,1.090219975,NA,3.72871995,1.109740019,1.736629963
Cer 42:3;2,Cer,SL,NA,42,3,2,,3.620569944,4.949930191,0.883762002,0.768785,0.685310006,0.649487019,0.174335003,0.208913997,0.326986015,0.157041997,0.165892005,0.36808601,0.200244993,0.219393,0.394338995,NA,0.110076003,0.141053006,0.078749903,0.107348002,0.0652164,0.349613011,0.082265697,0.085017703
Cer 42:4;2,Cer,SL,NA,42,4,2,,0.280663013,0.392082989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chol,Chol,STE,NA,27,1,0,,2938.679932,4063.060059,2105.52002,1220.5,1145.579956,1202.72998,1773.660034,1792.319946,2115.02002,1592.22998,1450.650024,2883.899902,1198.339966,1182.52002,2016.060059,416.8259888,679.1749878,843.9199829,911.9699707,1138.300049,666.3129883,2482.48999,1150.780029,1516.609985
DAG 14:0;0_18:0;0,DAG,GL,NA,32,0,0,,NA,NA,NA,NA,NA,NA,0.162766993,0.291621,0.0882283,NA,NA,NA,0.151100993,NA,0.139311999,NA,NA,NA,NA,NA,NA,1.181689978,0.173572004,NA
DAG 14:0;0_18:1;0,DAG,GL,NA,32,1,0,,0.579994977,0.59156698,NA,NA,NA,NA,0.468044013,0.504674017,0.424831986,0.195942998,0.209585994,0.653165996,0.177517995,0.133980006,0.393043995,NA,0.099438399,0.139381006,0.130891994,0.223381996,NA,1.616350055,0.111896999,0.229384005
DAG 16:0;0_16:0;0,DAG,GL,NA,32,0,0,,11.31270027,12.97329998,8.072319984,NA,NA,NA,NA,NA,5.863269806,NA,NA,5.263480186,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.636489868,NA,NA
DAG 16:0;0_16:1;0,DAG,GL,NA,32,1,0,,7.912529945,8.473489761,4.146210194,NA,NA,NA,2.436919928,2.374200106,3.061759949,1.592210054,1.72171998,3.801160097,1.713559985,1.993180037,3.200819969,NA,1.114860058,0.936951995,1.341910005,1.812819958,1.032559991,5.397950172,1.183650017,1.675860047
DAG 16:0;0_17:0;0,DAG,GL,NA,33,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.691999912,NA,1.506180048
DAG 16:0;0_18:1;0,DAG,GL,NA,34,1,0,,18.80879974,21.27099991,9.299099922,2.312939882,2.189810038,1.933799982,5.931099892,5.97303009,7.281720161,4.873209953,4.359099865,9.315509796,4.698060036,4.644340038,8.496470451,1.19441998,3.181760073,2.596709967,3.941669941,5.192399979,2.940239906,9.704759598,2.993750095,4.677080154
DAG 16:0;0_18:2;0,DAG,GL,NA,34,2,0,,1.063390017,1.091689944,0.501527011,NA,NA,NA,0.323347986,0.368175,0.578846991,NA,NA,NA,0.45076099,NA,0.920611024,NA,0.317748994,0.445096999,0.618870974,0.575580001,0.474658996,1.048069954,0.236156002,0.277797014
DAG 16:0;0_20:1;0,DAG,GL,NA,36,1,0,,0.200872004,0.425179005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938962996,NA,0.41098699
DAG 16:0;0_20:2;0,DAG,GL,NA,36,2,0,,0.387037992,0.509756029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
