Rej	ID	LipidMolec	LipidMolecGroup	ClassKey	SubClassKey	FAKey	FAGroupKey	CalcMass	BaseRt	MolFormula	MainIon	IonCnt	IsoCnt	PDBCnt	TotalSmpIDRate(%)	TotalGrade	OrgMeanArea[s1]	OrgMeanHeight[s1]	OrgMaxArea[s1]	OrgMaxHeight[s1]	OrgMedArea[s1]	OrgMedHeight[s1]	OrgAreaStd[s1]	OrgHeightStd[s1]	OrgAreaRsd(%)[s1]	OrgHeightRsd(%)[s1]	MeanArea[s1]	MeanHeight[s1]	MaxArea[s1]	MaxHeight[s1]	MedArea[s1]	MedHeight[s1]	MedSumArea[s1]	AreaStd[s1]	HeightStd[s1]	AreaRsd(%)[s1]	HeightRsd(%)[s1]	MeanConc[s1]	MaxConc[s1]	MedConc[s1]
false	1	CL(P-32:6)	CL(P-32:6)	CL	monoalkenyl-monoacyl	(P-32:6)	(P-32:6)	848.4241	0.8242	C41 H70 O14 P2	M-2H	1	1	0	100.00	C	7.2756E3	1.2173E5	2.0697E4	3.0780E5	6.3636E3	1.0541E5	5.5493E3	8.5179E4	76.2724	69.9724	7.2756E3	1.2173E5	2.0697E4	3.0780E5	6.3636E3	1.0541E5	1.0541E5	5.5493E3	8.5179E4	76.27	69.97	NaN	NaN	NaN
false	10	LPE(18:0)	LPE(18:0)	LPE	monoacyl	(18:0)	(18:0)	481.3168	3.5862	C23 H48 N1 O7 P1	M-H	1	1	2	100.00	C	1.3541E4	1.1989E5	5.8338E4	5.2800E5	7.2222E3	6.2828E4	1.5946E4	1.3869E5	117.7569	115.6778	1.3541E4	1.1989E5	5.8338E4	5.2800E5	7.2222E3	6.2828E4	6.2828E4	1.5946E4	1.3869E5	117.76	115.68	NaN	NaN	NaN
false	100	LPE(20:3)	LPE(20:3)	LPE	monoacyl	(20:3)	(20:3)	503.3012	2.2923	C25 H46 N1 O7 P1	M-H	1	1	6	100.00	A	1.5421E5	1.5363E6	6.3302E5	6.6438E6	7.7384E4	7.6771E5	1.7795E5	1.7848E6	115.3966	116.1721	1.5421E5	1.5363E6	6.3302E5	6.6438E6	7.7384E4	7.6771E5	7.6771E5	1.7795E5	1.7848E6	115.40	116.17	NaN	NaN	NaN
false	1000	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	10.1600	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	6.1811E4	8.8781E5	1.1139E5	1.2473E6	6.3975E4	9.8964E5	3.0697E4	3.5739E5	49.6617	40.2549	6.1811E4	8.8781E5	1.1139E5	1.2473E6	6.3975E4	9.8964E5	9.8964E5	3.0697E4	3.5739E5	49.66	40.25	NaN	NaN	NaN
false	1001	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	10.2346	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	1.0019E5	7.0292E5	1.5758E5	1.0553E6	1.0970E5	7.8730E5	4.3003E4	2.9372E5	42.9205	41.7856	1.0019E5	7.0292E5	1.5758E5	1.0553E6	1.0970E5	7.8730E5	7.8730E5	4.3003E4	2.9372E5	42.92	41.79	NaN	NaN	NaN
false	1003	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	10.5096	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	6.4987E4	5.5317E5	1.2188E5	9.2225E5	7.0040E4	5.8714E5	3.4317E4	2.5926E5	52.8056	46.8680	6.4987E4	5.5317E5	1.2188E5	9.2225E5	7.0040E4	5.8714E5	5.8714E5	3.4317E4	2.5926E5	52.81	46.87	NaN	NaN	NaN
false	1006	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	13.4789	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	1.6123E5	8.8525E5	3.5432E5	1.8359E6	1.5297E5	8.8628E5	9.4018E4	4.7810E5	58.3118	54.0072	1.6123E5	8.8525E5	3.5432E5	1.8359E6	1.5297E5	8.8628E5	8.8628E5	9.4018E4	4.7810E5	58.31	54.01	NaN	NaN	NaN
false	1008	Cer(d34:0)	Cer(d34:0)	Cer	acylsphinganines	(d34:0)	(d34:0)	539.5277	13.1889	C34 H69 N1 O3	M+HCOO	1	1	1	100.00	C	7.0823E3	7.2863E4	2.0283E4	1.9033E5	6.7449E3	6.4181E4	6.7751E3	5.5897E4	95.6628	76.7154	7.0823E3	7.2863E4	2.0283E4	1.9033E5	6.7449E3	6.4181E4	6.4181E4	6.7751E3	5.5897E4	95.66	76.72	NaN	NaN	NaN
false	1009	Cer(d36:0)	Cer(d36:0)	Cer	acylsphinganines	(d36:0)	(d36:0)	567.5590	15.5450	C36 H73 N1 O3	M+HCOO	1	1	2	100.00	C	6.2961E3	5.7287E4	1.8917E4	1.4962E5	4.7640E3	4.4913E4	5.2134E3	3.8228E4	82.8026	66.7302	6.2961E3	5.7287E4	1.8917E4	1.4962E5	4.7640E3	4.4913E4	4.4913E4	5.2134E3	3.8228E4	82.80	66.73	NaN	NaN	NaN
false	101	LPE(20:2)	LPE(20:2)	LPE	monoacyl	(20:2)	(20:2)	505.3168	2.8358	C25 H48 N1 O7 P1	M-H	1	1	2	100.00	A	1.1893E4	7.9343E4	3.7271E4	2.3422E5	8.0742E3	5.8477E4	9.1612E3	5.9288E4	77.0293	74.7237	1.1893E4	7.9343E4	3.7271E4	2.3422E5	8.0742E3	5.8477E4	5.8477E4	9.1612E3	5.9288E4	77.03	74.72	NaN	NaN	NaN
false	1010	Cer(d36:1)+D7:(s)	Cer(d36:1)+D7:(s)	Cer	acylsphingosines_D7LCB	(d36:1)+D7:(s)	(d36:1)+D7:(s)	572.5873	12.4282	C36 H64 D7 N1 O3	M+HCOO	1	1	0	100.00	C	2.7749E4	2.7958E5	6.7894E4	6.9181E5	1.9504E4	2.0087E5	1.8902E4	1.8734E5	68.1176	67.0103	2.7749E4	2.7958E5	6.7894E4	6.9181E5	1.9504E4	2.0087E5	2.0087E5	1.8902E4	1.8734E5	68.12	67.01	NaN	NaN	NaN
false	1011	Cer(d43:2)	Cer(d43:2)	Cer	acylsphingosines	(d43:2)	(d43:2)	661.6373	19.1216	C43 H83 N1 O3	M+HCOO	1	1	1	100.00	C	7.7645E3	8.1735E4	1.9575E4	2.0245E5	5.9708E3	6.7972E4	5.3014E3	5.2179E4	68.2775	63.8392	7.7645E3	8.1735E4	1.9575E4	2.0245E5	5.9708E3	6.7972E4	6.7972E4	5.3014E3	5.2179E4	68.28	63.84	NaN	NaN	NaN
false	1012	Cer(d44:2)	Cer(d44:2)	Cer	acylsphingosines	(d44:2)	(d44:2)	675.6529	19.6917	C44 H85 N1 O3	M+HCOO	1	1	2	100.00	C	8.3627E3	8.5765E4	2.3012E4	2.0038E5	8.9950E3	9.1223E4	6.9846E3	5.8155E4	83.5213	67.8079	8.3627E3	8.5765E4	2.3012E4	2.0038E5	8.9950E3	9.1223E4	9.1223E4	6.9846E3	5.8155E4	83.52	67.81	NaN	NaN	NaN
false	1013	Cer(d31:5_13:1)	Cer(d44:6)	Cer	acylceramides	(d31:5_13:1)	(d44:6)	681.5696	1.1809	C44 H75 N1 O4	M+HCOO	1	1	0	100.00	C	4.7146E3	9.8116E4	1.1981E4	2.7257E5	3.4414E3	7.3189E4	2.8544E3	6.0324E4	60.5436	61.4823	4.7146E3	9.8116E4	1.1981E4	2.7257E5	3.4414E3	7.3189E4	7.3189E4	2.8544E3	6.0324E4	60.54	61.48	NaN	NaN	NaN
false	1014	Cer(d49:8)	Cer(d49:8)	Cer	acylceramides	(d49:8)	(d49:8)	747.6166	15.7733	C49 H81 N1 O4	M+HCOO	1	1	0	100.00	C	2.0006E3	3.9530E4	1.0300E4	1.5089E5	1.3657E3	3.5049E4	2.1349E3	2.8791E4	106.7102	72.8337	2.0006E3	3.9530E4	1.0300E4	1.5089E5	1.3657E3	3.5049E4	3.5049E4	2.1349E3	2.8791E4	106.71	72.83	NaN	NaN	NaN
false	1015	CL(O-75:5)	CL(O-75:5)	CL	alkylacyl-diacyl	(O-75:5)	(O-75:5)	1483.0869	10.1950	C84 H156 O16 P2	M-H	1	1	0	100.00	C	5.9299E4	5.9085E5	1.7623E5	1.6821E6	3.5404E4	3.6715E5	5.6662E4	5.1983E5	95.5533	87.9797	5.9299E4	5.9085E5	1.7623E5	1.6821E6	3.5404E4	3.6715E5	3.6715E5	5.6662E4	5.1983E5	95.55	87.98	NaN	NaN	NaN
false	1016	CL(O-75:5)	CL(O-75:5)	CL	alkylacyl-diacyl	(O-75:5)	(O-75:5)	1483.0869	11.4608	C84 H156 O16 P2	M-H	1	1	0	100.00	C	6.3920E3	7.3609E4	2.1962E4	2.1010E5	5.0603E3	6.2967E4	5.9519E3	5.2662E4	93.1153	71.5431	6.3920E3	7.3609E4	2.1962E4	2.1010E5	5.0603E3	6.2967E4	6.2967E4	5.9519E3	5.2662E4	93.12	71.54	NaN	NaN	NaN
false	1017	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	8.8166	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	2.7680E4	2.5786E5	8.8688E4	6.4277E5	9.7908E3	1.0687E5	2.6739E4	2.2993E5	96.6010	89.1677	2.7680E4	2.5786E5	8.8688E4	6.4277E5	9.7908E3	1.0687E5	1.0687E5	2.6739E4	2.2993E5	96.60	89.17	NaN	NaN	NaN
false	1018	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	8.9739	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	1.9323E4	1.9625E5	6.6089E4	5.2682E5	5.8068E3	9.6904E4	2.2226E4	1.7261E5	115.0196	87.9581	1.9323E4	1.9625E5	6.6089E4	5.2682E5	5.8068E3	9.6904E4	9.6904E4	2.2226E4	1.7261E5	115.02	87.96	NaN	NaN	NaN
false	1019	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	9.0540	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	1.7219E4	1.5016E5	4.9706E4	3.3424E5	8.7165E3	7.7376E4	1.7398E4	1.1651E5	101.0434	77.5924	1.7219E4	1.5016E5	4.9706E4	3.3424E5	8.7165E3	7.7376E4	7.7376E4	1.7398E4	1.1651E5	101.04	77.59	NaN	NaN	NaN
false	102	LPC(18:1)	LPC(18:1)	LPC	monoacyl	(18:1)	(18:1)	521.3481	2.1346	C26 H52 N1 O7 P1	M+HCOO	2	1	8	100.00	C	1.8671E5	1.6187E6	7.2470E5	5.7904E6	1.3851E5	1.2390E6	1.7124E5	1.4577E6	91.7125	90.0547	1.8671E5	1.6187E6	7.2470E5	5.7904E6	1.3851E5	1.2390E6	1.2390E6	1.7124E5	1.4577E6	91.71	90.05	NaN	NaN	NaN
false	1020	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	9.3725	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	6.0014E3	6.6314E4	2.0231E4	2.0072E5	1.4385E3	5.3952E4	6.2647E3	4.9846E4	104.3867	75.1670	6.0014E3	6.6314E4	2.0231E4	2.0072E5	1.4385E3	5.3952E4	5.3952E4	6.2647E3	4.9846E4	104.39	75.17	NaN	NaN	NaN
false	1021	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	10.5304	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	1.1488E5	1.3492E6	6.6208E5	4.5563E6	1.2391E5	1.4331E6	1.3472E5	1.2593E6	117.2673	93.3374	1.1488E5	1.3492E6	6.6208E5	4.5563E6	1.2391E5	1.4331E6	1.4331E6	1.3472E5	1.2593E6	117.27	93.34	NaN	NaN	NaN
false	1022	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	10.7027	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	2.7981E5	1.9675E6	7.3717E5	4.0672E6	2.6385E5	1.8683E6	1.8588E5	1.1209E6	66.4309	56.9738	2.7981E5	1.9675E6	7.3717E5	4.0672E6	2.6385E5	1.8683E6	1.8683E6	1.8588E5	1.1209E6	66.43	56.97	NaN	NaN	NaN
false	1023	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	10.8590	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	9.4492E4	8.9072E5	1.9693E5	1.8651E6	1.0230E5	9.1972E5	5.5017E4	5.1944E5	58.2238	58.3171	9.4492E4	8.9072E5	1.9693E5	1.8651E6	1.0230E5	9.1972E5	9.1972E5	5.5017E4	5.1944E5	58.22	58.32	NaN	NaN	NaN
false	1024	CerPG(d34:2)	CerPG(d34:2)	CerPG	Ceramide phosphoglycerol	(d34:2)	(d34:2)	689.4996	10.9883	C37 H72 N1 O8 P1	M-H	1	1	0	100.00	C	1.0034E5	8.9203E5	2.0624E5	1.7999E6	1.1057E5	9.5455E5	6.3054E4	5.2655E5	62.8398	59.0282	1.0034E5	8.9203E5	2.0624E5	1.7999E6	1.1057E5	9.5455E5	9.5455E5	6.3054E4	5.2655E5	62.84	59.03	NaN	NaN	NaN
false	1026	CL(O-77:6)	CL(O-77:6)	CL	alkylacyl-diacyl	(O-77:6)	(O-77:6)	1509.1025	10.2297	C86 H158 O16 P2	M-H	1	1	0	100.00	C	1.5691E5	1.3947E6	4.2440E5	3.7539E6	1.2468E5	1.1543E6	1.2570E5	1.0470E6	80.1118	75.0681	1.5691E5	1.3947E6	4.2440E5	3.7539E6	1.2468E5	1.1543E6	1.1543E6	1.2570E5	1.0470E6	80.11	75.07	NaN	NaN	NaN
false	1027	CL(O-77:6)	CL(O-77:6)	CL	alkylacyl-diacyl	(O-77:6)	(O-77:6)	1509.1025	10.4010	C86 H158 O16 P2	M-H	1	1	0	100.00	C	6.0435E4	5.2621E5	2.4942E5	1.6852E6	3.0305E4	3.1111E5	6.3079E4	4.9840E5	104.3757	94.7146	6.0435E4	5.2621E5	2.4942E5	1.6852E6	3.0305E4	3.1111E5	3.1111E5	6.3079E4	4.9840E5	104.38	94.71	NaN	NaN	NaN
false	1028	CL(O-77:6)	CL(O-77:6)	CL	alkylacyl-diacyl	(O-77:6)	(O-77:6)	1509.1025	10.5118	C86 H158 O16 P2	M-H	1	1	0	100.00	C	4.7820E4	4.6748E5	1.6953E5	1.4143E6	3.5187E4	3.6790E5	4.5921E4	4.3099E5	96.0276	92.1940	4.7820E4	4.6748E5	1.6953E5	1.4143E6	3.5187E4	3.6790E5	3.6790E5	4.5921E4	4.3099E5	96.03	92.19	NaN	NaN	NaN
false	1029	CL(O-77:6)	CL(O-77:6)	CL	alkylacyl-diacyl	(O-77:6)	(O-77:6)	1509.1025	12.0957	C86 H158 O16 P2	M-H	1	1	0	100.00	C	9.3932E2	4.8252E4	4.8629E3	1.3949E5	6.3923E2	5.1150E4	1.1801E3	3.3754E4	125.6298	69.9530	9.3932E2	4.8252E4	4.8629E3	1.3949E5	6.3923E2	5.1150E4	5.1150E4	1.1801E3	3.3754E4	125.63	69.95	NaN	NaN	NaN
false	103	LPC(18:1)	LPC(18:1)	LPC	monoacyl	(18:1)	(18:1)	521.3481	2.3343	C26 H52 N1 O7 P1	M+HCOO	2	1	8	100.00	A	2.3686E5	2.0604E6	9.6440E5	8.1989E6	1.6447E5	1.3299E6	2.5613E5	2.2123E6	108.1381	107.3732	2.3686E5	2.0604E6	9.6440E5	8.1989E6	1.6447E5	1.3299E6	1.3299E6	2.5613E5	2.2123E6	108.14	107.37	NaN	NaN	NaN
false	1030	CerPE(d36:1)	CerPE(d36:1)	CerPE	Ceramide phosphoethanolamines	(d36:1)	(d36:1)	688.5519	10.1184	C38 H77 N2 O6 P1	M-H	1	1	2	100.00	C	1.7434E5	1.8070E6	4.0985E5	4.0744E6	1.5371E5	1.5866E6	1.2751E5	1.3047E6	73.1340	72.2012	1.7434E5	1.8070E6	4.0985E5	4.0744E6	1.5371E5	1.5866E6	1.5866E6	1.2751E5	1.3047E6	73.13	72.20	NaN	NaN	NaN
false	1031	CerPE(d36:1)	CerPE(d36:1)	CerPE	Ceramide phosphoethanolamines	(d36:1)	(d36:1)	688.5519	12.3832	C38 H77 N2 O6 P1	M-H	1	1	2	100.00	C	3.7193E3	4.9927E4	9.2121E3	1.4246E5	3.4895E3	4.8462E4	2.3660E3	2.8714E4	63.6128	57.5124	3.7193E3	4.9927E4	9.2121E3	1.4246E5	3.4895E3	4.8462E4	4.8462E4	2.3660E3	2.8714E4	63.61	57.51	NaN	NaN	NaN
false	1032	PC(32:4)	PC(32:4)	PC	diacyl	(32:4)	(32:4)	725.4996	8.1718	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	7.5949E3	1.0715E5	2.1792E4	2.9363E5	9.7684E3	1.2485E5	7.4859E3	9.3923E4	98.5657	87.6512	7.5949E3	1.0715E5	2.1792E4	2.9363E5	9.7684E3	1.2485E5	1.2485E5	7.4859E3	9.3923E4	98.57	87.65	NaN	NaN	NaN
false	1033	PC(32:4)	PC(32:4)	PC	diacyl	(32:4)	(32:4)	725.4996	8.5810	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	2.0740E4	1.9297E5	5.2920E4	5.2038E5	1.6957E4	1.5315E5	1.5094E4	1.4031E5	72.7764	72.7094	2.0740E4	1.9297E5	5.2920E4	5.2038E5	1.6957E4	1.5315E5	1.5315E5	1.5094E4	1.4031E5	72.78	72.71	NaN	NaN	NaN
false	1034	PC(32:4)	PC(32:4)	PC	diacyl	(32:4)	(32:4)	725.4996	8.7585	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	1.7410E4	1.4541E5	4.9446E4	4.1365E5	1.3349E4	1.1143E5	1.2498E4	9.9392E4	71.7904	68.3551	1.7410E4	1.4541E5	4.9446E4	4.1365E5	1.3349E4	1.1143E5	1.1143E5	1.2498E4	9.9392E4	71.79	68.36	NaN	NaN	NaN
false	1035	PC(32:4)	PC(32:4)	PC	diacyl	(32:4)	(32:4)	725.4996	8.9417	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	5.7863E3	8.9753E4	2.8890E4	4.0620E5	2.9458E3	6.5602E4	7.3806E3	8.6724E4	127.5533	96.6255	5.7863E3	8.9753E4	2.8890E4	4.0620E5	2.9458E3	6.5602E4	6.5602E4	7.3806E3	8.6724E4	127.55	96.63	NaN	NaN	NaN
false	1036	PC(32:4)	PC(32:4)	PC	diacyl	(32:4)	(32:4)	725.4996	9.0469	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	3.6515E4	4.0529E5	9.9930E4	1.0336E6	2.6041E4	3.2779E5	3.2203E4	2.8106E5	88.1917	69.3472	3.6515E4	4.0529E5	9.9930E4	1.0336E6	2.6041E4	3.2779E5	3.2779E5	3.2203E4	2.8106E5	88.19	69.35	NaN	NaN	NaN
false	1037	PC(16:2_16:2)	PC(32:4)	PC	diacyl	(16:2_16:2)	(32:4)	725.4996	9.1103	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	4.1670E4	3.5681E5	1.1400E5	8.7939E5	2.8525E4	2.7315E5	3.3219E4	2.2368E5	79.7189	62.6885	4.1670E4	3.5681E5	1.1400E5	8.7939E5	2.8525E4	2.7315E5	2.7315E5	3.3219E4	2.2368E5	79.72	62.69	NaN	NaN	NaN
false	1038	PC(32:4)	PC(32:4)	PC	diacyl	(32:4)	(32:4)	725.4996	9.4072	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	4.4288E3	5.7977E4	1.4234E4	1.5664E5	3.4639E3	4.9603E4	4.1791E3	3.6032E4	94.3616	62.1481	4.4288E3	5.7977E4	1.4234E4	1.5664E5	3.4639E3	4.9603E4	4.9603E4	4.1791E3	3.6032E4	94.36	62.15	NaN	NaN	NaN
false	1039	PC(32:4)	PC(32:4)	PC	diacyl	(32:4)	(32:4)	725.4996	11.5466	C40 H72 N1 O8 P1	M+HCOO	1	2	11	100.00	C	1.4641E4	1.1698E5	3.6060E4	2.4568E5	1.6559E4	1.2927E5	1.1490E4	7.1659E4	78.4773	61.2573	1.4641E4	1.1698E5	3.6060E4	2.4568E5	1.6559E4	1.2927E5	1.2927E5	1.1490E4	7.1659E4	78.48	61.26	NaN	NaN	NaN
false	104	LPC(18:1)	LPC(18:1)	LPC	monoacyl	(18:1)	(18:1)	521.3481	4.0622	C26 H52 N1 O7 P1	M-CH3	1	1	8	100.00	C	1.6294E4	1.2727E5	5.1772E4	4.0388E5	1.0073E4	7.7928E4	1.5377E4	1.1580E5	94.3713	90.9908	1.6294E4	1.2727E5	5.1772E4	4.0388E5	1.0073E4	7.7928E4	7.7928E4	1.5377E4	1.1580E5	94.37	90.99	NaN	NaN	NaN
false	1040	CerPE(d42:1)	CerPE(d42:1)	CerPE	Ceramide phosphoethanolamines	(d42:1)	(d42:1)	772.6458	16.3767	C44 H89 N2 O6 P1	M-H	1	1	0	100.00	C	5.8021E4	3.5685E5	1.4600E5	9.3931E5	4.9565E4	3.0154E5	3.9543E4	2.4245E5	68.1532	67.9414	5.8021E4	3.5685E5	1.4600E5	9.3931E5	4.9565E4	3.0154E5	3.0154E5	3.9543E4	2.4245E5	68.15	67.94	NaN	NaN	NaN
false	1041	CerPE(d44:1)	CerPE(d44:1)	CerPE	Ceramide phosphoethanolamines	(d44:1)	(d44:1)	800.6771	16.8271	C46 H93 N2 O6 P1	M-H	1	1	0	100.00	C	1.3100E3	2.1417E4	5.3642E3	4.3481E4	6.9586E2	2.1238E4	1.6072E3	1.0965E4	122.6892	51.1978	1.3100E3	2.1417E4	5.3642E3	4.3481E4	6.9586E2	2.1238E4	2.1238E4	1.6072E3	1.0965E4	122.69	51.20	NaN	NaN	NaN
false	1042	CerPE(d44:1)	CerPE(d44:1)	CerPE	Ceramide phosphoethanolamines	(d44:1)	(d44:1)	800.6771	18.2546	C46 H93 N2 O6 P1	M-H	1	1	0	100.00	C	3.7501E4	2.8553E5	1.1099E5	7.4786E5	3.6782E4	2.8685E5	2.9377E4	2.1495E5	78.3359	75.2802	3.7501E4	2.8553E5	1.1099E5	7.4786E5	3.6782E4	2.8685E5	2.8685E5	2.9377E4	2.1495E5	78.34	75.28	NaN	NaN	NaN
false	1043	CerPG(d34:1)	CerPG(d34:1)	CerPG	Ceramide phosphoglycerol	(d34:1)	(d34:1)	691.5152	10.1579	C37 H74 N1 O8 P1	M-H	1	1	0	100.00	C	1.8363E5	1.8017E6	3.7793E5	3.9109E6	1.4395E5	1.4400E6	1.1694E5	1.1255E6	63.6787	62.4668	1.8363E5	1.8017E6	3.7793E5	3.9109E6	1.4395E5	1.4400E6	1.4400E6	1.1694E5	1.1255E6	63.68	62.47	NaN	NaN	NaN
false	1044	CerPG(d34:1)	CerPG(d34:1)	CerPG	Ceramide phosphoglycerol	(d34:1)	(d34:1)	691.5152	10.3400	C37 H74 N1 O8 P1	M-H	1	1	0	100.00	C	5.0426E3	1.2372E5	1.4152E4	2.9555E5	3.4662E3	9.8006E4	4.4817E3	8.6971E4	88.8766	70.2947	5.0426E3	1.2372E5	1.4152E4	2.9555E5	3.4662E3	9.8006E4	9.8006E4	4.4817E3	8.6971E4	88.88	70.29	NaN	NaN	NaN
false	1045	CerPG(d34:1)	CerPG(d34:1)	CerPG	Ceramide phosphoglycerol	(d34:1)	(d34:1)	691.5152	12.4667	C37 H74 N1 O8 P1	M-H	1	1	0	100.00	C	9.3319E4	7.4008E5	1.9363E5	1.5298E6	8.7404E4	7.1809E5	5.2873E4	3.9961E5	56.6589	53.9951	9.3319E4	7.4008E5	1.9363E5	1.5298E6	8.7404E4	7.1809E5	7.1809E5	5.2873E4	3.9961E5	56.66	54.00	NaN	NaN	NaN
false	1046	CL(75:8CHOCHO)	CL(75:8CHOCHO)	CL	3,4-aldehyde diacyl-diacyl	(75:8CHOCHO)	(75:8CHOCHO)	1518.9777	22.0841	C84 H144 O19 P2	M-H	1	1	0	100.00	C	3.8757E4	2.8982E5	8.9064E4	6.1811E5	3.6071E4	2.7898E5	2.2967E4	1.6268E5	59.2589	56.1309	3.8757E4	2.8982E5	8.9064E4	6.1811E5	3.6071E4	2.7898E5	2.7898E5	2.2967E4	1.6268E5	59.26	56.13	NaN	NaN	NaN
false	1047	CerPE(d38:1)	CerPE(d38:1)	CerPE	Ceramide phosphoethanolamines	(d38:1)	(d38:1)	716.5832	11.9602	C40 H81 N2 O6 P1	M-H	1	1	2	100.00	C	2.2083E5	1.6922E6	4.0695E5	3.1921E6	2.1609E5	1.6531E6	9.9318E4	7.4700E5	44.9759	44.1428	2.2083E5	1.6922E6	4.0695E5	3.1921E6	2.1609E5	1.6531E6	1.6531E6	9.9318E4	7.4700E5	44.98	44.14	NaN	NaN	NaN
false	1048	CerPE(d44:2)	CerPE(d44:2)	CerPE	Ceramide phosphoethanolamines	(d44:2)	(d44:2)	798.6615	15.8440	C46 H91 N2 O6 P1	M-H	1	1	0	100.00	C	2.2898E5	1.4975E6	5.5470E5	3.8400E6	2.0182E5	1.3327E6	1.4591E5	9.7840E5	63.7219	65.3351	2.2898E5	1.4975E6	5.5470E5	3.8400E6	2.0182E5	1.3327E6	1.3327E6	1.4591E5	9.7840E5	63.72	65.34	NaN	NaN	NaN
false	1049	CerPE(d44:2)	CerPE(d44:2)	CerPE	Ceramide phosphoethanolamines	(d44:2)	(d44:2)	798.6615	16.1530	C46 H91 N2 O6 P1	M-H	1	1	0	100.00	C	5.2923E3	7.6882E4	1.6683E4	1.9421E5	4.8005E3	7.1724E4	3.4887E3	4.1208E4	65.9192	53.5987	5.2923E3	7.6882E4	1.6683E4	1.9421E5	4.8005E3	7.1724E4	7.1724E4	3.4887E3	4.1208E4	65.92	53.60	NaN	NaN	NaN
false	105	PC(20:3CHO)	PC(20:3CHO)	PC	aldehyde	(20:3CHO)	(20:3CHO)	573.3067	1.1868	C28 H48 N1 O9 P1	M-CH3	1	1	0	100.00	C	1.6117E4	3.2632E5	7.3736E4	1.4663E6	9.9497E3	2.2897E5	1.7353E4	3.3053E5	107.6728	101.2916	1.6117E4	3.2632E5	7.3736E4	1.4663E6	9.9497E3	2.2897E5	2.2897E5	1.7353E4	3.3053E5	107.67	101.29	NaN	NaN	NaN
false	1050	CerPG(d35:3)	CerPG(d35:3)	CerPG	Ceramide phosphoglycerol	(d35:3)	(d35:3)	701.4996	9.9234	C38 H72 N1 O8 P1	M-H	1	1	0	100.00	C	1.0698E5	1.1258E6	2.5206E5	2.4964E6	1.0640E5	1.1413E6	8.1072E4	8.4441E5	75.7825	75.0074	1.0698E5	1.1258E6	2.5206E5	2.4964E6	1.0640E5	1.1413E6	1.1413E6	8.1072E4	8.4441E5	75.78	75.01	NaN	NaN	NaN
false	1051	CerPG(d35:3)	CerPG(d35:3)	CerPG	Ceramide phosphoglycerol	(d35:3)	(d35:3)	701.4996	10.0663	C38 H72 N1 O8 P1	M-H	1	1	0	100.00	C	6.1176E4	9.0998E5	2.7605E5	2.8321E6	2.7787E4	3.1054E5	7.1872E4	9.6735E5	117.4835	106.3052	6.1176E4	9.0998E5	2.7605E5	2.8321E6	2.7787E4	3.1054E5	3.1054E5	7.1872E4	9.6735E5	117.48	106.31	NaN	NaN	NaN
