Rej	ID	LipidMolec	LipidMolecGroup	ClassKey	SubClassKey	FAKey	FAGroupKey	CalcMass	BaseRt	MolFormula	MainIon	IonCnt	IsoCnt	PDBCnt	TotalSmpIDRate(%)	TotalGrade	OrgMeanArea[s1]	OrgMeanHeight[s1]	OrgMaxArea[s1]	OrgMaxHeight[s1]	OrgMedArea[s1]	OrgMedHeight[s1]	OrgAreaStd[s1]	OrgHeightStd[s1]	OrgAreaRsd(%)[s1]	OrgHeightRsd(%)[s1]	MeanArea[s1]	MeanHeight[s1]	MaxArea[s1]	MaxHeight[s1]	MedArea[s1]	MedHeight[s1]	MedSumArea[s1]	AreaStd[s1]	HeightStd[s1]	AreaRsd(%)[s1]	HeightRsd(%)[s1]	MeanConc[s1]	MaxConc[s1]	MedConc[s1]
false	31	CL(O-78:6)	CL(O-78:6)	CL	alkylacyl-diacyl	(O-78:6)	(O-78:6)	1523.1182	10.8355	C87 H160 O16 P2	M-2H	1	1	0	100.00	C	1.3032E4	1.1863E5	3.5382E4	2.8571E5	1.1720E4	1.0232E5	8.8922E3	7.7451E4	68.2318	65.2881	1.3032E4	1.1863E5	3.5382E4	2.8571E5	1.1720E4	1.0232E5	1.0232E5	8.8922E3	7.7451E4	68.23	65.29	NaN	NaN	NaN
false	310	PC(O-34:3)	PC(O-34:3)	PC	alkyl-acyl	(O-34:3)	(O-34:3)	741.5672	13.4808	C42 H80 N1 O7 P1	M-CH3	1	1	0	100.00	C	1.1397E6	7.3467E6	6.7490E6	3.3715E7	1.0266E6	7.0766E6	1.3166E6	7.0144E6	115.5255	95.4772	1.1397E6	7.3467E6	6.7490E6	3.3715E7	1.0266E6	7.0766E6	7.0766E6	1.3166E6	7.0144E6	115.53	95.48	NaN	NaN	NaN
false	3100	PC(36:3)	PC(36:3)	PC	diacyl	(36:3)	(36:3)	783.5778	13.0632	C44 H82 N1 O8 P1	M+HCOO	1	3	20	100.00	C	1.1689E4	8.9552E4	3.1670E4	2.0559E5	9.1171E3	6.8509E4	1.0355E4	6.9212E4	88.5935	77.2874	1.1689E4	8.9552E4	3.1670E4	2.0559E5	9.1171E3	6.8509E4	6.8509E4	1.0355E4	6.9212E4	88.59	77.29	NaN	NaN	NaN
false	3101	PC(16:0_20:3)	PC(36:3)	PC	diacyl	(16:0_20:3)	(36:3)	783.5778	13.3246	C44 H82 N1 O8 P1	M-CH3	2	3	5	100.00	B	2.2614E5	1.6745E6	5.2235E5	3.8383E6	1.4441E5	8.9453E5	1.7903E5	1.3651E6	79.1697	81.5227	2.2614E5	1.6745E6	5.2235E5	3.8383E6	1.4441E5	8.9453E5	8.9453E5	1.7903E5	1.3651E6	79.17	81.52	NaN	NaN	NaN
false	3102	PC(36:3)	PC(36:3)	PC	diacyl	(36:3)	(36:3)	783.5778	13.8205	C44 H82 N1 O8 P1	M-CH3	1	3	20	100.00	C	1.0360E4	2.7119E5	2.3989E4	6.2109E5	1.0922E4	2.5806E5	6.7260E3	1.7244E5	64.9223	63.5883	1.0360E4	2.7119E5	2.3989E4	6.2109E5	1.0922E4	2.5806E5	2.5806E5	6.7260E3	1.7244E5	64.92	63.59	NaN	NaN	NaN
false	3103	PC(36:3)	PC(36:3)	PC	diacyl	(36:3)	(36:3)	783.5778	13.9981	C44 H82 N1 O8 P1	M-CH3	1	3	20	100.00	C	4.7236E6	3.7631E7	1.0829E7	8.5516E7	4.6161E6	3.8738E7	3.2774E6	2.5277E7	69.3831	67.1709	4.7236E6	3.7631E7	1.0829E7	8.5516E7	4.6161E6	3.8738E7	3.8738E7	3.2774E6	2.5277E7	69.38	67.17	NaN	NaN	NaN
false	3104	Hex2Cer(d27:2)	Hex2Cer(d27:2)	Hex2Cer	Ceramide disaccharides	(d27:2)	(d27:2)	761.4925	11.4081	C39 H71 N1 O13	M+HCOO	1	1	0	100.00	C	1.0120E5	5.4044E5	1.6564E5	9.3326E5	1.2064E5	6.8928E5	4.6419E4	2.8608E5	45.8684	52.9352	1.0120E5	5.4044E5	1.6564E5	9.3326E5	1.2064E5	6.8928E5	6.8928E5	4.6419E4	2.8608E5	45.87	52.94	NaN	NaN	NaN
false	3105	Hex2Cer(d27:2)	Hex2Cer(d27:2)	Hex2Cer	Ceramide disaccharides	(d27:2)	(d27:2)	761.4925	11.4500	C39 H71 N1 O13	M+HCOO	1	1	0	100.00	C	8.2824E4	5.0456E5	1.6564E5	9.3326E5	8.5769E4	5.8667E5	5.4799E4	2.9897E5	66.1636	59.2538	8.2824E4	5.0456E5	1.6564E5	9.3326E5	8.5769E4	5.8667E5	5.8667E5	5.4799E4	2.9897E5	66.16	59.25	NaN	NaN	NaN
false	3106	Hex2Cer(d27:2)	Hex2Cer(d27:2)	Hex2Cer	Ceramide disaccharides	(d27:2)	(d27:2)	761.4925	12.1472	C39 H71 N1 O13	M+HCOO	1	1	0	100.00	C	3.2179E3	4.7973E4	6.0244E3	7.7581E4	3.1103E3	4.9888E4	1.6005E3	1.8927E4	49.7369	39.4541	3.2179E3	4.7973E4	6.0244E3	7.7581E4	3.1103E3	4.9888E4	4.9888E4	1.6005E3	1.8927E4	49.74	39.45	NaN	NaN	NaN
false	3107	PG(46:11)	PG(46:11)	PG	diacyl	(46:11)	(46:11)	896.5567	10.0816	C52 H81 O10 P1	M-H	1	1	0	100.00	C	1.0546E4	2.4508E5	2.3920E4	7.1156E5	1.0716E4	1.1954E5	5.3177E3	2.1669E5	50.4240	88.4150	1.0546E4	2.4508E5	2.3920E4	7.1156E5	1.0716E4	1.1954E5	1.1954E5	5.3177E3	2.1669E5	50.42	88.41	NaN	NaN	NaN
false	3108	PG(46:11)	PG(46:11)	PG	diacyl	(46:11)	(46:11)	896.5567	10.5324	C52 H81 O10 P1	M-H	1	1	0	100.00	C	2.6202E3	5.7130E4	6.2128E3	1.1343E5	2.3919E3	5.7460E4	1.6419E3	3.0180E4	62.6647	52.8273	2.6202E3	5.7130E4	6.2128E3	1.1343E5	2.3919E3	5.7460E4	5.7460E4	1.6419E3	3.0180E4	62.66	52.83	NaN	NaN	NaN
false	3109	PI(18:1_18:3)	PI(36:4)	PI	diacyl	(18:1_18:3)	(36:4)	858.5258	8.6619	C45 H79 O13 P1	M-H	1	3	4	100.00	B	3.4601E4	3.2014E5	1.0004E5	8.1529E5	3.0476E4	2.9725E5	2.8983E4	2.5282E5	83.7630	78.9712	3.4601E4	3.2014E5	1.0004E5	8.1529E5	3.0476E4	2.9725E5	2.9725E5	2.8983E4	2.5282E5	83.76	78.97	NaN	NaN	NaN
false	3110	PI(36:4)	PI(36:4)	PI	diacyl	(36:4)	(36:4)	858.5258	8.7808	C45 H79 O13 P1	M-H	1	3	13	100.00	C	4.2081E4	1.2521E6	2.7451E5	6.3585E6	5.0701E3	1.3297E5	7.8453E4	2.2071E6	186.4319	176.2632	4.2081E4	1.2521E6	2.7451E5	6.3585E6	5.0701E3	1.3297E5	1.3297E5	7.8453E4	2.2071E6	186.43	176.26	NaN	NaN	NaN
false	3111	PI(16:0_20:4)	PI(36:4)	PI	diacyl	(16:0_20:4)	(36:4)	858.5258	8.9074	C45 H79 O13 P1	M-H	1	3	2	100.00	A	2.3181E5	2.5954E6	7.5746E5	7.5094E6	2.7058E5	3.3667E6	2.3746E5	2.4497E6	102.4410	94.3858	2.3181E5	2.5954E6	7.5746E5	7.5094E6	2.7058E5	3.3667E6	3.3667E6	2.3746E5	2.4497E6	102.44	94.39	NaN	NaN	NaN
false	3112	PI(36:4)	PI(36:4)	PI	diacyl	(36:4)	(36:4)	858.5258	9.0480	C45 H79 O13 P1	M-H	1	3	13	100.00	C	5.6285E3	1.5330E5	5.7108E4	1.9603E6	2.5547E3	8.1598E4	1.1120E4	3.6696E5	197.5596	239.3816	5.6285E3	1.5330E5	5.7108E4	1.9603E6	2.5547E3	8.1598E4	8.1598E4	1.1120E4	3.6696E5	197.56	239.38	NaN	NaN	NaN
false	3113	PI(36:4)	PI(36:4)	PI	diacyl	(36:4)	(36:4)	858.5258	9.1241	C45 H79 O13 P1	M-H	1	3	13	100.00	C	3.4821E3	7.1150E4	1.0259E4	2.1554E5	3.6298E3	6.7465E4	3.5358E3	5.5276E4	101.5421	77.6896	3.4821E3	7.1150E4	1.0259E4	2.1554E5	3.6298E3	6.7465E4	6.7465E4	3.5358E3	5.5276E4	101.54	77.69	NaN	NaN	NaN
false	3114	MGDG(40:5)	MGDG(40:5)	MGDG	Monogalactosyldiacylglycerol	(40:5)	(40:5)	832.6064	12.2919	C49 H84 O10	M-H	1	1	0	100.00	C	2.8608E5	1.3731E6	6.2241E5	2.4992E6	2.8814E5	1.5016E6	1.6531E5	7.3085E5	57.7829	53.2264	2.8608E5	1.3731E6	6.2241E5	2.4992E6	2.8814E5	1.5016E6	1.5016E6	1.6531E5	7.3085E5	57.78	53.23	NaN	NaN	NaN
