Compound,m.z,Retention.time..min.,Mode,Intensity,O4_0220,O2_0220,Y2_1219,O1+O5_1219,O3_0220,Y1_1219,Y3_0220,O2+O3_1219,Y5_0220,O1_0220,Y2_0220,O5_0220,Y4_0220,Y4_1219,O4_1219,Y1_0220,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
15.28_690.6054m/z,690.6054,15.28,Accucore_C18_neg,7.9E+05,8.6E+05,2.0E+06,7.2E+05,2.9E+05,9.4E+05,7.1E+05,4.2E+05,5.2E+05,1.1E+06,1.8E+06,1.8E+06,5.8E+05,1.3E+06,5.1E+05,3.7E+05,1.9E+06,1.1E+06,1.2E+06,1.1E+06,Cer(d18:1/24:2)+HCOO,(d18:1/24:2),Cer,C43 H80 O5 N1,15.38702762,690.6041975,26.85540397,0.839191835
15.39_628.6052m/z,628.6052,15.39,Accucore_C18_pos,1.9E+06,1.8E+06,4.0E+06,1.7E+06,1.3E+06,2.1E+06,1.9E+06,1.3E+06,1.4E+06,2.2E+06,3.8E+06,3.9E+06,1.5E+06,2.8E+06,1.8E+06,1.3E+06,4.0E+06,1.7E+06,1.7E+06,1.6E+06,Cer(d18:1/24:2)+H-H2O,(d18:1/24:2),Cer,C42 H78 O2 N1,15.38702762,628.6027055,17.2275313,0.583167966
15.26_644.5999m/z,644.5999,15.26,Accucore_C18_neg,3.2E+04,3.8E+04,1.2E+05,2.6E+04,4.7E+03,3.8E+04,2.5E+04,1.3E+04,2.1E+04,5.3E+04,1.0E+05,1.0E+05,2.1E+04,6.6E+04,1.4E+04,7.3E+03,1.1E+05,6.7E+04,7.2E+04,6.9E+04,Cer(d18:1/24:2)-H,(d18:1/24:2),Cer,C42 H78 O3 N1,15.38702762,644.5987175,4.205589898,0.960729141
16.07_644.5992m/z,644.5992,16.07,Accucore_C18_pos,3.1E+05,2.9E+05,4.1E+05,2.9E+05,3.0E+05,3.3E+05,3.6E+05,2.5E+05,2.3E+05,2.9E+05,4.3E+05,5.0E+05,2.4E+05,4.6E+05,3.6E+05,2.2E+05,4.2E+05,1.8E+05,1.9E+05,1.5E+05,Cer(d18:1/24:3)+H,(d18:1/24:3),Cer,C42 H78 O3 N1,16.105,644.5976205,6.013268201,1.332061505
16.30_644.5996m/z,644.5996,16.30,Accucore_C18_pos,7.4E+03,6.0E+03,4.2E+03,8.8E+03,8.7E+03,9.5E+03,7.3E+03,3.8E+03,7.9E+03,6.7E+03,7.0E+03,1.1E+04,3.5E+03,7.5E+03,1.0E+04,8.3E+03,6.5E+03,9.2E+03,2.6E+03,4.4E+03,Cer(d18:1/24:3)+H,(d18:1/24:3),Cer,C42 H78 O3 N1,16.105,644.5976205,6.013268201,1.332061505
13.95_626.5899m/z,626.5899,13.95,Accucore_C18_pos,1.5E+05,1.3E+05,3.7E+05,1.6E+05,4.2E+04,1.9E+05,1.2E+05,8.6E+04,6.4E+04,2.0E+05,3.5E+05,5.1E+05,1.0E+05,2.9E+05,1.3E+05,5.3E+04,4.4E+05,1.4E+05,1.5E+05,1.3E+05,Cer(d18:1/24:3)+H-H2O,(d18:1/24:3),Cer,C42 H76 O2 N1,13.94178467,626.5870555,16.8683326,0.556231135
13.72_626.5893m/z,626.5893,13.72,Accucore_C18_pos,2.5E+03,3.2E+03,7.4E+03,1.7E+03,2.6E+02,3.0E+03,2.6E+03,2.4E+02,1.7E+03,2.4E+03,7.8E+03,7.1E+03,2.1E+03,3.5E+03,2.0E+03,2.9E+02,5.2E+03,0.0E+00,0.0E+00,2.6E+03,Cer(d18:1/24:3)+H-H2O,(d18:1/24:3),Cer,C42 H76 O2 N1,13.94178467,626.5870555,16.8683326,0.556231135
20.21_660.6680m/z,660.6680,20.21,Accucore_C18_pos,2.7E+04,3.1E+04,7.8E+04,1.7E+04,1.1E+04,2.7E+04,2.4E+04,4.4E+04,1.6E+04,5.0E+04,6.3E+04,5.9E+04,2.1E+04,2.7E+04,1.6E+04,1.6E+04,7.1E+04,4.3E+04,4.7E+04,4.0E+04,Cer(d18:1/26:0)+H-H2O,(d18:1/26:0),Cer,C44 H86 O2 N1,20.247,660.6653055,3.527350468,3.357476782
18.85_676.6632m/z,676.6632,18.85,Accucore_C18_pos,6.4E+04,7.4E+04,2.1E+05,4.9E+04,2.3E+04,8.3E+04,5.3E+04,4.2E+04,3.0E+04,9.4E+04,1.9E+05,1.8E+05,5.4E+04,9.2E+04,3.6E+04,3.1E+04,2.1E+05,7.7E+04,8.2E+04,8.1E+04,Cer(d18:1/26:0+O)+H-H2O| Cer(d18:1/26:1)+H,(d18:1/26:0+O)| (d18:1/26:1),Cer| Cer,C44 H86 O3 N1| C44 H86 O3 N1,18.838| 18.7950465599118,676.66022047| 676.66022047,5.63345939457223| 6.97305011411171,1.08568006805864| 1.55670669428858
18.76_720.6529m/z,720.6529,18.76,Accucore_C18_neg,1.5E+05,1.8E+05,5.1E+05,1.1E+05,5.2E+04,1.9E+05,1.2E+05,8.5E+04,6.5E+04,2.2E+05,4.6E+05,4.3E+05,1.1E+05,2.2E+05,8.0E+04,6.2E+04,5.0E+05,2.2E+05,2.2E+05,2.2E+05,Cer(d18:1/26:1)+HCOO,(d18:1/26:1),Cer,C45 H86 O5 N1,18.79504656,720.6511475,4.496617111,1.15205432
18.85_658.6526m/z,658.6526,18.85,Accucore_C18_pos,2.1E+05,2.5E+05,6.9E+05,1.6E+05,8.8E+04,2.8E+05,1.6E+05,1.5E+05,1.1E+05,3.1E+05,6.3E+05,5.9E+05,1.8E+05,3.0E+05,1.3E+05,1.1E+05,6.7E+05,2.6E+05,2.7E+05,2.6E+05,Cer(d18:1/26:1)+H-H2O,(d18:1/26:1),Cer,C44 H84 O2 N1,18.79504656,658.6496555,9.229775801,0.797022622
17.43_656.6353m/z,656.6353,17.43,Accucore_C18_pos,1.2E+04,6.7E+03,7.4E+04,1.3E+04,1.6E+03,1.4E+04,7.8E+03,2.4E+03,5.2E+03,2.1E+04,7.0E+04,8.4E+04,5.2E+03,3.2E+04,1.1E+04,3.1E+03,7.7E+04,1.7E+04,1.3E+04,1.5E+04,Cer(d18:1/26:2)+H-H2O,(d18:1/26:2),Cer,C44 H82 O2 N1,17.468,656.6340055,11.23004358,1.410604372
17.58_656.6365m/z,656.6365,17.58,Accucore_C18_pos,3.1E+03,3.1E+03,9.9E+03,3.1E+03,9.4E+02,4.8E+03,1.8E+03,1.4E+03,1.2E+03,5.0E+03,8.7E+03,9.9E+03,1.5E+03,6.0E+03,2.7E+03,6.6E+02,1.2E+04,2.3E+03,4.1E+03,2.0E+03,Cer(d18:1/26:2)+H-H2O,(d18:1/26:2),Cer,C44 H82 O2 N1,17.468,656.6340055,11.23004358,1.410604372
17.75_644.5975m/z,644.5975,17.75,Accucore_C18_pos,1.1E+07,1.2E+07,4.1E+07,7.0E+06,3.5E+06,1.5E+07,8.5E+06,6.7E+06,4.5E+06,1.7E+07,3.4E+07,3.1E+07,9.7E+06,1.5E+07,6.5E+06,4.2E+06,3.7E+07,1.1E+07,1.2E+07,1.2E+07,Cer(d19:1/23:3)+H| Cer(t18:0/24:3)+H-H2O,(d19:1/23:3)| (t18:0/24:3),Cer| Cer,C42 H78 O3 N1| C42 H78 O3 N1,17.719| 17.7713266515104,644.59762047| 644.59762047,10.5910168530178| 5.13607213991296,3.55805598836625| 2.4720464839015
17.46_644.5998m/z,644.5998,17.46,Accucore_C18_pos,1.9E+04,1.8E+04,7.7E+04,1.4E+04,7.3E+03,2.8E+04,1.9E+04,1.3E+04,7.7E+03,2.9E+04,6.7E+04,5.5E+04,1.9E+04,3.5E+04,1.3E+04,6.6E+03,5.5E+04,8.2E+03,1.2E+04,6.0E+03,Cer(d19:1/23:3)+H| Cer(t18:0/24:3)+H-H2O,(d19:1/23:3)| (t18:0/24:3),Cer| Cer,C42 H78 O3 N1| C42 H78 O3 N1,17.719| 17.7713266515104,644.59762047| 644.59762047,10.5910168530178| 5.13607213991296,3.55805598836625| 2.4720464839015
18.21_662.6469m/z,662.6469,18.21,Accucore_C18_pos,2.0E+05,1.8E+05,9.6E+05,1.4E+05,7.2E+04,2.9E+05,2.2E+05,9.2E+04,1.1E+05,3.1E+05,6.5E+05,7.4E+05,1.6E+05,3.2E+05,1.3E+05,7.6E+04,8.6E+05,2.8E+05,2.7E+05,2.8E+05,Cer(d19:1/24:1)+H,(d19:1/24:1),Cer,C43 H84 O3 N1,18.18625356,662.6445705,24.14402048,0.649951121
18.08_706.6369m/z,706.6369,18.08,Accucore_C18_neg,4.2E+05,4.2E+05,1.3E+06,3.1E+05,1.8E+05,5.6E+05,4.3E+05,2.3E+05,2.9E+05,6.3E+05,9.7E+05,9.9E+05,4.1E+05,5.5E+05,2.6E+05,1.9E+05,1.1E+06,5.7E+05,5.6E+05,5.5E+05,Cer(d19:1/24:1)+HCOO,(d19:1/24:1),Cer,C44 H84 O5 N1,18.18625356,706.6354975,12.49374744,0.625041762
18.21_644.6362m/z,644.6362,18.21,Accucore_C18_pos,7.4E+05,6.8E+05,3.2E+06,5.6E+05,2.9E+05,1.0E+06,8.0E+05,3.6E+05,4.3E+05,1.1E+06,2.2E+06,2.5E+06,6.0E+05,1.1E+06,5.4E+05,3.2E+05,2.8E+06,9.3E+05,9.3E+05,1.0E+06,Cer(d19:1/24:1)+H-H2O,(d19:1/24:1),Cer,C43 H82 O2 N1,18.18625356,644.6340055,14.76442204,1.126548659
18.52_644.6366m/z,644.6366,18.52,Accucore_C18_pos,2.0E+03,2.1E+03,9.1E+03,1.5E+03,6.1E+02,3.3E+03,1.9E+03,5.9E+02,1.2E+03,4.6E+03,7.4E+03,7.2E+03,1.9E+03,3.5E+03,1.3E+03,7.3E+02,8.4E+03,2.2E+03,2.7E+03,9.3E+02,Cer(d19:1/24:1)+H-H2O,(d19:1/24:1),Cer,C43 H82 O2 N1,18.18625356,644.6340055,14.76442204,1.126548659
13.60_602.5894m/z,602.5894,13.60,Accucore_C18_pos,2.2E+06,2.1E+06,1.5E+06,3.2E+06,2.6E+06,2.4E+06,3.0E+06,2.0E+06,1.9E+06,2.2E+06,1.5E+06,2.3E+06,1.8E+06,3.0E+06,3.4E+06,2.0E+06,1.8E+06,1.3E+06,1.4E+06,1.3E+06,Cer(m17:0/23:3)+H,(m17:0/23:3),Cer,C40 H76 O2 N1,13.56143192,602.5870555,6.365934299,0.2036477
14.65_616.6053m/z,616.6053,14.65,Accucore_C18_pos,2.3E+06,1.5E+06,1.5E+06,3.5E+06,2.6E+06,2.4E+06,4.2E+06,1.2E+06,2.3E+06,2.1E+06,1.5E+06,3.0E+06,1.5E+06,3.4E+06,4.1E+06,1.9E+06,2.2E+06,2.0E+06,2.1E+06,2.4E+06,Cer(m17:0/24:3)+H,(m17:0/24:3),Cer,C41 H78 O2 N1,14.61563901,616.6027055,5.956344552,0.321808178
14.27_616.6048m/z,616.6048,14.27,Accucore_C18_pos,2.4E+04,1.0E+04,6.1E+04,2.5E+04,9.7E+03,2.3E+04,3.1E+04,8.7E+03,1.5E+04,2.0E+04,3.5E+04,5.3E+04,1.3E+04,2.9E+04,2.6E+04,9.8E+03,4.5E+04,1.7E+03,1.5E+04,1.4E+04,Cer(m17:0/24:3)+H,(m17:0/24:3),Cer,C41 H78 O2 N1,14.61563901,616.6027055,5.956344552,0.321808178
18.23_632.6364m/z,632.6364,18.23,Accucore_C18_pos,6.9E+06,6.5E+06,5.2E+06,9.3E+06,6.5E+06,7.4E+06,1.0E+07,4.5E+06,5.7E+06,7.9E+06,5.4E+06,8.3E+06,4.4E+06,9.7E+06,1.0E+07,5.9E+06,7.2E+06,5.3E+06,6.0E+06,6.7E+06,Cer(m17:0/25:2)+H,(m17:0/25:2),Cer,C42 H82 O2 N1,18.21046621,632.6340055,4.906967391,1.432439264
