Compound,m.z,Retention.time..min.,Mode,Intensity,O4_0220,O2_0220,Y2_1219,O1+O5_1219,O3_0220,Y1_1219,Y3_0220,O2+O3_1219,Y5_0220,O1_0220,Y2_0220,O5_0220,Y4_0220,Y4_1219,O4_1219,Y1_0220,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
17.78_603.5373m/z,603.5373,17.78,Accucore_C18_pos,7.9E+05,7.4E+05,2.7E+06,3.6E+05,3.8E+05,1.1E+06,8.4E+05,4.3E+05,2.4E+05,9.3E+05,2.6E+06,2.5E+06,4.0E+05,1.1E+06,6.7E+05,1.4E+05,2.6E+06,7.3E+05,7.4E+05,7.3E+05,DG(18:3e/18:1)+H,(18:3e/18:1),DG,C39 H71 O4,17.781,603.5346865,3.022274658,7.39225215
21.02_603.5369m/z,603.5369,21.02,Accucore_C18_pos,1.4E+04,9.2E+03,2.6E+04,9.4E+03,9.1E+03,1.7E+04,1.8E+04,4.4E+03,5.3E+03,1.2E+04,2.4E+04,2.1E+04,6.3E+03,2.1E+04,2.0E+04,3.8E+03,2.2E+04,8.9E+03,1.3E+04,1.5E+04,DG(18:3e/18:1)+H,(18:3e/18:1),DG,C39 H71 O4,21.32402467,603.5346865,3.283924256,10.91097515
17.49_603.5365m/z,603.5365,17.49,Accucore_C18_pos,4.6E+03,3.8E+03,1.1E+04,3.3E+03,3.9E+03,5.0E+03,7.7E+03,2.5E+03,1.1E+03,5.1E+03,9.9E+03,8.0E+03,1.9E+03,5.6E+03,4.3E+03,9.5E+02,1.2E+04,8.5E+03,1.4E+03,5.8E+03,DG(18:3e/18:1)+H,(18:3e/18:1),DG,C39 H71 O4,17.781,603.5346865,3.022274658,7.39225215
17.46_603.5363m/z,603.5363,17.46,Accucore_C18_pos,2.4E+03,1.8E+03,5.1E+03,2.3E+03,1.7E+03,2.5E+03,3.9E+03,1.1E+03,7.9E+02,1.6E+03,7.5E+03,6.7E+03,1.4E+03,3.4E+03,3.6E+03,0.0E+00,7.5E+03,0.0E+00,3.8E+03,1.8E+03,DG(18:3e/18:1)+H,(18:3e/18:1),DG,C39 H71 O4,17.781,603.5346865,3.022274658,7.39225215
22.28_603.5372m/z,603.5372,22.28,Accucore_C18_pos,3.7E+06,3.8E+06,1.0E+07,2.1E+06,1.9E+06,6.4E+06,3.5E+06,1.8E+06,1.1E+06,4.0E+06,9.0E+06,8.9E+06,2.1E+06,5.7E+06,3.4E+06,8.0E+05,8.4E+06,2.6E+06,2.6E+06,2.6E+06,DG(18:3e/18:1)+H| DG(18:3e/18:1)+H,(18:3e/18:1)| (18:3e/18:1),DG| DG,C39 H71 O4| C39 H71 O4,21.8180403119709| 22.2772938505083,603.53468647| 603.53468647,3.38333089329052| 3.26700767317588,11.5311928537942| 11.9251695204609
21.81_603.5368m/z,603.5368,21.81,Accucore_C18_pos,1.1E+07,8.9E+06,2.3E+07,7.0E+06,6.3E+06,1.6E+07,1.2E+07,5.1E+06,3.9E+06,1.1E+07,2.0E+07,2.1E+07,5.3E+06,1.6E+07,1.2E+07,2.5E+06,2.0E+07,6.6E+06,6.7E+06,6.6E+06,DG(18:3e/18:1)+H| DG(18:3e/18:1)+H| DG(18:3e/18:1)+H,(18:3e/18:1)| (18:3e/18:1)| (18:3e/18:1),DG| DG| DG,C39 H71 O4| C39 H71 O4| C39 H71 O4,21.3240246691252| 21.8180403119709| 22.2772938505083,603.53468647| 603.53468647| 603.53468647,3.28392425640497| 3.38333089329052| 3.26700767317588,10.9109751497566| 11.5311928537942| 11.9251695204609
9.67_601.5211m/z,601.5211,9.67,Accucore_C18_pos,3.8E+06,3.7E+06,8.5E+06,5.3E+06,2.3E+06,2.9E+06,6.3E+06,4.2E+06,3.7E+06,8.1E+06,3.1E+06,5.8E+06,3.9E+06,2.8E+06,5.4E+06,2.7E+06,3.7E+06,3.7E+06,3.7E+06,3.7E+06,DG(18:3e/18:2)+H,(18:3e/18:2),DG,C39 H69 O4,9.68792275,601.5190365,3.239596106,0.430356107
21.33_601.5213m/z,601.5213,21.33,Accucore_C18_pos,3.0E+06,2.1E+06,6.4E+06,2.0E+06,1.7E+06,3.3E+06,4.0E+06,1.1E+06,1.2E+06,2.8E+06,5.4E+06,5.0E+06,1.0E+06,4.4E+06,3.6E+06,6.7E+05,5.1E+06,1.9E+06,1.9E+06,1.9E+06,DG(18:3e/18:2)+H| DG(18:3e/18:2)+H,(18:3e/18:2)| (18:3e/18:2),DG| DG,C39 H69 O4| C39 H69 O4,21.3556429972375| 21.8402883033144,601.51903647| 601.51903647,3.19892990997749| 3.04066768047641,12.0869407739902| 12.5991041861442
21.87_601.5210m/z,601.5210,21.87,Accucore_C18_pos,1.9E+06,1.8E+06,3.8E+06,1.3E+06,1.2E+06,2.6E+06,2.3E+06,1.1E+06,9.5E+05,2.1E+06,3.4E+06,3.1E+06,1.1E+06,2.7E+06,1.8E+06,6.2E+05,3.2E+06,1.1E+06,1.1E+06,1.1E+06,DG(18:3e/18:2)+H| DG(18:3e/18:2)+H,(18:3e/18:2)| (18:3e/18:2),DG| DG,C39 H69 O4| C39 H69 O4,21.3556429972375| 21.8402883033144,601.51903647| 601.51903647,3.19892990997749| 3.04066768047641,12.0869407739902| 12.5991041861442
11.52_617.5526m/z,617.5526,11.52,Accucore_C18_pos,6.3E+05,5.1E+05,1.1E+06,7.0E+05,4.3E+05,4.7E+05,1.2E+06,7.1E+05,7.9E+05,1.3E+06,2.5E+05,5.6E+05,7.4E+05,2.5E+05,7.9E+05,4.8E+05,3.2E+05,4.2E+05,4.5E+05,4.0E+05,DG(18:3e/19:1)+H,(18:3e/19:1),DG,C40 H73 O4,11.559,617.5503365,3.15864203,0.460265835
7.76_927.5384m/z,927.5384,7.76,Accucore_C18_neg,8.7E+05,7.2E+05,1.4E+06,3.4E+05,5.5E+05,9.0E+05,1.6E+06,4.8E+05,2.5E+05,8.4E+05,1.8E+06,2.0E+06,3.4E+05,1.2E+06,1.0E+06,1.2E+05,1.9E+06,8.2E+05,7.9E+05,8.2E+05,DLCL(18:1/18:1)-H,(18:1/18:1),DLCL,C45 H85 O15 P2,7.760661554,927.5369245,54.57074339,3.209273334
7.01_899.5071m/z,899.5071,7.01,Accucore_C18_neg,1.8E+05,1.3E+05,3.2E+05,4.9E+04,9.4E+04,1.8E+05,3.9E+05,8.8E+04,1.7E+04,1.9E+05,4.3E+05,4.5E+05,3.9E+04,2.9E+05,2.7E+05,4.5E+03,4.6E+05,1.8E+05,1.9E+05,2.1E+05,DLCL(18:2/16:0)-H,(18:2/16:0),DLCL,C43 H81 O15 P2,7.019768043,899.5056245,7.227226119,2.312592003
2.10_580.3625m/z,580.3625,2.10,Accucore_C18_neg,1.1E+06,1.0E+06,1.9E+06,1.0E+06,6.6E+05,1.3E+06,1.0E+06,6.1E+05,5.8E+05,1.1E+06,1.9E+06,2.2E+06,7.3E+05,1.6E+06,1.1E+06,5.1E+05,2.0E+06,1.0E+06,9.9E+05,1.0E+06,GM3(m18:1/18:1)-2H| LPC(18:1)+CH3COO| MLCL(18:2/16:1/18:1)-2H,(m18:1/18:1)| (18:1)| (18:2/16:1/18:1),GM3| LPC| MLCL,C59 H104 O20 N2| C28 H55 O9 N1 P1| C61 H110 O16 P2,2.091| 2.13770236427701| 2.119,580.359672529999| 580.36199553| 580.36400653,7.44940632830659| 19.4683433666715| 7.20755312561254,7.1108470875462| 0.940924628895708| 22.8195219770486
9.77_788.5338m/z,788.5338,9.77,Accucore_C18_neg,1.2E+07,1.2E+07,1.8E+07,1.2E+07,1.0E+07,1.5E+07,1.2E+07,8.5E+06,8.4E+06,1.2E+07,1.9E+07,1.9E+07,9.9E+06,2.0E+07,1.4E+07,7.3E+06,1.9E+07,1.3E+07,1.3E+07,1.3E+07,Hex1Cer(d16:1/22:6)+HCOO,(d16:1/22:6),Hex1Cer,C45 H74 O10 N1,9.754370762,788.5318225,4.345652691,2.918097622
16.48_784.6693m/z,784.6693,16.48,Accucore_C18_pos,5.2E+05,5.1E+05,4.0E+05,8.3E+05,6.2E+05,5.6E+05,8.7E+05,3.7E+05,4.8E+05,5.2E+05,4.3E+05,7.1E+05,3.7E+05,7.2E+05,9.2E+05,4.3E+05,4.8E+05,3.4E+05,3.8E+05,3.4E+05,Hex1Cer(d18:1/22:0)+H| Hex1Cer(t18:0/22:0)+H-H2O,(d18:1/22:0)| (t18:0/22:0),Hex1Cer| Hex1Cer,C46 H90 O8 N1| C46 H90 O8 N1,16.4169056622872| 16.4205734609574,784.66609547| 784.66609547,14.4596965864009| 16.2885018197995,0.41622589710586| 0.743566140982872
16.33_828.6590m/z,828.6590,16.33,Accucore_C18_neg,7.6E+05,7.8E+05,5.3E+05,1.3E+06,8.9E+05,8.2E+05,1.2E+06,5.2E+05,6.9E+05,7.4E+05,5.7E+05,9.5E+05,5.4E+05,1.0E+06,1.3E+06,5.9E+05,6.5E+05,7.9E+05,7.7E+05,7.9E+05,Hex1Cer(d18:1/22:0)+HCOO,(d18:1/22:0),Hex1Cer,C47 H90 O10 N1,16.41690566,828.6570225,9.722495922,0.487738479
16.48_766.6585m/z,766.6585,16.48,Accucore_C18_pos,8.1E+05,7.7E+05,6.3E+05,1.2E+06,8.7E+05,8.6E+05,1.2E+06,5.3E+05,6.5E+05,7.9E+05,6.9E+05,1.1E+06,5.3E+05,1.1E+06,1.3E+06,5.5E+05,8.3E+05,7.4E+05,7.0E+05,6.3E+05,Hex1Cer(d18:1/22:0)+H-H2O,(d18:1/22:0),Hex1Cer,C46 H88 O7 N1,16.41690566,766.6555305,7.148283997,1.045491702
17.32_842.6749m/z,842.6749,17.32,Accucore_C18_neg,1.0E+05,9.4E+04,2.9E+04,2.8E+05,2.4E+05,1.2E+05,3.3E+05,7.8E+04,2.1E+05,1.1E+05,1.4E+04,8.0E+04,7.5E+04,1.4E+05,1.9E+05,8.5E+04,5.3E+04,1.2E+05,1.3E+05,1.1E+05,Hex1Cer(d18:1/23:0)+HCOO,(d18:1/23:0),Hex1Cer,C48 H92 O10 N1,17.44862878,842.6726725,4.219304816,0.172811779
17.46_780.6741m/z,780.6741,17.46,Accucore_C18_pos,2.4E+05,1.8E+05,1.4E+05,3.7E+05,2.7E+05,2.4E+05,5.1E+05,1.1E+05,2.6E+05,2.4E+05,1.1E+05,3.3E+05,1.5E+05,3.0E+05,3.8E+05,1.8E+05,1.9E+05,2.5E+05,2.7E+05,2.1E+05,Hex1Cer(d18:1/23:0)+H-H2O,(d18:1/23:0),Hex1Cer,C47 H90 O7 N1,17.44862878,780.6711805,6.462664247,0.972042251
18.15_856.6897m/z,856.6897,18.15,Accucore_C18_neg,9.8E+05,1.0E+06,5.5E+05,1.6E+06,1.3E+06,9.2E+05,1.7E+06,7.0E+05,1.1E+06,1.0E+06,6.0E+05,8.5E+05,7.1E+05,1.1E+06,1.5E+06,9.6E+05,6.9E+05,9.3E+05,9.3E+05,9.2E+05,Hex1Cer(d18:1/24:0)+HCOO,(d18:1/24:0),Hex1Cer,C49 H94 O10 N1,18.20672149,856.6883225,7.279106942,0.026775967
18.24_794.6901m/z,794.6901,18.24,Accucore_C18_pos,1.2E+06,1.1E+06,1.0E+06,1.8E+06,1.2E+06,1.2E+06,2.2E+06,6.4E+05,9.8E+05,1.3E+06,1.0E+06,1.6E+06,6.2E+05,1.7E+06,2.0E+06,8.9E+05,1.3E+06,9.1E+05,8.6E+05,8.9E+05,Hex1Cer(d18:1/24:0)+H-H2O,(d18:1/24:0),Hex1Cer,C48 H92 O7 N1,18.20672149,794.6868305,7.700592148,1.161555312
17.78_794.6884m/z,794.6884,17.78,Accucore_C18_pos,4.2E+03,4.7E+03,3.1E+04,2.0E+03,9.6E+02,7.8E+03,3.7E+03,1.7E+03,3.3E+02,8.4E+03,2.1E+04,2.5E+04,3.1E+03,7.6E+03,2.4E+03,6.4E+02,3.3E+04,3.0E+03,3.9E+03,6.6E+03,Hex1Cer(d18:1/24:0)+H-H2O,(d18:1/24:0),Hex1Cer,C48 H92 O7 N1,18.20672149,794.6868305,7.700592148,1.161555312
15.93_810.6854m/z,810.6854,15.93,Accucore_C18_pos,1.1E+06,1.1E+06,1.2E+06,1.3E+06,1.1E+06,1.1E+06,1.4E+06,6.3E+05,8.2E+05,9.9E+05,1.4E+06,1.8E+06,7.4E+05,1.8E+06,1.7E+06,8.1E+05,1.4E+06,1.0E+06,1.2E+06,1.6E+06,Hex1Cer(d18:1/24:1)+H| Hex1Cer(t18:0/24:1)+H-H2O,(d18:1/24:1)| (t18:0/24:1),Hex1Cer| Hex1Cer,C48 H92 O8 N1| C48 H92 O8 N1,15.8738266897922| 15.957,810.68174547| 810.68174547,27.3653710118669| 26.6920829120878,0.587159152861768| 0.0569847890113965
15.78_854.6742m/z,854.6742,15.78,Accucore_C18_neg,1.6E+06,1.6E+06,1.3E+06,2.2E+06,1.8E+06,1.7E+06,2.2E+06,9.8E+05,1.3E+06,1.5E+06,1.5E+06,2.1E+06,1.1E+06,2.2E+06,2.2E+06,1.2E+06,1.5E+06,1.7E+06,1.7E+06,1.7E+06,Hex1Cer(d18:1/24:1)+HCOO,(d18:1/24:1),Hex1Cer,C49 H92 O10 N1,15.87382669,854.6726725,5.185055027,0.89568051
15.95_792.6745m/z,792.6745,15.95,Accucore_C18_pos,1.3E+06,1.2E+06,1.3E+06,1.5E+06,1.3E+06,1.2E+06,1.6E+06,7.1E+05,8.9E+05,1.1E+06,1.5E+06,2.0E+06,8.2E+05,1.9E+06,1.8E+06,9.4E+05,1.5E+06,9.2E+05,1.1E+06,1.1E+06,Hex1Cer(d18:1/24:1)+H-H2O,(d18:1/24:1),Hex1Cer,C48 H90 O7 N1,15.87382669,792.6711805,7.672211003,0.670578626
17.45_798.6835m/z,798.6835,17.45,Accucore_C18_pos,2.0E+05,1.5E+05,1.0E+05,2.9E+05,2.1E+05,1.9E+05,4.0E+05,8.8E+04,2.1E+05,2.1E+05,9.8E+04,2.8E+05,1.1E+05,2.4E+05,3.1E+05,1.4E+05,1.5E+05,2.4E+05,2.3E+05,2.1E+05,Hex1Cer(t18:0/23:0)+H-H2O,(t18:0/23:0),Hex1Cer,C47 H92 O8 N1,17.432,798.6817455,24.44332591,1.275280588
3.53_852.5436m/z,852.5436,3.53,Accucore_C18_neg,5.6E+04,4.9E+04,5.9E+05,5.0E+04,2.8E+03,1.5E+05,4.7E+04,8.4E+02,0.0E+00,6.1E+04,6.7E+05,9.5E+05,7.5E+03,2.8E+05,9.3E+04,0.0E+00,8.3E+05,2.9E+05,3.5E+05,3.9E+05,Hex2Cer(d14:2/20:3)-H,(d14:2/20:3),Hex2Cer,C46 H78 O13 N1,3.5262402,852.5478675,4.54436586,2.006500373
11.57_934.6493m/z,934.6493,11.57,Accucore_C18_neg,1.0E+06,9.6E+05,1.8E+06,9.3E+05,6.9E+05,1.3E+06,9.1E+05,7.4E+05,6.8E+05,1.1E+06,1.8E+06,2.1E+06,8.2E+05,1.4E+06,1.0E+06,4.6E+05,1.8E+06,8.2E+05,8.0E+05,7.9E+05,Hex2Cer(d18:1/18:0)+HCOO,(d18:1/18:0),Hex2Cer,C49 H92 O15 N1,11.67798779,934.6472475,4.926661752,1.0662434
11.65_872.6481m/z,872.6481,11.65,Accucore_C18_pos,9.8E+05,8.9E+05,2.0E+06,7.5E+05,7.7E+05,1.3E+06,9.3E+05,5.8E+05,5.4E+05,1.2E+06,1.9E+06,2.1E+06,7.5E+05,1.3E+06,1.0E+06,4.2E+05,2.0E+06,6.9E+05,7.1E+05,4.9E+05,Hex2Cer(d18:1/18:0)+H-H2O,(d18:1/18:0),Hex2Cer,C48 H90 O12 N1,11.67798779,872.6457555,11.56288194,1.026298412
13.71_900.6804m/z,900.6804,13.71,Accucore_C18_pos,1.0E+05,9.3E+04,3.6E+05,9.6E+04,4.7E+04,1.6E+05,1.1E+05,5.5E+04,4.0E+04,1.3E+05,3.0E+05,4.0E+05,7.3E+04,2.1E+05,9.6E+04,3.1E+04,2.9E+05,7.1E+04,1.4E+05,1.2E+05,Hex2Cer(d18:1/20:0)+H-H2O,(d18:1/20:0),Hex2Cer,C50 H94 O12 N1,13.716,900.6770555,5.15700423,1.01237201
15.85_946.7214m/z,946.7214,15.85,Accucore_C18_pos,3.5E+06,3.0E+06,9.3E+06,3.0E+06,1.7E+06,4.2E+06,3.3E+06,2.0E+06,1.6E+06,3.8E+06,7.7E+06,1.1E+07,2.2E+06,5.9E+06,3.7E+06,1.2E+06,8.8E+06,3.8E+06,3.7E+06,3.5E+06,Hex2Cer(d18:1/22:0)+H| Hex2Cer(t18:0/22:0)+H-H2O,(d18:1/22:0)| (t18:0/22:0),Hex2Cer| Hex2Cer,C52 H100 O13 N1| C52 H100 O13 N1,15.8555355324676| 15.872984420614,946.71892047| 946.71892047,33.1554177539989| 39.3640193467061,0.805647631550048| 0.569797279421352
15.73_990.7113m/z,990.7113,15.73,Accucore_C18_neg,1.5E+06,1.5E+06,3.7E+06,1.5E+06,8.6E+05,1.9E+06,1.4E+06,1.1E+06,9.1E+05,1.9E+06,2.9E+06,3.8E+06,1.2E+06,2.2E+06,1.5E+06,6.4E+05,3.1E+06,1.6E+06,1.6E+06,1.6E+06,Hex2Cer(d18:1/22:0)+HCOO,(d18:1/22:0),Hex2Cer,C53 H100 O15 N1,15.85553553,990.7098475,18.6096471,1.011478423
15.87_928.7110m/z,928.7110,15.87,Accucore_C18_pos,1.5E+06,1.4E+06,4.1E+06,1.3E+06,8.0E+05,1.8E+06,1.4E+06,8.9E+05,7.6E+05,1.7E+06,3.3E+06,4.7E+06,9.4E+05,2.5E+06,1.6E+06,5.9E+05,3.7E+06,1.6E+06,1.5E+06,1.4E+06,Hex2Cer(d18:1/22:0)+H-H2O,(d18:1/22:0),Hex2Cer,C52 H98 O12 N1,15.85553553,928.7083555,12.58393294,1.219957294
13.31_944.7063m/z,944.7063,13.31,Accucore_C18_pos,4.9E+05,4.2E+05,1.5E+06,4.8E+05,2.4E+05,6.8E+05,4.3E+05,2.8E+05,2.0E+05,5.6E+05,1.4E+06,1.7E+06,3.3E+05,8.8E+05,5.0E+05,1.5E+05,1.3E+06,3.9E+05,4.7E+05,4.6E+05,Hex2Cer(d18:1/22:1)+H,(d18:1/22:1),Hex2Cer,C52 H98 O13 N1,13.33302307,944.7032705,18.94477186,0.300026607
16.93_960.7376m/z,960.7376,16.93,Accucore_C18_pos,5.4E+05,3.4E+05,9.1E+05,5.0E+05,3.5E+05,5.4E+05,6.6E+05,2.7E+05,4.4E+05,5.4E+05,6.1E+05,9.4E+05,3.4E+05,5.7E+05,5.8E+05,2.5E+05,8.2E+05,4.2E+05,4.1E+05,4.0E+05,Hex2Cer(d18:1/23:0)+H| Hex2Cer(t18:0/23:0)+H-H2O,(d18:1/23:0)| (t18:0/23:0),Hex2Cer| Hex2Cer,C53 H102 O13 N1| C53 H102 O13 N1,16.9538076599699| 16.8951711590399,960.73457047| 960.73457047,6.48806439280705| 15.0711268275698,0.854161972117175| 0.769097766531391
16.93_942.7271m/z,942.7271,16.93,Accucore_C18_pos,2.1E+05,1.3E+05,3.6E+05,1.9E+05,1.3E+05,2.1E+05,2.6E+05,1.0E+05,1.7E+05,2.1E+05,2.4E+05,3.7E+05,1.2E+05,2.2E+05,2.3E+05,9.5E+04,3.2E+05,1.6E+05,1.6E+05,1.5E+05,Hex2Cer(d18:1/23:0)+H-H2O,(d18:1/23:0),Hex2Cer,C53 H100 O12 N1,16.95380766,942.7240055,4.311284886,0.916563801
14.27_958.7223m/z,958.7223,14.27,Accucore_C18_pos,3.3E+05,1.8E+05,6.4E+05,3.2E+05,2.0E+05,3.4E+05,3.9E+05,1.4E+05,2.5E+05,3.0E+05,4.7E+05,7.3E+05,1.8E+05,4.4E+05,3.5E+05,1.4E+05,6.4E+05,2.5E+05,2.9E+05,2.6E+05,Hex2Cer(d18:1/23:1)+H,(d18:1/23:1),Hex2Cer,C53 H100 O13 N1,14.28518276,958.7189205,5.473826273,0.235316396
17.78_974.7531m/z,974.7531,17.78,Accucore_C18_pos,3.5E+06,3.4E+06,1.8E+07,2.8E+06,1.6E+06,4.8E+06,3.6E+06,2.0E+06,1.8E+06,5.5E+06,1.3E+07,1.6E+07,2.2E+06,6.2E+06,2.9E+06,1.4E+06,1.6E+07,5.6E+06,5.7E+06,5.6E+06,Hex2Cer(d18:1/24:0)+H| Hex2Cer(t18:0/24:0)+H-H2O,(d18:1/24:0)| (t18:0/24:0),Hex2Cer| Hex2Cer,C54 H104 O13 N1| C54 H104 O13 N1,17.7918130029026| 17.7668177873761,974.75022047| 974.75022047,26.4319623672988| 39.1685366127824,1.32709712665748| 1.0334941354783
17.68_1018.7423m/z,1018.7423,17.68,Accucore_C18_neg,1.9E+06,1.8E+06,3.6E+06,1.8E+06,1.1E+06,2.0E+06,1.9E+06,1.3E+06,1.3E+06,2.3E+06,2.9E+06,3.6E+06,1.4E+06,2.4E+06,1.7E+06,8.6E+05,3.4E+06,1.9E+06,1.9E+06,1.9E+06,Hex2Cer(d18:1/24:0)+HCOO,(d18:1/24:0),Hex2Cer,C55 H104 O15 N1,17.791813,1018.741148,9.324339004,0.479878347
17.78_956.7421m/z,956.7421,17.78,Accucore_C18_pos,1.4E+06,1.4E+06,7.3E+06,1.1E+06,6.3E+05,2.0E+06,1.4E+06,8.1E+05,7.1E+05,2.3E+06,5.4E+06,6.5E+06,8.6E+05,2.5E+06,1.2E+06,5.2E+05,6.5E+06,2.1E+06,2.2E+06,2.1E+06,Hex2Cer(d18:1/24:0)+H-H2O,(d18:1/24:0),Hex2Cer,C54 H102 O12 N1,17.791813,956.7396555,12.77600538,1.247897222
15.34_972.7377m/z,972.7377,15.34,Accucore_C18_pos,7.3E+06,7.4E+06,2.9E+07,6.5E+06,4.2E+06,1.0E+07,7.1E+06,4.7E+06,4.0E+06,8.8E+06,2.5E+07,3.1E+07,5.3E+06,1.4E+07,7.0E+06,3.0E+06,2.6E+07,1.1E+07,1.0E+07,1.0E+07,Hex2Cer(d18:1/24:0+O)+H-H2O| Hex2Cer(d18:1/24:1)+H| Hex2Cer(t18:0/24:1)+H-H2O,(d18:1/24:0+O)| (d18:1/24:1)| (t18:0/24:1),Hex2Cer| Hex2Cer| Hex2Cer,C54 H102 O13 N1| C54 H102 O13 N1| C54 H102 O13 N1,15.369| 15.2976376556886| 15.369,972.73457047| 972.73457047| 972.73457047,3.75777631915535| 40| 40,0.215408418994387| 0.23562883332731| 0.0625994189943881
15.21_1016.7266m/z,1016.7266,15.21,Accucore_C18_neg,4.5E+06,4.7E+06,1.1E+07,4.3E+06,2.8E+06,5.9E+06,4.3E+06,3.1E+06,2.8E+06,5.4E+06,9.3E+06,1.1E+07,3.5E+06,7.2E+06,4.3E+06,2.0E+06,9.3E+06,4.9E+06,4.9E+06,4.9E+06,Hex2Cer(d18:1/24:1)+HCOO,(d18:1/24:1),Hex2Cer,C55 H102 O15 N1,15.29763766,1016.725498,10.1984939,0.236802197
15.34_954.7270m/z,954.7270,15.34,Accucore_C18_pos,2.9E+06,3.0E+06,1.2E+07,2.6E+06,1.7E+06,4.3E+06,2.9E+06,1.9E+06,1.5E+06,3.6E+06,1.1E+07,1.3E+07,2.1E+06,6.0E+06,2.8E+06,1.2E+06,1.1E+07,4.4E+06,4.2E+06,4.1E+06,Hex2Cer(d18:1/24:1)+H-H2O,(d18:1/24:1),Hex2Cer,C54 H100 O12 N1,15.29763766,954.7240055,15.93553541,0.375895479
17.43_1000.7686m/z,1000.7686,17.43,Accucore_C18_pos,2.6E+04,1.2E+04,2.1E+05,2.1E+04,8.2E+03,4.0E+04,2.8E+04,7.2E+03,4.0E+03,4.5E+04,1.9E+05,2.2E+05,3.2E+03,7.9E+04,2.4E+04,2.8E+03,1.5E+05,4.3E+04,7.4E+04,1.3E+04,Hex2Cer(d18:1/26:0+O)+H-H2O| Hex2Cer(d18:1/26:1)+H,(d18:1/26:0+O)| (d18:1/26:1),Hex2Cer| Hex2Cer,C56 H106 O13 N1| C56 H106 O13 N1,17.435| 17.3425316067815,1000.76587047| 1000.76587047,4.36149122828867| 4.29671590365546,0.78847923331163| 0.550912945031975
17.37_1000.7681m/z,1000.7681,17.37,Accucore_C18_pos,5.6E+03,4.5E+03,1.7E+04,6.8E+03,7.5E+02,9.0E+03,3.6E+03,0.0E+00,1.9E+03,2.1E+04,4.1E+04,6.1E+04,0.0E+00,2.3E+04,3.4E+03,7.8E+02,3.8E+04,0.0E+00,0.0E+00,2.6E+04,Hex2Cer(d18:1/26:0+O)+H-H2O| Hex2Cer(d18:1/26:1)+H,(d18:1/26:0+O)| (d18:1/26:1),Hex2Cer| Hex2Cer,C56 H106 O13 N1| C56 H106 O13 N1,17.435| 17.3425316067815,1000.76587047| 1000.76587047,4.36149122828867| 4.29671590365546,0.78847923331163| 0.550912945031975
9.92_862.6273m/z,862.6273,9.92,Accucore_C18_pos,5.3E+05,5.4E+05,1.4E+06,5.3E+05,3.3E+05,7.1E+05,4.5E+05,3.6E+05,2.8E+05,5.9E+05,1.4E+06,1.9E+06,3.7E+05,9.0E+05,4.9E+05,1.9E+05,1.3E+06,4.8E+05,4.8E+05,4.7E+05,Hex2Cer(t18:0/16:0)+H-H2O,(t18:0/16:0),Hex2Cer,C46 H88 O13 N1,9.93372132,862.6250205,36.28604664,0.297191078
11.66_890.6592m/z,890.6592,11.66,Accucore_C18_pos,3.7E+06,3.5E+06,7.2E+06,3.3E+06,2.3E+06,4.7E+06,3.5E+06,2.6E+06,2.4E+06,4.3E+06,6.8E+06,7.7E+06,2.9E+06,5.1E+06,3.9E+06,1.7E+06,7.0E+06,2.0E+06,2.3E+06,2.3E+06,Hex2Cer(t18:0/18:0)+H-H2O,(t18:0/18:0),Hex2Cer,C48 H92 O13 N1,11.66726555,890.6563205,30.01173008,0.265784369
13.69_918.6912m/z,918.6912,13.69,Accucore_C18_pos,3.6E+05,3.5E+05,1.3E+06,3.3E+05,1.7E+05,5.4E+05,3.0E+05,1.9E+05,1.4E+05,4.1E+05,1.0E+06,1.4E+06,2.3E+05,6.7E+05,3.6E+05,8.8E+04,1.0E+06,3.8E+05,4.3E+05,4.0E+05,Hex2Cer(t18:0/20:0)+H-H2O,(t18:0/20:0),Hex2Cer,C50 H96 O13 N1,13.69993397,918.6876205,33.2013217,0.452776591
1.08_468.3099m/z,468.3099,1.08,Accucore_C18_pos,2.4E+06,2.3E+06,4.3E+06,2.5E+06,1.3E+06,2.5E+06,2.3E+06,1.7E+06,1.2E+06,2.9E+06,4.1E+06,4.9E+06,1.6E+06,3.0E+06,2.1E+06,1.0E+06,5.2E+06,1.9E+06,1.8E+06,1.7E+06,LPC(14:0)+H,(14:0),LPC,C22 H47 O7 N1 P1,1.081909585,468.3084685,26.52624277,0.098418546
1.39_468.3099m/z,468.3099,1.39,Accucore_C18_pos,1.7E+06,1.4E+06,2.8E+06,1.7E+06,8.4E+05,1.6E+06,1.7E+06,8.7E+05,9.4E+05,1.9E+06,2.9E+06,3.3E+06,1.2E+06,2.2E+06,2.0E+06,9.7E+05,3.9E+06,1.2E+06,1.3E+06,1.6E+06,LPC(14:0)+H,(14:0),LPC,C22 H47 O7 N1 P1,1.382431793,468.3084685,30.01134001,0.095380121
