blank1,XY.1,XY.2,XY.3,XY.4,XY.5,XY.6,XY.7,XY.8,XY.9,XY.10,XY.11,XY.12,Compound,m.z,Retention.time..min.,LipidIon,Class,IonFormula,RT_LS,mz_LS,mscore,Grade,FattyAcid,MeanIntensity,Mode
392162.3778,1718862.508,1759583.333,1292260.034,1886576.747,1420052.492,1439921.925,1437353.117,1723460.215,1501902.323,1862855.352,1379303.76,1474958.96,0.97_274.2735m/z,274.2735021,0.968883333,0,0,0,0,0,0,0,0,1574757.564,pos
89409.13537,656282.4353,784889.4767,506529.061,680898.3155,618290.2856,702136.3767,560718.0803,667561.8475,735358.4646,713277.1891,609966.0461,712531.4208,0.97_534.3181m/z,534.3181036,0.968883333,PC(18:2)+H,PC,C26 H49 O8 N1 P1,0.9735,534.318495,26.52279421,C,(18:2),662369.9166,pos
0,174328.1629,7837.162598,0,39713.81519,50934.34548,104631.1321,79766.58712,272367.2729,61536.53527,204009.6402,152701.12,94442.80795,0.97_499.0225m/z,499.0224695,0.968883333,0,0,0,0,0,0,0,0,103522.3818,pos
12308.32507,46729.52774,0,50039.44092,0,21627.92951,53935.60887,59394.88631,0,54131.77398,18619.96146,12503.49707,0,0.97_1032.4995m/z,1032.499508,0.968883333,0,0,0,0,0,0,0,0,26415.21882,pos
4008.28624,12137.58166,3277.965332,10517.01709,28753.04881,14306.06999,5786.562728,7397.748609,6128.406507,6933.334322,2331.663869,6429.371094,4947.197227,0.97_392.2258m/z,392.2258491,0.968883333,0,0,0,0,0,0,0,0,9078.830603,pos
0,26684.40906,21931.76074,26734.45378,42835.68962,22564.15618,40826.29321,41250.71034,12829.33862,35127.77728,12058.61408,31678.28146,14662.55029,0.97_339.1540m/z,339.1540363,0.968883333,0,0,0,0,0,0,0,0,27432.00289,pos
406831.7803,516855.8547,626819.2157,413786.9726,403016.5196,399338.0387,448219.9999,422286.3411,408083.3806,714893.037,672629.9046,362590.7972,462836.7809,0.97_453.3680m/z,453.3679617,0.973266667,0,0,0,0,0,0,0,0,487613.0702,pos
57033.04219,86390.62971,50409.06299,127744.0144,73539.68107,108655.9055,70169.28972,91931.32887,52038.50839,85403.80497,54470.06549,73418.12228,92393.27338,0.97_271.1881m/z,271.1880973,0.973266667,0,0,0,0,0,0,0,0,80546.9739,pos
0,775025.2901,30271.30811,0,360650.6782,582188.6847,798930.7403,364084.1007,1272046.705,317148.01,1432272.668,1190370.828,724366.2346,0.97_939.9028m/z,939.9027731,0.973266667,0,0,0,0,0,0,0,0,653946.2706,pos
177841.0091,69090.66128,0,38715.33708,57723.29944,41259.85882,28417.234,82664.1279,12370.89732,41376.49648,12021.81064,33158.09316,74939.33144,0.97_510.4624m/z,510.4624249,0.973266667,0,0,0,0,0,0,0,0,40978.09563,pos
3056.008644,0,0,18345.87874,11643.43675,16244.59998,23323.92712,13063.4729,3234.741211,3922.39563,9652.409302,6906.832642,4412.061279,0.97_407.2036m/z,407.2036138,0.973266667,0,0,0,0,0,0,0,0,9229.146296,pos
206545.0877,196384.0357,273213.3246,257362.6808,263680.1412,266295.9865,268742.2293,257954.1337,242038.7207,268168.9672,259888.6025,222250.0627,228480.4953,0.98_295.1452m/z,295.1452249,0.97765,0,0,0,0,0,0,0,0,250371.615,pos
0,85705.71084,82970.69047,96992.1123,86364.70118,89867.28454,96009.96418,85984.546,86102.74151,93169.42543,84736.47178,87269.41201,82536.45076,0.98_278.1204m/z,278.1203976,0.97765,0,0,0,0,0,0,0,0,88142.45925,pos
23903.40816,70370.69417,74439.79974,110244.8482,77294.12103,109226.2341,186600.6725,114160.4567,91395.64284,99217.07115,83090.29911,118487.3796,114597.8728,0.98_337.1040m/z,337.1040289,0.97765,0,0,0,0,0,0,0,0,104093.7577,pos
0,978973.5152,12238.68254,0,511756.8427,924789.391,1191368.296,830463.2089,2177387.785,749156.546,2391071.199,2051141.015,966413.2101,0.98_985.9447m/z,985.9447088,0.97765,0,0,0,0,0,0,0,0,1065396.641,pos
0,49444.41479,61968.69057,85086.88236,86683.78005,95909.74288,69680.58338,90838.72421,37959.58091,70634.30003,48805.52818,62735.86192,70495.63709,0.98_327.1956m/z,327.1956084,0.97765,0,0,0,0,0,0,0,0,69186.9772,pos
270768.2416,441134.8269,449893.1403,665834.9965,540793.4598,561497.4702,585343.3307,638393.1121,454460.8395,620508.3546,479662.0516,465080.2018,534972.307,0.98_813.3267m/z,813.326669,0.97765,0,0,0,0,0,0,0,0,536464.5076,pos
24947.60391,872437.3955,41972.72294,147907.5524,19304.64102,9811.687994,12327.68176,8371.201012,36480.39753,8042.942155,25948.39104,5778.953662,15285.95694,0.98_428.3156m/z,428.3155506,0.97765,0,0,0,0,0,0,0,0,100305.7937,pos
0,75823.40294,0,0,5731.003757,24116.71686,33387.22243,31795.51879,234681.3104,56368.53642,136662.0378,59063.23367,37513.26429,0.98_569.0057m/z,569.0056718,0.97765,0,0,0,0,0,0,0,0,57928.52061,pos
8797.523713,95184.75324,84868.30486,54741.83286,40656.78514,81080.73274,26955.8843,71570.44699,52330.92785,55541.33962,35711.16078,18818.87673,55431.94873,0.98_327.1562m/z,327.1561626,0.97765,0,0,0,0,0,0,0,0,56074.41615,pos
40348.95657,0,149380.2371,6631.137695,7770.300537,61895.91789,27604.67245,104755.6978,66682.59523,85323.3144,118875.208,11048.48004,6398.296422,0.98_865.9350m/z,865.9349763,0.97765,0,0,0,0,0,0,0,0,53863.82146,pos
0,10439.58203,7763.188721,4011.887939,17596.43785,7505.318237,4024.987061,20388.6792,5771.789307,9019.983398,17870.65518,21474.62195,15127.14014,0.98_505.1806m/z,505.1806078,0.97765,0,0,0,0,0,0,0,0,11749.52258,pos
1591988.998,7074660.319,9723249.679,8638395.441,8113979.346,8611672.708,7803425.797,9049800.644,7830696.953,10022260.47,9226660.392,7824177.536,7451181.525,0.98_1099.5077m/z,1099.507669,0.982033333,0,0,0,0,0,0,0,0,8447513.401,pos
13491.25557,54294.85815,73855.93742,86475.6401,94846.51373,85833.49525,82709.98273,87561.24009,59865.44672,95983.18261,74318.65567,85028.45535,87936.2279,0.98_317.2137m/z,317.2137059,0.982033333,0,0,0,0,0,0,0,0,80725.80298,pos
58579.69702,40397.31177,62279.42945,51946.13869,63273.81525,52896.79358,54677.23835,55651.77899,59902.77887,53691.75247,51956.19244,47214.04517,52740.92084,0.98_313.1557m/z,313.1556546,0.982033333,0,0,0,0,0,0,0,0,53885.68299,pos
39.22397337,64169.46397,62033.4156,48682.84377,70258.25412,54890.05292,60946.45899,59584.72002,65756.17508,62286.43458,42529.35917,36836.93439,44254.79739,0.98_556.3002m/z,556.3001715,0.982033333,0,0,0,0,0,0,0,0,56019.07583,pos
0,32124.34022,62874.67853,39813.79277,31855.60559,33146.11402,14062.80292,31470.12163,47307.09519,34946.6926,53733.87596,36853.26195,35489.7848,0.98_421.1980m/z,421.1979606,0.982033333,0,0,0,0,0,0,0,0,37806.51385,pos
0,25382.76835,0,0,6898.683838,17539.87671,48879.36142,35272.63397,72531.39648,7406.74292,32672.16992,59474.57694,14604.55688,0.98_692.1370m/z,692.1370102,0.982033333,0,0,0,0,0,0,0,0,26721.89729,pos
29679.76187,255433.0149,358121.4386,440912.1338,345828.7765,340630.3435,358626.1555,402612.2593,269858.9883,497316.2777,329777.8114,292455.1038,389886.457,0.99_782.3052m/z,782.3052341,0.9864,0,0,0,0,0,0,0,0,356788.23,pos
3866.748552,103212.4576,490063.7116,264063.8913,192742.2759,206877.4324,178495.1873,270311.1716,471342.4809,311759.4054,365863.3341,181208.7542,176317.7209,0.99_798.2792m/z,798.2791715,0.9864,0,0,0,0,0,0,0,0,267688.1519,pos
35123.20937,4316.912041,5185.850037,23821.78542,7253.086008,8161.609229,16140.81454,7030.694183,11716.00089,3704.372669,3995.862654,3668.155701,8574.282637,0.99_269.1742m/z,269.1741928,0.9864,0,0,0,0,0,0,0,0,8630.785501,pos
12681.00969,6648.039185,5382.422627,21216.55916,8353.956848,17137.36585,11725.49626,24472.84858,0,14276.36444,4269.960876,12785.40584,17183.11072,0.99_315.0356m/z,315.0356425,0.9864,0,0,0,0,0,0,0,0,11954.2942,pos
176300.4397,1254099.125,2012939.741,1470562.827,1522138.44,1617874.788,1364473.332,1707184.669,1538590.228,1901142.464,1925917.837,1278997.925,1316440.476,0.99_665.3076m/z,665.3075661,0.990783333,0,0,0,0,0,0,0,0,1575863.488,pos
