peak,cell,es,se,pv
90.3,other,-1.32558310370257,0.610777215381096,0.0299824764884884
88,ki67,1.32198228999011,0.610389203950358,0.0303263040138702
128,other,1.32085039291806,0.610267401752959,0.0304352183547242
482.9,gfap,1.32082416310745,0.610264580140738,0.0304377470139994
61.3,gfap,1.3199069031748,0.610165935030273,0.030526310254689
66.8,other,-1.31906411320043,0.610075345023547,0.0306079162898834
267.2,other,-1.31846501559633,0.610010976090136,0.0306660620055474
68.9,other,-1.31395702198031,0.609527343695803,0.0311072357105881
277.1,both,1.31272954182171,0.609395876195107,0.0312284857443219
164.3,other,1.3100794424646,0.609112363589938,0.0314919151075622
105.7,other,1.30916550901359,0.609014691580382,0.0315832901293127
86,gfap,1.30588490869777,0.608664526755109,0.031913525668989
411.1,both,-1.30407989833715,0.608472152467925,0.0320967281985175
588.5,ki67,-1.30294569489549,0.608351376457291,0.0322123959902749
839.5,ki67,-1.30220338651792,0.608272375441428,0.0322883283917312
506.3,gfap,-1.30047633414409,0.608088706491282,0.0324657013437397
323.7,other,1.29961171092331,0.607996826096781,0.0325548742399104
907.6,both,1.29740491900289,0.607762532446793,0.0327836078348967
132.8,ki67,-1.29557481288312,0.6075684649321,0.0329745427370557
639.6,ki67,-1.29554428806933,0.607565229827262,0.0329777369990568
104.7,gfap,1.29414150518621,0.607416622656948,0.0331248722191871
57.6,gfap,1.28980088331458,0.606957578702547,0.0335844094182276
136.2,ki67,-1.28750930917053,0.606715714924373,0.0338296333206896
299.2,both,-1.2861949388487,0.606577140600908,0.0339711084827818
204.9,ki67,1.28572249643205,0.606527357755534,0.034022108060567
206.4,both,1.28556173694749,0.606510421227368,0.0340394796338854
274.1,ki67,1.284866342311,0.606437178117188,0.0341147277218073
431.3,other,1.28095920016635,0.606026227421861,0.0345406780581863
323.2,both,1.28094465057015,0.606024698923692,0.0345422743114731
350.2,gfap,-1.27930278371597,0.605852300474138,0.0347228886466069
104.4,both,1.27651176876829,0.605559634875398,0.0350321238293124
214.1,both,-1.2729790959222,0.605189913475992,0.0354275523517845
59,ki67,1.27152454474228,0.605037915791566,0.0355916829347494
482.3,gfap,-1.27019415041289,0.604899011021279,0.0357424802068098
195,gfap,1.2696303462175,0.604840179201194,0.0358065818288301
794.5,gfap,-1.26903558099418,0.604778138772567,0.0358743301251269
307.3,both,-1.26767963292081,0.604636783675655,0.0360292700385168
622.5,ki67,-1.26476125399311,0.604332948820846,0.0363650525735117
162.4,both,1.26125764063388,0.603968908616977,0.0367723683266391
85.3,gfap,-1.25985465575148,0.603823354342978,0.0369367680949821
108.6,both,1.25951060068572,0.60378767933789,0.0369771976145449
354.2,other,-1.25938384536892,0.603774538027862,0.0369921037917175
276,ki67,1.25935637213624,0.603771689887429,0.0369953353931122
271.2,both,-1.25703676843935,0.603531393081078,0.0372692184244257
210.4,gfap,1.25455799598766,0.603274991526248,0.0375641659659715
143.5,ki67,1.25314518760029,0.60312902991689,0.0377333315376672
104.1,ki67,-1.2520010016659,0.60301091520309,0.0378708980709032
209,gfap,-1.24997846070477,0.602802335023023,0.0381153127767192
67.9,ki67,1.24982186311272,0.602786196517494,0.0381343033068358
163,gfap,1.24861079230128,0.602661440685068,0.0382814929819161
770.5,ki67,-1.24811275449604,0.602610164008835,0.0383421895093575
225.4,gfap,1.2480068564083,0.602599263092315,0.0383551079907232
193.4,both,-1.24651991993452,0.602446277987576,0.0385369644152653
104.7,other,-1.24534802912991,0.602325807880111,0.038680903892154
494.3,gfap,-1.24135358705441,0.601915850998389,0.0391756221643081
279.6,both,1.24115337256294,0.601895329945769,0.0392005865845437
67.4,gfap,1.24061524158025,0.60184018696557,0.0392677649000658
600.5,ki67,-1.23900046379953,0.601674831843332,0.0394700463355242
96.6,gfap,1.23763593030994,0.601535234543989,0.039641799615261
67.2,gfap,1.23713182918719,0.601483693682032,0.0397054412141958
711.6,both,1.23695381715957,0.601465497142055,0.0397279394392777
228.4,other,1.23665281121886,0.601434732765482,0.0397660116341784
194.3,other,-1.23622288351877,0.601390802169224,0.039820454102077
492.3,other,1.234626983833,0.601227836531608,0.0400232038602252
259.2,gfap,-1.23460891907789,0.601225992797561,0.0400255048309966
173.2,gfap,-1.23429873207052,0.601194337663194,0.0400650352456219
255.1,both,-1.23160414821198,0.60091961527238,0.0404100948622809
274.3,ki67,1.23071202960682,0.600828765280415,0.0405249953741306
272.1,ki67,1.2301963263182,0.60077627176894,0.0405915655134313
759.5,both,-1.23018472017839,0.600775090578688,0.0405930649719558
184.5,gfap,1.23014762415917,0.600771315269207,0.0405978579768866
129,other,1.22985598113758,0.600741637524181,0.0406355596867772
762,ki67,-1.22883893948189,0.600638186433321,0.0407673123584243
158,both,1.22722231027942,0.600473886228779,0.0409776245847439
75.3,both,1.22718607158483,0.60047020520516,0.0409823514847322
359.3,gfap,-1.22667663843071,0.600418467550012,0.0410488590133967
57.1,both,-1.22476079639051,0.600224048499347,0.0412999500555889
164.5,ki67,-1.22363709829182,0.600110128100899,0.041447940906229
132.2,other,1.22324934425823,0.600070836888676,0.041499131762382
84.9,gfap,-1.22148605806079,0.599892287325036,0.0417327221283042
256.5,gfap,-1.22098754636646,0.59984184533192,0.0417990016203723
106.5,gfap,1.21681883239656,0.599420673740631,0.0423574101198211
308.3,both,1.21559838864557,0.599297587150715,0.0425223052491671
163,other,-1.21527782827331,0.599265273659272,0.0425657232220299
772.5,ki67,-1.2146190058915,0.599198883585138,0.0426550965625818
190.7,gfap,1.21211887054716,0.598947203624011,0.0429959727259688
122.8,other,-1.21142571467833,0.598877499146414,0.0430909628793368
190.3,gfap,1.21087068665565,0.598821707849603,0.0431671757607498
257.4,gfap,1.20930703264387,0.598664639248842,0.0433826145469045
238.1,ki67,1.20905264647345,0.598639101531548,0.0434177654867956
190,gfap,-1.20793614454259,0.598527067051468,0.0435723811683591
194.9,gfap,1.20696871390862,0.598430057769519,0.0437067994484476
127.7,other,1.20490362923416,0.598223188547351,0.0439951218429307
747.5,ki67,-1.20487449390273,0.598220271947405,0.0439992032562596
835.5,ki67,-1.20114610543671,0.59784750557257,0.0445246352165502
186.4,other,1.19902591306707,0.597635939466524,0.0448262255439829
52.8,ki67,1.197416541442,0.597475545898606,0.0450565173252537
463.7,gfap,1.19691843484471,0.597425938423101,0.0451280330552357
85.3,other,1.19637400175713,0.597371736095769,0.0452063299831448
104.2,other,1.19523475966295,0.597258380040604,0.0453706083958682
707.2,other,-1.19520195423857,0.597255117139785,0.045375347760667
152.7,both,-1.1951585450323,0.597250799673382,0.045381619803363
239.1,other,-1.194008093661,0.597136421914382,0.0455481606779047
480,other,-1.19362532662166,0.597098386821581,0.0456037058729162
114.7,gfap,1.19318328784143,0.597054474128879,0.0456679365176059
75.6,both,-1.18913515223638,0.596652933958407,0.0462603725716939
160.6,ki67,-1.18836429573577,0.596576595744428,0.0463740526689329
226.8,ki67,-1.18803008152414,0.596543510733038,0.0464234266832827
420.3,other,1.18704143616135,0.596445685083932,0.0465697882686187
52.4,gfap,1.18542449166178,0.596285830746011,0.0468101579340771
139.3,both,1.18407106368047,0.596152162802049,0.0470123053884156
131.9,ki67,1.18354760160556,0.596100497294405,0.0470907227524293
682.5,both,1.18344204745527,0.596090081365405,0.0471065511132943
257.6,other,-1.18294333680315,0.596040879431269,0.0471814069856194
138.3,other,1.18275026880362,0.596021836153085,0.0472104180957226
271,other,1.18176598619957,0.595924790222619,0.0473585966989049
238.9,other,1.18133771451337,0.595882584815029,0.0474232154203131
66.2,both,-1.18061984780191,0.595811867948126,0.0475317261276055
622.5,both,1.18018654360679,0.595769200006212,0.0475973428757621
393.3,ki67,-1.17963756186301,0.595715159275415,0.047680606705061
158.3,both,1.17944154752127,0.595695868896384,0.0477103712618856
95.1,both,-1.17841322967159,0.59559471124369,0.0478668236925164
770,ki67,1.17800684041821,0.595554753524395,0.0479287941824443
886.5,ki67,-1.17767168643746,0.59552180827874,0.0479799620879865
415.3,both,-1.17645942517012,0.595402707482663,0.0481654924381811
105.7,gfap,-1.17634163432244,0.59539114017743,0.0481835577513062
135.1,both,-1.17495140726091,0.595254687542687,0.048397283956941
52.4,other,-1.17446194299205,0.595206676941506,0.0484727559856495
124.7,both,1.17392880096319,0.595154400431516,0.0485550960902007
275.9,ki67,1.17384606884567,0.595146289963275,0.04856788596249
99.6,other,1.17333579862964,0.595096276894105,0.0486468446986338
731.5,other,-1.17331204872915,0.595093949524491,0.0486505228448117
157.4,other,1.1721485841618,0.59497998245242,0.0488310476915954
80.8,gfap,-1.1719230765472,0.594957903430685,0.0488661147884875
124.5,other,-1.17189956479658,0.594955601637278,0.048869772376271
116,other,-1.17057839032875,0.594826318958274,0.0490757379420507
822,gfap,-1.17045130286329,0.594813889104199,0.0490955957939981
276.4,ki67,1.16965652994196,0.594736180657329,0.0492199630972205
75.4,both,1.16757147733608,0.59453251859675,0.0495477256553797
613.5,both,-1.16679512206745,0.594456761442949,0.0496703191413293
209.6,both,1.16660410695671,0.594438128333374,0.0497005283077825
745.5,both,1.16611191520692,0.594390127463598,0.0497784528824943
143.5,both,-1.16545454786667,0.594326043439344,0.0498827176095015
107.7,both,-1.16465434560941,0.59424807447882,0.0500099300297245
270.4,other,1.16424629606611,0.594208332212976,0.0500749237982357
315.3,both,1.16416509296968,0.594200424726001,0.0500878677563342
95.4,gfap,1.16285688931349,0.594073094517825,0.0502968567472753
98.6,both,1.16275540642992,0.594063221819496,0.0503131050337376
82.8,other,1.16196724912102,0.593986570182126,0.0504394732781561
258.4,ki67,1.16123692780621,0.593915580912061,0.0505568495524576
272.1,both,-1.16120434741025,0.593912414848961,0.0505620921401793
268.2,gfap,1.16067992832758,0.593861463309476,0.0506465518840816
111.6,other,-1.15947092613173,0.593744070060006,0.0508417999868298
205.7,gfap,1.15923306227197,0.593720985321662,0.0508803016585547
124.5,gfap,1.15845751239218,0.593645744706568,0.0510060364288668
276.9,gfap,-1.15798707850681,0.593600125064968,0.0510824548178322
209.4,ki67,-1.15606179721324,0.593413580324453,0.0513963864536766
448.6,other,-1.15510427485742,0.593320897653799,0.0515532288091366
394.3,ki67,-1.15417760768521,0.593231260942067,0.05170546853645
834.5,ki67,-1.15247635588674,0.59306685056328,0.0519861227193892
155.9,both,1.15242126422854,0.593061529752557,0.0519952363172693
717.6,ki67,1.1523776144655,0.593057314158899,0.0520024582502199
224.2,gfap,1.15164096357036,0.592986189679265,0.0521244883883911
71.3,ki67,1.15162427653666,0.592984578955244,0.0521272559651328
462.7,gfap,1.15044331313678,0.592870634062128,0.0523234908466467
836.6,both,1.15038994713495,0.592865487303666,0.0523323756570337
100.1,other,-1.14817873351085,0.5926524026868,0.0527018319012975
275.8,ki67,1.14541398062527,0.592386445300455,0.0531674060542005
252.2,gfap,1.14499247051858,0.592345943688113,0.0532387430946819
444.3,ki67,-1.14310704670812,0.592164927727468,0.0535589947294794
183.2,gfap,1.14228596862945,0.592086173553712,0.0536990544272793
652.6,ki67,-1.1421403769017,0.592072213853618,0.0537239272329966
380.2,other,1.14200475435974,0.592059211328789,0.0537471071450254
112.6,gfap,1.14171896284202,0.592031815790986,0.0537959855129019
444.7,other,-1.1415984815775,0.592020268316037,0.0538166043406483
477.3,other,-1.14149579745654,0.592010427384792,0.0538341835747016
116.6,gfap,1.14131399317381,0.591993005589834,0.0538653218673231
315.3,ki67,-1.14127719684631,0.591989479776158,0.0538716262742662
692.5,gfap,-1.14022350835067,0.591888554974069,0.0540524668194574
186.2,both,-1.13964115202569,0.591832808115201,0.0541526714251855
375.3,both,1.13869590643647,0.591742372643568,0.0543157079512181
534.3,gfap,-1.13847945974631,0.591721672927829,0.0543531089132092
138.7,other,1.13791252044023,0.591667469337019,0.0544511938350464
155.6,gfap,1.1372652518492,0.591605612614091,0.0545633898675087
274.3,other,-1.13676530592921,0.591557854562863,0.0546502054054392
473.9,both,1.13500080127681,0.591389434799075,0.0549577017057854
458.4,other,1.13301638271893,0.591200279920584,0.0553055601813876
727.5,other,-1.13300089066346,0.591198804281334,0.0553082843789607
66.7,ki67,1.13299075950798,0.591197839283983,0.0553100659615999
347.3,other,1.13261604560831,0.591162152563324,0.05537599984384
701.5,both,1.13212032532553,0.591114956357521,0.0554633447736411
393.4,other,1.13156868987432,0.591062456479018,0.0555607014184752
97.5,gfap,1.13102084607686,0.591010338169017,0.0556575554997019
350.1,other,-1.13049764773718,0.59096058374169,0.0557502077181687
533.1,gfap,1.12988929673794,0.590902755261528,0.0558581304725278
73.5,other,-1.12800495580232,0.590723795717878,0.0561937236050265
126.6,ki67,1.12750653640422,0.590676500750664,0.0562828214021969
323.7,both,1.12635075017556,0.590566894187746,0.0564899658732913
111.6,ki67,1.12589651846737,0.590523843283656,0.0565715802080516
863.7,both,1.12571726929809,0.590506858426956,0.0566038188130503
358,both,1.12556829529444,0.590492743996821,0.0566306260725231
347.3,ki67,-1.124550237089,0.590396329814024,0.0568141560219262
57.3,other,1.12392137074432,0.590336809387871,0.0569278167349029
140.4,both,1.12344358803614,0.5902916068494,0.0570143201727103
382.9,gfap,1.12333187495285,0.590281040060829,0.0570345646659427
736.8,gfap,1.12303903616996,0.590253344928644,0.0570876660620598
861.6,other,-1.12282696054104,0.590233291642452,0.0571261527584061
436.8,both,1.12254171615525,0.590206324619017,0.0571779580751716
257.7,gfap,-1.12246285133608,0.590198869725364,0.0571922894383684
194.4,other,1.12224828730885,0.590178589700195,0.0572312980174592
149.4,ki67,-1.12152190182835,0.590109957272854,0.0573635519528241
62.1,ki67,-1.12114266240164,0.590074139377124,0.0574327198528507
275,ki67,1.12089762197913,0.590051001415022,0.0574774553322445
357.1,gfap,1.12071146062386,0.590033425888113,0.0575114645173927
129.5,other,1.12046555221221,0.590010213303522,0.0575564189983939
173.8,both,-1.12034267506942,0.589998615852115,0.057578895084605
402.4,ki67,1.11978621952689,0.589946109258896,0.0576807871972854
725.5,ki67,-1.11959215266648,0.589927802338859,0.0577163642602818
166.5,ki67,-1.11862137540781,0.589836265066003,0.057894654595526
238,ki67,1.11842906541164,0.589818139362737,0.0579300378636903
52.7,gfap,1.11815807722066,0.589792602385188,0.0579799332413004
254.1,gfap,1.11761308461754,0.589741259582931,0.0580804071544443
147.6,ki67,-1.11732954057884,0.589714555525877,0.0581327484364941
68.3,gfap,1.11615535045949,0.589604030068402,0.0583499933418159
209,both,1.11392341381022,0.58939420327922,0.0587651378432394
98.6,ki67,-1.11263959857311,0.589273666913019,0.0590052410945646
885.6,ki67,-1.11158963087443,0.589175171325904,0.0592023242906633
887.5,ki67,-1.1112716921721,0.589145361163306,0.0592621298673855
87.7,other,1.11088229905898,0.589108860947127,0.0593354569962347
459.3,other,-1.1092562767588,0.588956557688211,0.0596426174735745
272.4,gfap,1.1089440670179,0.588927335229229,0.0597017728669551
222,both,1.108567548492,0.588892102558959,0.0597731895147153
752.5,both,1.1084710993201,0.588883078926615,0.0597914970986381
480.1,other,-1.10795984984138,0.58883525803485,0.0598886321222486
129.6,both,1.10757669282141,0.588799430482582,0.0599615314788804
67.7,other,1.10735984412402,0.588779158313121,0.0600028275581861
152.8,gfap,-1.1072292269048,0.588766949099615,0.0600277153873013
489.5,both,-1.10610380811371,0.588661801753512,0.0602425720459143
566.5,both,1.10604175478414,0.588656006704674,0.0602544406866433
581.5,ki67,1.10569148737728,0.588623300888951,0.0603214775807151
111.9,ki67,1.10536537130518,0.588592857855659,0.0603839578306911
171.8,other,1.10528638111939,0.588585485212264,0.0603991010078697
276.1,gfap,-1.10518311368716,0.588575847278443,0.0604189039725275
75.2,both,-1.10463986580961,0.588525158267581,0.0605231839855557
112.8,both,-1.10446600496397,0.588508940118186,0.0605565949118631
779.5,gfap,1.10435529196483,0.588498613646223,0.0605778800899428
224.3,both,1.10391575367861,0.588457625262165,0.0606624559715212
136.1,other,-1.10243232246854,0.588319389857961,0.0609487512966532
234.1,other,1.10241162268356,0.588317462007836,0.0609527555940976
377,other,1.10061755410972,0.588150487100399,0.0613007907519781
171.1,gfap,-1.09951284836392,0.588047783298082,0.0615160606436388
71.8,ki67,-1.09931486304105,0.588029385730698,0.0615547193056512
206.7,ki67,1.09827634826565,0.587932927740426,0.0617578891471123
154.5,ki67,-1.09765791863863,0.587875523355339,0.0618791867319992
819.5,gfap,-1.09680289853855,0.587796202003857,0.0620472720888062
76,gfap,-1.09673132178686,0.587789564051914,0.0620613633189333
132.3,both,1.09638271298164,0.587757239563127,0.0621300382119646
289,other,1.0959831068299,0.587720196839245,0.0622088507217139
52.8,gfap,1.09573965235796,0.587697634552072,0.062256913988974
233.7,gfap,-1.09569930138429,0.587693895402287,0.0622648836606744
96.2,ki67,1.09521741979365,0.587649250328015,0.062360136518675
81.9,gfap,1.09485362731705,0.587615556666447,0.0624321410914623
181.8,other,1.09435724430039,0.58756959770171,0.0625305199245018
278.8,ki67,1.09432908643852,0.587566991146821,0.0625361051028083
602.5,other,1.09425504162334,0.587560137131511,0.0625507943903022
433.8,other,-1.09372283287735,0.587510884114259,0.0626564750881299
161.5,both,-1.09313657929953,0.587456652500678,0.0627730891552427
290.2,gfap,-1.09187506495333,0.58734003727449,0.0630247406256805
144.4,other,1.09182352160637,0.587335274944434,0.0630350435795502
184.6,ki67,-1.09146291764106,0.587301962271979,0.0631071703515303
278.9,gfap,-1.09134226597974,0.587290818480447,0.0631313206510215
598.5,other,1.08992796974382,0.58716026545238,0.0634150868594155
82.4,ki67,-1.08963109131137,0.587132878557903,0.0634748106611649
117.7,other,1.08957449536163,0.587127658310169,0.0634862024362144
65.5,gfap,-1.08949919847102,0.587120713489797,0.0635013614734056
82.9,both,1.08911730020954,0.587085496184649,0.0635783009338869
239,other,-1.08857441858112,0.587035451180232,0.0636878294588893
83.3,both,-1.08791046455861,0.586974273361151,0.0638220348244753
77.1,other,1.08788069882025,0.586971531421802,0.0638280578382866
72.8,both,1.08676980121697,0.58686924303452,0.0640532413214431
85.1,both,1.08636216281952,0.586831730557349,0.0641360652394504
452.4,ki67,-1.08628126606336,0.586824287510418,0.064152514232965
201.4,other,-1.08529495842815,0.586733577547696,0.0643533940142751
888.5,gfap,1.08475890458806,0.586684305768372,0.0644628280749518
311.2,gfap,-1.08378711337998,0.58659503439658,0.0646616789715388
433.8,both,-1.08291839896736,0.586515288181009,0.0648399433322047
116,gfap,1.08148125840333,0.58638347823008,0.0651359020037059
222,ki67,-1.08070017426745,0.586311900691349,0.0652973059970403
772,gfap,-1.08037737708833,0.58628233252775,0.0653641226669451
51,both,1.08005650157154,0.586252947665121,0.0654306074653035
91.1,ki67,1.07947688135722,0.586199886096076,0.0655508703925431
808.6,gfap,1.07847662657062,0.586108373069042,0.0657589146362414
692.4,ki67,1.07806431965592,0.586070671762824,0.0658448575587947
145.4,other,-1.07786944531519,0.586052856644423,0.0658855159397325
134.1,other,1.07725486397055,0.585996690094044,0.0660139014333496
382.8,gfap,-1.07686278973882,0.585960872380579,0.0660959323707463
612.2,ki67,1.07645177531077,0.585923336045528,0.0661820323655495
145.6,both,-1.07628254065528,0.585907883974537,0.0662175155880741
358,ki67,-1.07626581012541,0.585906356493374,0.0662210244614493
163.6,ki67,1.07562289728592,0.585847674146652,0.06635599869393
112.6,other,-1.07501434154508,0.585792154662528,0.0664840060958724
278,both,1.07448542333329,0.585743921884139,0.0665954568157571
205.6,gfap,1.07438817048508,0.585735055414678,0.0666159691347823
125.2,both,-1.07314130924847,0.58562143923256,0.0668794979725709
744.5,ki67,1.0729018336112,0.585599630374131,0.0669302277774
321.2,both,1.07284433695658,0.585594394802594,0.0669424132563861
103.9,other,1.07223581180871,0.585538997615406,0.0670715123052079
874.6,other,-1.07211374341005,0.58552788825254,0.0670974382839483
236.9,gfap,1.07195547678727,0.585513486082919,0.0671310668441597
291.9,other,1.0718995772125,0.585508399677944,0.0671429483179044
153.6,ki67,-1.07166721403415,0.585487258895005,0.0671923590649294
772.5,other,1.07151564113508,0.585473470602853,0.0672246092169681
73.5,gfap,1.07139020551607,0.585462061197606,0.0672513094991527
736.6,other,1.07124426809878,0.585448788385766,0.0672823867525517
226.3,ki67,-1.07008319094877,0.58534324368575,0.0675301340175231
241.8,both,1.06931617736431,0.585273572663309,0.067694282229513
203,gfap,1.06915472592528,0.585258912668438,0.0677288836372723
179.7,both,1.06797663982994,0.58515199686329,0.0679818843333938
233.7,other,1.06713354215422,0.585075542919517,0.0681635065327384
126.4,ki67,-1.06661500945979,0.585028546268575,0.0682754435980408
254.1,ki67,-1.06610619642335,0.584982449084384,0.0683854555901821
497.7,gfap,1.06564306364695,0.584940506382888,0.0684857402104091
440.2,both,-1.06557174809086,0.584934049183051,0.0685011952026502
77.7,gfap,1.06491774203245,0.584874849651459,0.0686430843168156
280.8,ki67,-1.06471387557197,0.584856402207522,0.0686873720945732
50.1,gfap,1.06303804660193,0.584704871821624,0.0690524778790491
162.8,ki67,-1.06272344641358,0.584676447547299,0.0691212276553588
185.2,gfap,1.06150232347587,0.584566185146647,0.0693887086182273
444.3,both,1.06116172520219,0.584535449421583,0.0694634934777777
127.3,gfap,-1.06082152489475,0.584504757842849,0.0695382688049666
57,other,-1.06071086004411,0.584494775854617,0.0695626094940363
732.5,both,1.06050049500848,0.584475803294212,0.0696089019275161
84,both,-1.06042171022789,0.584468698603118,0.069626246790281
56.1,gfap,1.06035682077151,0.584462847302668,0.0696405356679047
160.9,gfap,1.0603007760809,0.584457793805523,0.0696528791812738
82.3,gfap,1.05977362113571,0.584410271673507,0.0697690855760483
180.5,ki67,-1.05967013341866,0.584400944751282,0.0697919204890826
200.1,other,-1.0592996292103,0.584367558978853,0.069873732769299
892.6,both,1.05837335264515,0.584284135844573,0.0700786729825984
277.9,gfap,-1.05833337014101,0.584280536280148,0.0700875322502152
132.2,both,1.05820910031603,0.5842693491822,0.0701150746986996
436.5,ki67,-1.05748484906639,0.584204172050298,0.0702758018931939
774.8,ki67,1.05732259749873,0.584189575758669,0.0703118578668816
103.1,ki67,1.05695360391604,0.584156387757575,0.0703939231830486
