"","Cla_DB","exp1","exp2","invivo","gpmv"
"1","PC:4",2.61256628165205,3.24776896483459,0.613175353621146,0.635264110976212
"2","PI:5",2.34484561403943,6.16112077178118,NA,0.945091715737292
"3","CL:3",1.64153561032984,2.44512768418219,NA,1.38180837090865
"4","PI:4",1.99750069097699,2.91144112144368,-0.1015541651196,0.891517398226816
"5","PE:4",2.60077374583301,2.28225125102498,NA,0.649615789959848
"6","CL:2",1.80193024266385,1.74028880092005,NA,0.747381224624914
"7","PE:5",0.838072538366094,2.51546647595754,NA,2.37064955801992
"8","PG:2",1.49621096992072,0.674619358644465,NA,1.22724634047527
"9","PI:1",2.6743192071083,-0.125035281991789,0.101554165119603,0.65734809542919
"10","PC:6",1.30214053031276,0.796291531608784,NA,0.743955632551921
"11","Cer:1",0.859090706897202,1.11692455088231,NA,0.546309066383895
"12","PC:5",0.350861571219675,1.05351703471082,-0.274825382280632,0.86034409889976
"13","AcCa:1",1.04292722624923,1.63829022302314,-0.0954178161514692,0.139909019293989
"14","LPC:1",1.47153126062311,0.0463556720685936,0.441624902558019,-0.180769624670885
"15","LPE:4",1.30169777849495,0.460326557340964,0.0537941067245687,0.382908203475979
"16","LPC:4",NA,0.816753650364143,0.0693263054649155,0.239688279572267
"17","SM:1",0.226087718771105,0.462144544322936,0.206882758992663,-0.539992343361489
